header_id,order_number,sold_to_org_id,ship_to_site_use_id,invoice_to_site_use_id,order_date,booked_date,order_type_code,order_currency_code,transactional_curr_code,order_amount,discount_amount,tax_amount,booked_flag,cancelled_flag,flow_status_code,salesrep_id,org_id,created_date,last_update_date
900000022,SO20251109000022,300000074,500000151,500000150,2025-11-09 11:08:00,2025-11-11 11:08:00,STANDARD,CNY,CNY,67713.88,4655.49,7790.09,Y,N,CLOSED,800000083,3,2025-11-09 11:08:00,2025-11-09 11:08:00
900000023,SO20260227000023,300000684,500001371,500001370,2026-02-27 11:09:00,2026-03-01 11:09:00,STANDARD,CNY,CNY,145693.83,10333.1,16761.23,Y,N,BOOKED,800000021,3,2026-02-27 11:09:00,2026-02-27 11:09:00
900000024,SO20251109000024,300000888,500001779,500001778,2025-11-09 21:52:00,2025-11-09 21:52:00,STANDARD,CNY,CNY,1303.25,0.0,149.93,Y,Y,CANCELLED,800000039,1,2025-11-09 21:52:00,2025-11-09 21:52:00
900000025,SO20250411000025,300000294,500000591,500000590,2025-04-11 08:14:00,2025-04-14 08:14:00,STANDARD,CNY,CNY,176244.27,10840.14,20275.89,Y,N,BOOKED,800000110,5,2025-04-11 08:14:00,2025-04-11 08:14:00
900000026,SO20240826000026,300000287,500000577,500000576,2024-08-26 01:07:00,2024-08-26 01:07:00,STANDARD,CNY,CNY,351005.37,1111.43,40381.14,Y,N,CLOSED,800000015,3,2024-08-26 01:07:00,2024-08-26 01:07:00
900000027,SO20250225000027,300000529,500001061,500001060,2025-02-25 10:09:00,2025-02-28 10:09:00,STANDARD,CNY,CNY,68014.8,5233.91,7824.71,Y,N,BOOKED,800000015,1,2025-02-25 10:09:00,2025-02-25 10:09:00
900000028,SO20250122000028,300000357,500000717,500000716,2025-01-22 13:32:00,2025-01-23 13:32:00,STANDARD,CNY,CNY,15991.69,0.0,1839.75,Y,N,BOOKED,800000070,4,2025-01-22 13:32:00,2025-01-22 13:32:00
900000029,SO20260324000029,300000208,500000419,500000418,2026-03-24 19:10:00,2026-03-26 19:10:00,STANDARD,CNY,CNY,33847.84,3328.2,3894.0,Y,N,CLOSED,800000027,1,2026-03-24 19:10:00,2026-03-24 19:10:00
900000030,SO20240928000030,300000008,500000019,500000018,2024-09-28 05:01:00,2024-10-01 05:01:00,STANDARD,CNY,CNY,412213.72,8903.4,47422.82,Y,N,CLOSED,800000017,4,2024-09-28 05:01:00,2024-09-28 05:01:00
900000031,SO20240418000031,300000206,500000415,500000414,2024-04-18 18:52:00,2024-04-18 18:52:00,STANDARD,CNY,CNY,138378.83,16698.9,15919.69,Y,N,BOOKED,800000075,1,2024-04-18 18:52:00,2024-04-18 18:52:00
900000032,SO20250217000032,300000071,500000145,500000144,2025-02-17 01:07:00,2025-02-18 01:07:00,STANDARD,CNY,CNY,14001.76,252.87,1610.82,Y,N,CLOSED,800000054,2,2025-02-17 01:07:00,2025-02-17 01:07:00
900000033,SO20251227000033,300000584,500001171,500001170,2025-12-27 15:36:00,2025-12-28 15:36:00,STANDARD,CNY,CNY,233689.09,15476.15,26884.58,Y,N,CLOSED,800000115,2,2025-12-27 15:36:00,2025-12-27 15:36:00
900000034,SO20240729000034,300000539,500001081,500001080,2024-07-29 05:45:00,2024-07-29 05:45:00,STANDARD,CNY,CNY,11378.92,0.0,1309.08,Y,N,CLOSED,800000071,5,2024-07-29 05:45:00,2024-07-29 05:45:00
900000035,SO20250220000035,300000428,500000859,500000858,2025-02-20 18:26:00,2025-02-20 18:26:00,STANDARD,CNY,CNY,226605.07,18122.81,26069.61,Y,N,CLOSED,800000066,4,2025-02-20 18:26:00,2025-02-20 18:26:00
900000036,SO20240519000036,300000539,500001081,500001080,2024-05-19 02:38:00,2024-05-19 02:38:00,STANDARD,CNY,CNY,158458.63,12998.29,18229.75,Y,N,CLOSED,800000012,5,2024-05-19 02:38:00,2024-05-19 02:38:00
900000037,SO20250606000037,300000728,500001459,500001458,2025-06-06 20:11:00,2025-06-09 20:11:00,STANDARD,CNY,CNY,155208.56,12294.77,17855.85,Y,N,CLOSED,800000014,1,2025-06-06 20:11:00,2025-06-06 20:11:00
900000038,SO20241105000038,300000802,500001607,500001606,2024-11-05 03:48:00,2024-11-05 03:48:00,STANDARD,CNY,CNY,235889.55,19029.73,27137.74,Y,Y,CANCELLED,800000018,2,2024-11-05 03:48:00,2024-11-05 03:48:00
900000039,SO20240607000039,300000371,500000745,500000744,2024-06-07 14:44:00,2024-06-09 14:44:00,STANDARD,CNY,CNY,42408.62,4169.95,4878.87,Y,N,CLOSED,800000029,5,2024-06-07 14:44:00,2024-06-07 14:44:00
900000040,SO20250514000040,300000531,500001065,500001064,2025-05-14 16:51:00,2025-05-14 16:51:00,STANDARD,CNY,CNY,86478.45,4027.94,9948.85,Y,N,CLOSED,800000111,5,2025-05-14 16:51:00,2025-05-14 16:51:00
900000041,SO20240721000041,300000940,500001883,500001882,2024-07-21 17:24:00,2024-07-21 17:24:00,STANDARD,CNY,CNY,146412.19,11363.97,16843.88,N,N,ENTERED,800000090,2,2024-07-21 17:24:00,2024-07-21 17:24:00
900000042,SO20260109000042,300000193,500000389,500000388,2026-01-09 00:14:00,2026-01-09 00:14:00,STANDARD,CNY,CNY,38083.11,0.0,4381.24,Y,N,BOOKED,800000015,4,2026-01-09 00:14:00,2026-01-09 00:14:00
900000043,SO20250406000043,300000694,500001391,500001390,2025-04-06 12:42:00,2025-04-08 12:42:00,STANDARD,CNY,CNY,176867.49,0.0,20347.59,Y,N,CLOSED,800000011,3,2025-04-06 12:42:00,2025-04-06 12:42:00
900000044,SO20250129000044,300000111,500000225,500000224,2025-01-29 09:48:00,2025-01-30 09:48:00,STANDARD,CNY,CNY,150026.6,11544.98,17259.7,Y,N,CLOSED,800000057,2,2025-01-29 09:48:00,2025-01-29 09:48:00
900000045,SO20240823000045,300000435,500000873,500000872,2024-08-23 16:55:00,2024-08-26 16:55:00,STANDARD,CNY,CNY,126064.89,0.0,14503.04,N,N,ENTERED,800000031,3,2024-08-23 16:55:00,2024-08-23 16:55:00
900000046,SO20251004000046,300000971,500001945,500001944,2025-10-04 17:43:00,2025-10-05 17:43:00,STANDARD,CNY,CNY,107800.08,6984.71,12401.78,Y,N,CLOSED,800000106,4,2025-10-04 17:43:00,2025-10-04 17:43:00
900000047,SO20251121000047,300000620,500001243,500001242,2025-11-21 11:03:00,2025-11-23 11:03:00,STANDARD,CNY,CNY,90406.22,8889.48,10400.72,Y,N,BOOKED,800000104,5,2025-11-21 11:03:00,2025-11-21 11:03:00
900000048,SO20251204000048,300000496,500000995,500000994,2025-12-04 23:38:00,2025-12-05 23:38:00,STANDARD,CNY,CNY,11114.07,527.98,1278.61,Y,N,BOOKED,800000073,4,2025-12-04 23:38:00,2025-12-04 23:38:00
900000049,SO20250901000049,300000808,500001619,500001618,2025-09-01 15:34:00,2025-09-04 15:34:00,STANDARD,CNY,CNY,90009.78,1625.57,10355.11,Y,N,CLOSED,800000087,2,2025-09-01 15:34:00,2025-09-01 15:34:00
900000050,SO20260328000050,300000153,500000309,500000308,2026-03-28 20:45:00,2026-03-29 20:45:00,STANDARD,CNY,CNY,182066.47,972.37,20945.7,N,N,ENTERED,800000047,2,2026-03-28 20:45:00,2026-03-28 20:45:00
900000051,SO20250921000051,300000615,500001233,500001232,2025-09-21 09:33:00,2025-09-24 09:33:00,STANDARD,CNY,CNY,17821.07,1752.38,2050.21,Y,N,BOOKED,800000011,4,2025-09-21 09:33:00,2025-09-21 09:33:00
900000052,SO20250610000052,300000490,500000983,500000982,2025-06-10 22:50:00,2025-06-11 22:50:00,STANDARD,CNY,CNY,71017.01,5018.12,8170.1,Y,N,CLOSED,800000028,1,2025-06-10 22:50:00,2025-06-10 22:50:00
900000053,SO20240912000053,300000387,500000777,500000776,2024-09-12 06:11:00,2024-09-13 06:11:00,STANDARD,CNY,CNY,68868.54,1243.75,7922.93,Y,Y,CANCELLED,800000001,2,2024-09-12 06:11:00,2024-09-12 06:11:00
900000054,SO20240730000054,300000799,500001601,500001600,2024-07-30 20:18:00,2024-07-31 20:18:00,STANDARD,CNY,CNY,171772.09,14962.09,19761.39,Y,N,CLOSED,800000062,5,2024-07-30 20:18:00,2024-07-30 20:18:00
900000055,SO20251230000055,300000073,500000149,500000148,2025-12-30 05:07:00,2025-12-31 05:07:00,STANDARD,CNY,CNY,447310.16,2975.91,51460.46,Y,N,CLOSED,800000068,1,2025-12-30 05:07:00,2025-12-30 05:07:00
900000056,SO20250919000056,300000187,500000377,500000376,2025-09-19 11:09:00,2025-09-19 11:09:00,STANDARD,CNY,CNY,53512.39,1941.23,6156.29,Y,N,CLOSED,800000016,3,2025-09-19 11:09:00,2025-09-19 11:09:00
900000057,SO20250213000057,300000429,500000861,500000860,2025-02-13 07:56:00,2025-02-13 07:56:00,STANDARD,CNY,CNY,92414.84,11152.18,10631.8,Y,N,CLOSED,800000113,3,2025-02-13 07:56:00,2025-02-13 07:56:00
900000058,SO20250807000058,300000811,500001625,500001624,2025-08-07 22:34:00,2025-08-08 22:34:00,STANDARD,CNY,CNY,162183.21,7466.34,18658.25,Y,N,CLOSED,800000024,4,2025-08-07 22:34:00,2025-08-07 22:34:00
900000059,SO20260117000059,300000842,500001687,500001686,2026-01-17 23:19:00,2026-01-18 23:19:00,STANDARD,CNY,CNY,29206.52,0.0,3360.04,Y,N,CLOSED,800000041,4,2026-01-17 23:19:00,2026-01-17 23:19:00
900000060,SO20240628000060,300000067,500000137,500000136,2024-06-28 06:10:00,2024-06-29 06:10:00,STANDARD,CNY,CNY,140584.25,6312.3,16173.41,Y,N,BOOKED,800000078,3,2024-06-28 06:10:00,2024-06-28 06:10:00
900000061,SO20240703000061,300000393,500000789,500000788,2024-07-03 19:25:00,2024-07-05 19:25:00,STANDARD,CNY,CNY,64721.64,4980.52,7445.85,Y,N,CLOSED,800000044,1,2024-07-03 19:25:00,2024-07-03 19:25:00
900000062,SO20251123000062,300000469,500000941,500000940,2025-11-23 06:27:00,2025-11-24 06:27:00,STANDARD,CNY,CNY,34089.91,4113.76,3921.85,Y,N,CLOSED,800000001,4,2025-11-23 06:27:00,2025-11-23 06:27:00
900000063,SO20250111000063,300000885,500001773,500001772,2025-01-11 05:57:00,2025-01-11 05:57:00,STANDARD,CNY,CNY,1022.11,18.46,117.59,Y,N,CLOSED,800000109,3,2025-01-11 05:57:00,2025-01-11 05:57:00
900000064,SO20241029000064,300000556,500001115,500001114,2024-10-29 10:59:00,2024-10-29 10:59:00,STANDARD,CNY,CNY,178410.08,8105.08,20525.05,Y,Y,CANCELLED,800000050,3,2024-10-29 10:59:00,2024-10-29 10:59:00
900000065,SO20250205000065,300000801,500001605,500001604,2025-02-05 10:06:00,2025-02-06 10:06:00,STANDARD,CNY,CNY,134553.6,6267.09,15479.62,Y,N,BOOKED,800000063,3,2025-02-05 10:06:00,2025-02-05 10:06:00
900000066,SO20250310000066,300000177,500000357,500000356,2025-03-10 14:28:00,2025-03-10 14:28:00,STANDARD,CNY,CNY,35337.43,638.21,4065.37,Y,N,CLOSED,800000081,2,2025-03-10 14:28:00,2025-03-10 14:28:00
900000067,SO20260329000067,300000214,500000431,500000430,2026-03-29 14:19:00,2026-03-31 14:19:00,STANDARD,CNY,CNY,149783.4,13852.09,17231.72,Y,N,CLOSED,800000019,1,2026-03-29 14:19:00,2026-03-29 14:19:00
900000068,SO20251028000068,300000272,500000547,500000546,2025-10-28 23:05:00,2025-10-31 23:05:00,STANDARD,CNY,CNY,59574.24,2204.05,6853.68,Y,N,CLOSED,800000054,3,2025-10-28 23:05:00,2025-10-28 23:05:00
900000069,SO20260109000069,300000585,500001173,500001172,2026-01-09 21:57:00,2026-01-10 21:57:00,STANDARD,CNY,CNY,127441.39,0.0,14661.4,Y,N,CLOSED,800000105,3,2026-01-09 21:57:00,2026-01-09 21:57:00
900000070,SO20240605000070,300000783,500001569,500001568,2024-06-05 10:28:00,2024-06-08 10:28:00,STANDARD,CNY,CNY,63391.4,6233.13,7292.82,Y,N,CLOSED,800000086,2,2024-06-05 10:28:00,2024-06-05 10:28:00
900000071,SO20240705000071,300000658,500001319,500001318,2024-07-05 21:43:00,2024-07-06 21:43:00,STANDARD,CNY,CNY,97207.45,0.0,11183.16,Y,N,CLOSED,800000090,4,2024-07-05 21:43:00,2024-07-05 21:43:00
900000072,SO20250310000072,300000398,500000799,500000798,2025-03-10 22:41:00,2025-03-13 22:41:00,STANDARD,CNY,CNY,266819.54,4819.42,30696.05,Y,N,BOOKED,800000040,2,2025-03-10 22:41:00,2025-03-10 22:41:00
900000073,SO20250630000073,300000201,500000405,500000404,2025-06-30 10:11:00,2025-07-02 10:11:00,STANDARD,CNY,CNY,420900.09,32177.75,48422.13,Y,N,CLOSED,800000069,5,2025-06-30 10:11:00,2025-06-30 10:11:00
900000074,SO20250914000074,300000484,500000971,500000970,2025-09-14 14:55:00,2025-09-14 14:55:00,STANDARD,CNY,CNY,38424.56,1616.17,4420.52,Y,N,CLOSED,800000038,3,2025-09-14 14:55:00,2025-09-14 14:55:00
900000075,SO20240410000075,300000910,500001823,500001822,2024-04-10 00:27:00,2024-04-11 00:27:00,STANDARD,CNY,CNY,126115.61,0.0,14508.88,Y,N,BOOKED,800000021,3,2024-04-10 00:27:00,2024-04-10 00:27:00
900000076,SO20240523000076,300000661,500001325,500001324,2024-05-23 09:02:00,2024-05-25 09:02:00,STANDARD,CNY,CNY,27685.98,3341.01,3185.11,Y,N,CLOSED,800000072,1,2024-05-23 09:02:00,2024-05-23 09:02:00
900000077,SO20260301000077,300000566,500001135,500001134,2026-03-01 18:10:00,2026-03-02 18:10:00,STANDARD,CNY,CNY,162925.35,7588.47,18743.62,Y,N,CLOSED,800000034,1,2026-03-01 18:10:00,2026-03-01 18:10:00
900000078,SO20240626000078,300000338,500000679,500000678,2024-06-26 12:33:00,2024-06-27 12:33:00,STANDARD,CNY,CNY,69214.71,5493.63,7962.75,Y,N,CLOSED,800000029,1,2024-06-26 12:33:00,2024-06-26 12:33:00
900000079,SO20250711000079,300000125,500000253,500000252,2025-07-11 07:23:00,2025-07-13 07:23:00,STANDARD,CNY,CNY,49158.59,0.0,5655.41,Y,N,CLOSED,800000094,3,2025-07-11 07:23:00,2025-07-11 07:23:00
900000080,SO20250816000080,300000747,500001497,500001496,2025-08-16 19:18:00,2025-08-19 19:18:00,STANDARD,CNY,CNY,134994.32,13273.82,15530.32,Y,N,CLOSED,800000064,3,2025-08-16 19:18:00,2025-08-16 19:18:00
900000081,SO20250819000081,300000540,500001083,500001082,2025-08-19 19:45:00,2025-08-21 19:45:00,STANDARD,CNY,CNY,50041.26,2330.74,5756.96,N,N,ENTERED,800000027,4,2025-08-19 19:45:00,2025-08-19 19:45:00
900000082,SO20250906000082,300000652,500001307,500001306,2025-09-06 21:30:00,2025-09-08 21:30:00,STANDARD,CNY,CNY,45705.2,5515.53,5258.12,Y,N,CLOSED,800000115,5,2025-09-06 21:30:00,2025-09-06 21:30:00
900000083,SO20250629000083,300000230,500000463,500000462,2025-06-29 04:34:00,2025-07-01 04:34:00,STANDARD,CNY,CNY,78770.53,0.0,9062.1,Y,N,CLOSED,800000101,1,2025-06-29 04:34:00,2025-06-29 04:34:00
900000084,SO20250429000084,300000088,500000179,500000178,2025-04-29 05:30:00,2025-04-30 05:30:00,STANDARD,CNY,CNY,219289.37,9064.34,25227.97,Y,N,CLOSED,800000023,1,2025-04-29 05:30:00,2025-04-29 05:30:00
900000085,SO20250330000085,300000088,500000179,500000178,2025-03-30 13:14:00,2025-03-31 13:14:00,STANDARD,CNY,CNY,29483.81,10146.85,3391.94,Y,N,CLOSED,800000072,2,2025-03-30 13:14:00,2025-03-30 13:14:00
900000086,SO20240831000086,300000916,500001835,500001834,2024-08-31 01:24:00,2024-08-31 01:24:00,STANDARD,CNY,CNY,12546.26,584.36,1443.37,Y,N,CLOSED,800000078,3,2024-08-31 01:24:00,2024-08-31 01:24:00
900000087,SO20251003000087,300000578,500001159,500001158,2025-10-03 19:14:00,2025-10-03 19:14:00,STANDARD,CNY,CNY,76621.54,1094.51,8814.87,Y,N,CLOSED,800000107,2,2025-10-03 19:14:00,2025-10-03 19:14:00
900000088,SO20240605000088,300000277,500000557,500000556,2024-06-05 00:20:00,2024-06-08 00:20:00,STANDARD,CNY,CNY,74300.01,1341.87,8547.79,Y,N,CLOSED,800000040,3,2024-06-05 00:20:00,2024-06-05 00:20:00
900000089,SO20250211000089,300000419,500000841,500000840,2025-02-11 22:51:00,2025-02-13 22:51:00,STANDARD,CNY,CNY,69721.23,6692.0,8021.02,Y,N,CLOSED,800000081,2,2025-02-11 22:51:00,2025-02-11 22:51:00
900000090,SO20250303000090,300000037,500000077,500000076,2025-03-03 09:24:00,2025-03-05 09:24:00,STANDARD,CNY,CNY,27717.84,2132.91,3188.78,Y,N,CLOSED,800000074,5,2025-03-03 09:24:00,2025-03-03 09:24:00
900000091,SO20250728000091,300000499,500001001,500001000,2025-07-28 12:04:00,2025-07-30 12:04:00,STANDARD,CNY,CNY,74873.53,0.0,8613.77,N,N,ENTERED,800000091,4,2025-07-28 12:04:00,2025-07-28 12:04:00
900000092,SO20240516000092,300000997,500001997,500001996,2024-05-16 23:18:00,2024-05-16 23:18:00,STANDARD,CNY,CNY,197934.45,19462.66,22771.22,Y,N,CLOSED,800000118,5,2024-05-16 23:18:00,2024-05-16 23:18:00
900000093,SO20250508000093,300000777,500001557,500001556,2025-05-08 09:44:00,2025-05-10 09:44:00,STANDARD,CNY,CNY,316079.05,13458.09,36363.08,Y,N,CLOSED,800000049,1,2025-05-08 09:44:00,2025-05-08 09:44:00
900000094,SO20250123000094,300000495,500000993,500000992,2025-01-23 03:30:00,2025-01-23 03:30:00,STANDARD,CNY,CNY,5476.05,538.46,629.99,Y,N,CLOSED,800000082,5,2025-01-23 03:30:00,2025-01-23 03:30:00
900000095,SO20250213000095,300000086,500000175,500000174,2025-02-13 22:40:00,2025-02-14 22:40:00,STANDARD,CNY,CNY,191071.42,0.0,21981.67,Y,N,CLOSED,800000078,3,2025-02-13 22:40:00,2025-02-13 22:40:00
900000096,SO20260305000096,300000753,500001509,500001508,2026-03-05 06:15:00,2026-03-08 06:15:00,STANDARD,CNY,CNY,153168.45,623.31,17621.15,Y,N,CLOSED,800000047,3,2026-03-05 06:15:00,2026-03-05 06:15:00
900000097,SO20240414000097,300000260,500000523,500000522,2024-04-14 12:00:00,2024-04-16 12:00:00,STANDARD,CNY,CNY,309353.1,28171.75,35589.3,N,N,ENTERED,800000012,5,2024-04-14 12:00:00,2024-04-14 12:00:00
900000098,SO20240814000098,300000209,500000421,500000420,2024-08-14 23:22:00,2024-08-16 23:22:00,STANDARD,CNY,CNY,3267.96,321.27,375.96,Y,N,CLOSED,800000088,4,2024-08-14 23:22:00,2024-08-14 23:22:00
900000099,SO20240829000099,300000584,500001171,500001170,2024-08-29 10:51:00,2024-09-01 10:51:00,STANDARD,CNY,CNY,161581.91,19075.14,18589.07,Y,Y,CANCELLED,800000029,2,2024-08-29 10:51:00,2024-08-29 10:51:00
900000100,SO20250905000100,300000295,500000593,500000592,2025-09-05 18:46:00,2025-09-06 18:46:00,STANDARD,CNY,CNY,149972.7,2914.09,17253.5,N,N,ENTERED,800000088,4,2025-09-05 18:46:00,2025-09-05 18:46:00
900000101,SO20250501000101,300000993,500001989,500001988,2025-05-01 06:35:00,2025-05-04 06:35:00,STANDARD,CNY,CNY,16697.94,2015.02,1921.0,Y,N,CLOSED,800000119,1,2025-05-01 06:35:00,2025-05-01 06:35:00
900000102,SO20250117000102,300000118,500000239,500000238,2025-01-17 23:45:00,2025-01-18 23:45:00,STANDARD,CNY,CNY,169.67,13.06,19.52,Y,N,CLOSED,800000098,1,2025-01-17 23:45:00,2025-01-17 23:45:00
900000103,SO20260121000103,300000279,500000561,500000560,2026-01-21 11:43:00,2026-01-24 11:43:00,STANDARD,CNY,CNY,21381.42,995.88,2459.81,Y,N,CLOSED,800000080,1,2026-01-21 11:43:00,2026-01-21 11:43:00
900000104,SO20250604000104,300000350,500000703,500000702,2025-06-04 00:26:00,2025-06-05 00:26:00,STANDARD,CNY,CNY,58789.38,1061.81,6763.38,N,N,ENTERED,800000026,1,2025-06-04 00:26:00,2025-06-04 00:26:00
900000105,SO20240409000105,300000513,500001029,500001028,2024-04-09 20:21:00,2024-04-12 20:21:00,STANDARD,CNY,CNY,13195.95,1592.45,1518.12,Y,N,CLOSED,800000001,1,2024-04-09 20:21:00,2024-04-09 20:21:00
900000106,SO20241127000106,300000203,500000409,500000408,2024-11-27 05:39:00,2024-11-28 05:39:00,STANDARD,CNY,CNY,364440.79,12627.48,41926.81,Y,N,CLOSED,800000076,5,2024-11-27 05:39:00,2024-11-27 05:39:00
900000107,SO20260207000107,300000429,500000861,500000860,2026-02-07 03:59:00,2026-02-07 03:59:00,STANDARD,CNY,CNY,35798.97,646.55,4118.47,Y,N,CLOSED,800000073,2,2026-02-07 03:59:00,2026-02-07 03:59:00
900000108,SO20251218000108,300000061,500000125,500000124,2025-12-18 02:39:00,2025-12-19 02:39:00,STANDARD,CNY,CNY,16622.57,0.0,1912.33,Y,Y,CANCELLED,800000060,3,2025-12-18 02:39:00,2025-12-18 02:39:00
900000109,SO20240822000109,300000432,500000867,500000866,2024-08-22 23:04:00,2024-08-22 23:04:00,STANDARD,CNY,CNY,163291.5,2949.05,18785.75,Y,N,CLOSED,800000082,2,2024-08-22 23:04:00,2024-08-22 23:04:00
900000110,SO20251011000110,300000173,500000349,500000348,2025-10-11 10:11:00,2025-10-12 10:11:00,STANDARD,CNY,CNY,20546.84,0.0,2363.8,Y,N,CLOSED,800000095,1,2025-10-11 10:11:00,2025-10-11 10:11:00
900000111,SO20250509000111,300000333,500000669,500000668,2025-05-09 15:18:00,2025-05-09 15:18:00,STANDARD,CNY,CNY,397582.04,21609.27,45739.53,Y,N,BOOKED,800000092,5,2025-05-09 15:18:00,2025-05-09 15:18:00
900000112,SO20251229000112,300000726,500001455,500001454,2025-12-29 12:38:00,2025-12-31 12:38:00,STANDARD,CNY,CNY,355159.13,9778.38,40859.01,Y,Y,CANCELLED,800000069,1,2025-12-29 12:38:00,2025-12-29 12:38:00
