id,receipt_number,receipt_amount,status
123,RCPT000123,23240.99,CLEARED
124,RCPT000124,5050.93,CLEARED
125,RCPT000125,5767.92,CLEARED
126,RCPT000126,787.56,CLEARED
127,RCPT000127,19196.67,CLEARED
128,RCPT000128,404.61,CLEARED
129,RCPT000129,1150.57,CLEARED
130,RCPT000130,12881.53,CLEARED
131,RCPT000131,15982.53,CLEARED
132,RCPT000132,18285.64,CLEARED
133,RCPT000133,22777.24,CLEARED
134,RCPT000134,25865.97,CLEARED
135,RCPT000135,1910.72,CLEARED
136,RCPT000136,743.90,CLEARED
137,RCPT000137,6282.39,CLEARED
138,RCPT000138,15424.78,CLEARED
139,RCPT000139,12876.85,CLEARED
140,RCPT000140,25787.56,CLEARED
141,RCPT000141,21151.44,CLEARED
142,RCPT000142,22769.14,CLEARED
143,RCPT000143,27332.95,CLEARED
144,RCPT000144,27069.21,CLEARED
145,RCPT000145,1742.20,CLEARED
146,RCPT000146,14195.92,CLEARED
147,RCPT000147,19665.46,CLEARED
148,RCPT000148,11750.21,CLEARED
149,RCPT000149,2828.53,CLEARED
150,RCPT000150,4869.40,CLEARED
151,RCPT000151,16259.80,CLEARED
152,RCPT000152,1641.91,CLEARED
153,RCPT000153,6331.57,CLEARED
154,RCPT000154,591.06,CLEARED
155,RCPT000155,1115.85,CLEARED
156,RCPT000156,15555.34,CLEARED
157,RCPT000157,993.55,CLEARED
158,RCPT000158,9601.87,CLEARED
159,RCPT000159,34153.71,CLEARED
160,RCPT000160,2493.54,CLEARED
161,RCPT000161,1266.96,CLEARED
162,RCPT000162,4002.13,CLEARED
163,RCPT000163,17521.36,CLEARED
164,RCPT000164,2529.79,CLEARED
165,RCPT000165,10964.25,CLEARED
166,RCPT000166,7465.58,CLEARED
167,RCPT000167,12105.86,CLEARED
168,RCPT000168,7989.25,CLEARED
169,RCPT000169,2604.36,CLEARED
170,RCPT000170,19692.98,CLEARED
171,RCPT000171,18318.85,CLEARED
172,RCPT000172,4414.12,CLEARED
173,RCPT000173,12073.26,CLEARED
174,RCPT000174,1295.13,CLEARED
175,RCPT000175,39155.16,CLEARED
176,RCPT000176,13906.55,CLEARED
177,RCPT000177,3251.01,CLEARED
178,RCPT000178,20159.44,CLEARED
179,RCPT000179,206.08,CLEARED
180,RCPT000180,11238.70,CLEARED
181,RCPT000181,21387.63,CLEARED
182,RCPT000182,1946.27,CLEARED
183,RCPT000183,13481.32,CLEARED
184,RCPT000184,20436.89,CLEARED
185,RCPT000185,4303.23,CLEARED
186,RCPT000186,2515.10,CLEARED
187,RCPT000187,6429.87,CLEARED
188,RCPT000188,14191.42,CLEARED
189,RCPT000189,18872.37,CLEARED
190,RCPT000190,1706.10,CLEARED
191,RCPT000191,3713.55,CLEARED
192,RCPT000192,8767.44,CLEARED
193,RCPT000193,19741.35,CLEARED
194,RCPT000194,38313.43,CLEARED
195,RCPT000195,3587.89,CLEARED
196,RCPT000196,13398.09,CLEARED
197,RCPT000197,2934.34,CLEARED
198,RCPT000198,9476.06,CLEARED
199,RCPT000199,20731.24,CLEARED
200,RCPT000200,1409.02,CLEARED
201,RCPT000201,20569.11,CLEARED
202,RCPT000202,20067.41,CLEARED
203,RCPT000203,3700.15,CLEARED
204,RCPT000204,23537.85,CLEARED
205,RCPT000205,2619.81,CLEARED
206,RCPT000206,580.89,CLEARED
207,RCPT000207,4569.04,CLEARED
208,RCPT000208,2955.31,CLEARED
209,RCPT000209,1821.45,CLEARED
210,RCPT000210,3874.09,CLEARED
211,RCPT000211,15102.33,CLEARED
212,RCPT000212,23840.69,CLEARED
213,RCPT000213,29174.79,CLEARED
214,RCPT000214,5889.11,CLEARED
215,RCPT000215,24206.59,CLEARED
216,RCPT000216,29607.02,CLEARED
217,RCPT000217,23977.14,CLEARED
218,RCPT000218,11502.91,CLEARED
219,RCPT000219,1543.93,CLEARED
220,RCPT000220,3248.34,CLEARED
221,RCPT000221,5814.19,CLEARED
222,RCPT000222,12466.11,CLEARED
223,RCPT000223,12451.31,CLEARED
224,RCPT000224,1372.23,CLEARED
225,RCPT000225,11310.85,CLEARED
226,RCPT000226,23170.21,CLEARED
227,RCPT000227,1005.81,CLEARED
228,RCPT000228,12607.68,CLEARED
229,RCPT000229,15164.18,CLEARED
230,RCPT000230,12052.37,CLEARED
231,RCPT000231,16414.33,CLEARED
232,RCPT000232,15382.00,CLEARED
233,RCPT000233,3515.15,CLEARED
234,RCPT000234,35344.86,CLEARED
235,RCPT000235,3006.77,CLEARED
236,RCPT000236,4018.57,CLEARED
237,RCPT000237,7431.22,CLEARED
238,RCPT000238,5886.38,CLEARED
239,RCPT000239,2719.54,CLEARED
240,RCPT000240,23519.35,CLEARED
241,RCPT000241,17606.00,CLEARED
242,RCPT000242,1499.82,CLEARED
243,RCPT000243,387.23,CLEARED
244,RCPT000244,10514.94,CLEARED
245,RCPT000245,3824.71,CLEARED
246,RCPT000246,18676.97,CLEARED
247,RCPT000247,7017.79,CLEARED
248,RCPT000248,3291.72,CLEARED
249,RCPT000249,676.03,CLEARED
250,RCPT000250,7433.42,CLEARED
251,RCPT000251,21394.97,CLEARED
252,RCPT000252,11890.36,CLEARED
253,RCPT000253,1409.02,CLEARED
254,RCPT000254,17448.54,CLEARED
255,RCPT000255,1457.00,CLEARED
256,RCPT000256,4050.56,CLEARED
257,RCPT000257,1870.15,CLEARED
258,RCPT000258,25953.78,CLEARED
259,RCPT000259,18847.97,CLEARED
260,RCPT000260,1420.25,CLEARED
261,RCPT000261,22144.92,CLEARED
262,RCPT000262,26147.01,CLEARED
263,RCPT000263,19107.90,CLEARED
264,RCPT000264,724.33,CLEARED
265,RCPT000265,7143.50,CLEARED
266,RCPT000266,13665.81,CLEARED
267,RCPT000267,7313.05,CLEARED
268,RCPT000268,17241.04,CLEARED
269,RCPT000269,672.08,CLEARED
270,RCPT000270,8525.09,CLEARED
271,RCPT000271,7223.89,CLEARED
272,RCPT000272,37268.27,CLEARED
273,RCPT000273,16946.78,CLEARED
274,RCPT000274,27163.26,CLEARED
275,RCPT000275,9004.80,CLEARED
276,RCPT000276,8742.03,CLEARED
277,RCPT000277,11594.49,CLEARED
278,RCPT000278,558.75,CLEARED
279,RCPT000279,23169.75,CLEARED
280,RCPT000280,673.04,CLEARED
281,RCPT000281,10569.16,CLEARED
282,RCPT000282,9042.07,CLEARED
283,RCPT000283,2085.39,CLEARED
284,RCPT000284,15037.97,CLEARED
285,RCPT000285,23034.71,CLEARED
286,RCPT000286,15435.61,CLEARED
287,RCPT000287,786.60,CLEARED
288,RCPT000288,349.60,CLEARED
289,RCPT000289,563.46,CLEARED
290,RCPT000290,30140.22,CLEARED
291,RCPT000291,16747.62,CLEARED
292,RCPT000292,12341.04,CLEARED
293,RCPT000293,19727.13,CLEARED
294,RCPT000294,15317.85,CLEARED
295,RCPT000295,9919.43,CLEARED
296,RCPT000296,22583.57,CLEARED
297,RCPT000297,35235.77,CLEARED
298,RCPT000298,14657.66,CLEARED
299,RCPT000299,14758.00,CLEARED
300,RCPT000300,12441.72,CLEARED
301,RCPT000301,28380.61,CLEARED
302,RCPT000302,6613.33,CLEARED
303,RCPT000303,2103.26,CLEARED
304,RCPT000304,1968.60,CLEARED
305,RCPT000305,25870.80,CLEARED
306,RCPT000306,10715.25,CLEARED
307,RCPT000307,18115.80,CLEARED
308,RCPT000308,4701.72,CLEARED
309,RCPT000309,12660.44,CLEARED
310,RCPT000310,13792.92,CLEARED
311,RCPT000311,674.94,CLEARED
312,RCPT000312,7439.57,CLEARED
313,RCPT000313,13812.27,CLEARED
314,RCPT000314,10065.87,CLEARED
315,RCPT000315,1109.47,CLEARED
316,RCPT000316,3912.44,CLEARED
317,RCPT000317,10502.92,CLEARED
318,RCPT000318,21780.35,CLEARED
319,RCPT000319,22047.54,CLEARED
320,RCPT000320,1444.55,CLEARED
321,RCPT000321,6983.82,CLEARED
322,RCPT000322,6027.87,CLEARED
323,RCPT000323,21069.43,CLEARED
324,RCPT000324,4572.15,CLEARED
325,RCPT000325,30673.33,CLEARED
326,RCPT000326,3128.09,CLEARED
327,RCPT000327,2134.04,CLEARED
328,RCPT000328,15857.97,CLEARED
329,RCPT000329,5401.66,CLEARED
330,RCPT000330,14859.26,CLEARED
331,RCPT000331,6375.06,CLEARED
332,RCPT000332,13554.30,CLEARED
333,RCPT000333,1543.93,CLEARED
334,RCPT000334,18455.40,CLEARED
335,RCPT000335,986.35,CLEARED
336,RCPT000336,3114.02,CLEARED
337,RCPT000337,18319.11,CLEARED
338,RCPT000338,6691.24,CLEARED
339,RCPT000339,10772.78,CLEARED
340,RCPT000340,13043.90,CLEARED
341,RCPT000341,849.86,CLEARED
342,RCPT000342,14608.20,CLEARED
343,RCPT000343,18744.96,CLEARED
344,RCPT000344,6236.49,CLEARED
345,RCPT000345,24180.95,CLEARED
346,RCPT000346,2151.36,CLEARED
347,RCPT000347,22776.56,CLEARED
348,RCPT000348,25342.01,CLEARED
349,RCPT000349,20822.25,CLEARED
350,RCPT000350,3989.02,CLEARED
351,RCPT000351,10991.34,CLEARED
352,RCPT000352,20947.06,CLEARED
353,RCPT000353,1147.38,CLEARED
354,RCPT000354,6694.30,CLEARED
355,RCPT000355,12043.71,CLEARED
356,RCPT000356,2919.39,CLEARED
357,RCPT000357,16754.11,CLEARED
358,RCPT000358,291.60,CLEARED
359,RCPT000359,11388.38,CLEARED
360,RCPT000360,3499.29,CLEARED
361,RCPT000361,913.81,CLEARED
362,RCPT000362,2297.38,CLEARED
363,RCPT000363,14343.52,CLEARED
364,RCPT000364,14839.35,CLEARED
365,RCPT000365,6634.94,CLEARED
366,RCPT000366,5290.66,CLEARED
367,RCPT000367,1401.65,CLEARED
368,RCPT000368,273.64,CLEARED
369,RCPT000369,17188.55,CLEARED
370,RCPT000370,1727.07,CLEARED
371,RCPT000371,6578.05,CLEARED
372,RCPT000372,4718.09,CLEARED
373,RCPT000373,2641.50,CLEARED
374,RCPT000374,2827.08,CLEARED
375,RCPT000375,12239.35,CLEARED
376,RCPT000376,15924.81,CLEARED
377,RCPT000377,9562.34,CLEARED
378,RCPT000378,9955.31,CLEARED
379,RCPT000379,8921.77,CLEARED
380,RCPT000380,13963.17,CLEARED
381,RCPT000381,1390.74,CLEARED
382,RCPT000382,1589.51,CLEARED
383,RCPT000383,7423.76,CLEARED
384,RCPT000384,12702.30,CLEARED
385,RCPT000385,11226.99,CLEARED
386,RCPT000386,19883.54,CLEARED
387,RCPT000387,1547.32,CLEARED
388,RCPT000388,12788.71,CLEARED
389,RCPT000389,41825.06,CLEARED
390,RCPT000390,2159.77,CLEARED
391,RCPT000391,4628.73,CLEARED
392,RCPT000392,11826.18,CLEARED
393,RCPT000393,25458.80,CLEARED
394,RCPT000394,5146.04,CLEARED
395,RCPT000395,8784.26,CLEARED
396,RCPT000396,1613.52,CLEARED
397,RCPT000397,12904.22,CLEARED
398,RCPT000398,25542.54,CLEARED
399,RCPT000399,9375.52,CLEARED
400,RCPT000400,625.50,CLEARED
401,RCPT000401,16522.23,CLEARED
402,RCPT000402,1528.52,CLEARED
403,RCPT000403,22822.92,CLEARED
404,RCPT000404,9807.44,CLEARED
