id,order_number,order_amount,flow_status_code
157,SO000157,23979.91,BOOKED
158,SO000158,31190.69,BOOKED
159,SO000159,18690.35,BOOKED
160,SO000160,4780.23,BOOKED
161,SO000161,13149.79,BOOKED
162,SO000162,19002.92,BOOKED
163,SO000163,17205.09,BOOKED
164,SO000164,2755.77,BOOKED
165,SO000165,31666.48,BOOKED
166,SO000166,12295.36,BOOKED
167,SO000167,29516.07,BOOKED
168,SO000168,5519.02,BOOKED
169,SO000169,21399.07,BOOKED
170,SO000170,44486.67,BOOKED
171,SO000171,18426.77,BOOKED
172,SO000172,31794.18,BOOKED
173,SO000173,1015.38,BOOKED
174,SO000174,16582.31,BOOKED
175,SO000175,17410.18,BOOKED
176,SO000176,13432.98,BOOKED
177,SO000177,808.68,BOOKED
178,SO000178,2033.08,BOOKED
179,SO000179,25825.55,BOOKED
180,SO000180,5871.63,BOOKED
181,SO000181,6164.56,BOOKED
182,SO000182,22560.77,BOOKED
183,SO000183,6512.91,BOOKED
184,SO000184,13333.12,BOOKED
185,SO000185,14092.75,BOOKED
186,SO000186,25167.63,BOOKED
187,SO000187,14994.18,BOOKED
188,SO000188,27746.06,BOOKED
189,SO000189,17596.05,BOOKED
190,SO000190,12686.75,BOOKED
191,SO000191,38924.63,BOOKED
192,SO000192,4096.22,BOOKED
193,SO000193,37549.58,BOOKED
194,SO000194,9201.57,BOOKED
195,SO000195,11419.66,BOOKED
196,SO000196,22604.02,BOOKED
197,SO000197,8850.46,BOOKED
198,SO000198,15974.11,BOOKED
199,SO000199,20197.27,BOOKED
200,SO000200,8679.15,BOOKED
