id,je_source_name,je_category_name,period_name,total_dr,total_cr
57,Receivables,Sales,2025-05,4032.99,4032.99
58,Receivables,Sales,2025-10,9460.95,9460.95
59,Receivables,Sales,2025-10,19900.53,19900.53
60,Receivables,Sales,2025-10,8523.91,8523.91
61,Receivables,Sales,2025-02,6683.54,6683.54
62,Receivables,Sales,2025-02,6782.20,6782.20
63,Receivables,Sales,2025-06,13843.34,13843.34
64,Receivables,Sales,2025-06,1002.07,1002.07
65,Receivables,Sales,2025-04,1999.76,1999.76
66,Receivables,Sales,2025-04,8601.89,8601.89
67,Receivables,Sales,2025-09,6979.42,6979.42
68,Receivables,Sales,2025-09,3170.29,3170.29
69,Receivables,Sales,2025-09,7739.88,7739.88
70,Receivables,Sales,2025-05,10189.75,10189.75
71,Receivables,Sales,2025-05,12502.85,12502.85
72,Receivables,Sales,2025-12,3259.45,3259.45
73,Receivables,Sales,2025-12,22401.63,22401.63
74,Receivables,Sales,2025-09,15167.01,15167.01
75,Receivables,Sales,2025-09,19789.33,19789.33
76,Receivables,Sales,2025-09,5098.15,5098.15
77,Receivables,Sales,2025-08,2670.02,2670.02
78,Receivables,Sales,2025-08,10639.13,10639.13
79,Receivables,Sales,2025-08,3209.80,3209.80
80,Receivables,Sales,2025-08,1067.03,1067.03
81,Receivables,Sales,2025-08,8313.18,8313.18
82,Receivables,Sales,2025-08,8903.61,8903.61
83,Receivables,Sales,2025-12,12444.29,12444.29
84,Receivables,Sales,2025-09,15555.38,15555.38
85,Receivables,Sales,2025-09,411.13,411.13
86,Receivables,Sales,2025-01,26171.93,26171.93
87,Receivables,Sales,2025-01,16599.07,16599.07
88,Receivables,Sales,2025-02,5220.81,5220.81
89,Receivables,Sales,2025-02,10826.09,10826.09
90,Receivables,Sales,2025-02,5303.65,5303.65
91,Receivables,Sales,2025-02,1370.71,1370.71
92,Receivables,Sales,2025-02,30328.36,30328.36
93,Receivables,Sales,2025-06,12614.60,12614.60
94,Receivables,Sales,2025-06,23914.69,23914.69
95,Receivables,Sales,2025-06,15140.37,15140.37
96,Receivables,Sales,2025-03,3323.65,3323.65
97,Receivables,Sales,2025-03,37963.80,37963.80
98,Receivables,Sales,2025-03,3747.94,3747.94
99,Receivables,Sales,2025-09,3937.01,3937.01
100,Receivables,Sales,2025-09,616.70,616.70
101,Receivables,Sales,2025-05,8328.76,8328.76
102,Receivables,Sales,2025-05,2712.88,2712.88
103,Receivables,Sales,2025-09,1295.13,1295.13
104,Receivables,Sales,2025-09,7942.78,7942.78
105,Receivables,Sales,2025-09,27569.57,27569.57
106,Receivables,Sales,2025-05,497.18,497.18
107,Receivables,Sales,2025-09,11907.25,11907.25
108,Receivables,Sales,2025-03,6056.16,6056.16
109,Receivables,Sales,2025-03,3918.41,3918.41
110,Receivables,Sales,2025-03,11277.21,11277.21
111,Receivables,Sales,2025-06,4010.62,4010.62
112,Receivables,Sales,2025-06,2034.66,2034.66
113,Receivables,Sales,2025-12,26931.95,26931.95
114,Receivables,Sales,2025-12,698.92,698.92
115,Receivables,Sales,2025-04,762.77,762.77
116,Receivables,Sales,2025-04,1792.80,1792.80
117,Receivables,Sales,2025-01,22108.36,22108.36
118,Receivables,Sales,2025-08,18551.35,18551.35
119,Receivables,Sales,2025-08,18662.58,18662.58
120,Receivables,Sales,2025-11,16497.76,16497.76
121,Receivables,Sales,2025-11,3552.05,3552.05
122,Receivables,Sales,2025-09,1752.88,1752.88
123,Receivables,Sales,2025-09,1603.84,1603.84
124,Receivables,Sales,2025-09,23240.99,23240.99
125,Receivables,Sales,2025-03,5050.93,5050.93
126,Receivables,Sales,2025-03,5767.92,5767.92
127,Receivables,Sales,2025-06,787.56,787.56
128,Receivables,Sales,2025-06,19196.67,19196.67
129,Receivables,Sales,2025-05,404.61,404.61
130,Receivables,Sales,2025-05,1150.57,1150.57
131,Receivables,Sales,2025-05,12881.53,12881.53
132,Receivables,Sales,2025-10,15982.53,15982.53
133,Receivables,Sales,2025-10,18285.64,18285.64
134,Receivables,Sales,2025-10,22777.24,22777.24
135,Receivables,Sales,2025-02,25865.97,25865.97
136,Receivables,Sales,2025-02,1910.72,1910.72
137,Receivables,Sales,2025-02,743.90,743.90
138,Receivables,Sales,2025-02,6282.39,6282.39
139,Receivables,Sales,2025-01,15424.78,15424.78
140,Receivables,Sales,2025-06,12876.85,12876.85
141,Receivables,Sales,2025-06,25787.56,25787.56
142,Receivables,Sales,2025-06,21151.44,21151.44
143,Receivables,Sales,2025-11,22769.14,22769.14
144,Receivables,Sales,2025-11,27332.95,27332.95
145,Receivables,Sales,2025-11,27069.21,27069.21
146,Receivables,Sales,2025-05,1742.20,1742.20
147,Receivables,Sales,2025-05,14195.92,14195.92
148,Receivables,Sales,2025-01,19665.46,19665.46
149,Receivables,Sales,2025-01,11750.21,11750.21
150,Receivables,Sales,2025-01,2828.53,2828.53
151,Receivables,Sales,2025-04,4869.40,4869.40
152,Receivables,Sales,2025-04,16259.80,16259.80
153,Receivables,Sales,2025-08,1641.91,1641.91
154,Receivables,Sales,2025-08,6331.57,6331.57
155,Receivables,Sales,2025-01,591.06,591.06
156,Receivables,Sales,2025-01,1115.85,1115.85
157,Receivables,Sales,2025-01,15555.34,15555.34
158,Receivables,Sales,2025-01,993.55,993.55
159,Receivables,Sales,2025-11,9601.87,9601.87
160,Receivables,Sales,2025-11,34153.71,34153.71
161,Receivables,Sales,2025-11,2493.54,2493.54
162,Receivables,Sales,2025-05,1266.96,1266.96
163,Receivables,Sales,2025-01,4002.13,4002.13
164,Receivables,Sales,2025-01,17521.36,17521.36
165,Receivables,Sales,2025-01,2529.79,2529.79
166,Receivables,Sales,2025-01,10964.25,10964.25
167,Receivables,Sales,2025-01,7465.58,7465.58
168,Receivables,Sales,2025-10,12105.86,12105.86
169,Receivables,Sales,2025-10,7989.25,7989.25
170,Receivables,Sales,2025-08,2604.36,2604.36
171,Receivables,Sales,2025-08,19692.98,19692.98
172,Receivables,Sales,2025-09,18318.85,18318.85
173,Receivables,Sales,2025-09,4414.12,4414.12
174,Receivables,Sales,2025-09,12073.26,12073.26
175,Receivables,Sales,2025-08,1295.13,1295.13
176,Receivables,Sales,2025-12,39155.16,39155.16
177,Receivables,Sales,2025-02,13906.55,13906.55
178,Receivables,Sales,2025-02,3251.01,3251.01
179,Receivables,Sales,2025-02,20159.44,20159.44
180,Receivables,Sales,2025-03,206.08,206.08
181,Receivables,Sales,2025-06,11238.70,11238.70
182,Receivables,Sales,2025-06,21387.63,21387.63
183,Receivables,Sales,2025-06,1946.27,1946.27
184,Receivables,Sales,2025-04,13481.32,13481.32
185,Receivables,Sales,2025-04,20436.89,20436.89
186,Receivables,Sales,2025-06,4303.23,4303.23
187,Receivables,Sales,2025-06,2515.10,2515.10
188,Receivables,Sales,2025-06,6429.87,6429.87
189,Receivables,Sales,2025-09,14191.42,14191.42
190,Receivables,Sales,2025-09,18872.37,18872.37
191,Receivables,Sales,2025-06,1706.10,1706.10
192,Receivables,Sales,2025-06,3713.55,3713.55
193,Receivables,Sales,2025-06,8767.44,8767.44
194,Receivables,Sales,2025-11,19741.35,19741.35
195,Receivables,Sales,2025-11,38313.43,38313.43
196,Receivables,Sales,2025-11,3587.89,3587.89
197,Receivables,Sales,2025-10,13398.09,13398.09
198,Receivables,Sales,2025-10,2934.34,2934.34
199,Receivables,Sales,2025-10,9476.06,9476.06
200,Receivables,Sales,2025-11,20731.24,20731.24
201,Receivables,Sales,2025-11,1409.02,1409.02
202,Receivables,Sales,2025-11,20569.11,20569.11
203,Receivables,Sales,2025-10,20067.41,20067.41
204,Receivables,Sales,2025-10,3700.15,3700.15
205,Receivables,Sales,2025-06,23537.85,23537.85
206,Receivables,Sales,2025-06,2619.81,2619.81
207,Receivables,Sales,2025-03,580.89,580.89
208,Receivables,Sales,2025-03,4569.04,4569.04
209,Receivables,Sales,2025-03,2955.31,2955.31
210,Receivables,Sales,2025-10,1821.45,1821.45
211,Receivables,Sales,2025-10,3874.09,3874.09
212,Receivables,Sales,2025-02,15102.33,15102.33
213,Receivables,Sales,2025-02,23840.69,23840.69
214,Receivables,Sales,2025-02,29174.79,29174.79
215,Receivables,Sales,2025-02,5889.11,5889.11
216,Receivables,Sales,2025-02,24206.59,24206.59
217,Receivables,Sales,2025-02,29607.02,29607.02
218,Receivables,Sales,2025-11,23977.14,23977.14
219,Receivables,Sales,2025-12,11502.91,11502.91
220,Receivables,Sales,2025-12,1543.93,1543.93
221,Receivables,Sales,2025-04,3248.34,3248.34
222,Receivables,Sales,2025-04,5814.19,5814.19
223,Receivables,Sales,2025-02,12466.11,12466.11
224,Receivables,Sales,2025-02,12451.31,12451.31
225,Receivables,Sales,2025-02,1372.23,1372.23
226,Receivables,Sales,2025-04,11310.85,11310.85
227,Receivables,Sales,2025-04,23170.21,23170.21
228,Receivables,Sales,2025-04,1005.81,1005.81
229,Receivables,Sales,2025-12,12607.68,12607.68
230,Receivables,Sales,2025-12,15164.18,15164.18
231,Receivables,Sales,2025-12,12052.37,12052.37
232,Receivables,Sales,2025-09,16414.33,16414.33
233,Receivables,Sales,2025-09,15382.00,15382.00
234,Receivables,Sales,2025-11,3515.15,3515.15
235,Receivables,Sales,2025-11,35344.86,35344.86
236,Receivables,Sales,2025-08,3006.77,3006.77
237,Receivables,Sales,2025-08,4018.57,4018.57
238,Receivables,Sales,2025-08,7431.22,7431.22
239,Receivables,Sales,2025-10,5886.38,5886.38
240,Receivables,Sales,2025-09,2719.54,2719.54
241,Receivables,Sales,2025-09,23519.35,23519.35
242,Receivables,Sales,2025-11,17606.00,17606.00
243,Receivables,Sales,2025-10,1499.82,1499.82
244,Receivables,Sales,2025-06,387.23,387.23
245,Receivables,Sales,2025-06,10514.94,10514.94
246,Receivables,Sales,2025-09,3824.71,3824.71
247,Receivables,Sales,2025-05,18676.97,18676.97
248,Receivables,Sales,2025-05,7017.79,7017.79
249,Receivables,Sales,2025-05,3291.72,3291.72
250,Receivables,Sales,2025-04,676.03,676.03
251,Receivables,Sales,2025-04,7433.42,7433.42
252,Receivables,Sales,2025-04,21394.97,21394.97
253,Receivables,Sales,2025-02,11890.36,11890.36
254,Receivables,Sales,2025-02,1409.02,1409.02
255,Receivables,Sales,2025-08,17448.54,17448.54
256,Receivables,Sales,2025-08,1457.00,1457.00
257,Receivables,Sales,2025-08,4050.56,4050.56
258,Receivables,Sales,2025-12,1870.15,1870.15
259,Receivables,Sales,2025-12,25953.78,25953.78
260,Receivables,Sales,2025-12,18847.97,18847.97
261,Receivables,Sales,2025-04,1420.25,1420.25
262,Receivables,Sales,2025-06,22144.92,22144.92
263,Receivables,Sales,2025-06,26147.01,26147.01
264,Receivables,Sales,2025-12,19107.90,19107.90
265,Receivables,Sales,2025-12,724.33,724.33
266,Receivables,Sales,2025-12,7143.50,7143.50
267,Receivables,Sales,2025-09,13665.81,13665.81
268,Receivables,Sales,2025-09,7313.05,7313.05
269,Receivables,Sales,2025-11,17241.04,17241.04
270,Receivables,Sales,2025-11,672.08,672.08
271,Receivables,Sales,2025-08,8525.09,8525.09
272,Receivables,Sales,2025-08,7223.89,7223.89
273,Receivables,Sales,2025-08,37268.27,37268.27
274,Receivables,Sales,2025-09,16946.78,16946.78
275,Receivables,Sales,2025-11,27163.26,27163.26
276,Receivables,Sales,2025-01,9004.80,9004.80
277,Receivables,Sales,2025-01,8742.03,8742.03
278,Receivables,Sales,2025-01,11594.49,11594.49
279,Receivables,Sales,2025-01,558.75,558.75
280,Receivables,Sales,2025-05,23169.75,23169.75
281,Receivables,Sales,2025-01,673.04,673.04
282,Receivables,Sales,2025-01,10569.16,10569.16
283,Receivables,Sales,2025-10,9042.07,9042.07
284,Receivables,Sales,2025-10,2085.39,2085.39
285,Receivables,Sales,2025-10,15037.97,15037.97
286,Receivables,Sales,2025-11,23034.71,23034.71
287,Receivables,Sales,2025-11,15435.61,15435.61
288,Receivables,Sales,2025-03,786.60,786.60
289,Receivables,Sales,2025-03,349.60,349.60
290,Receivables,Sales,2025-08,563.46,563.46
291,Receivables,Sales,2025-08,30140.22,30140.22
292,Receivables,Sales,2025-12,16747.62,16747.62
293,Receivables,Sales,2025-12,12341.04,12341.04
294,Receivables,Sales,2025-12,19727.13,19727.13
295,Receivables,Sales,2025-12,15317.85,15317.85
296,Receivables,Sales,2025-06,9919.43,9919.43
297,Receivables,Sales,2025-09,22583.57,22583.57
298,Receivables,Sales,2025-09,35235.77,35235.77
299,Receivables,Sales,2025-02,14657.66,14657.66
300,Receivables,Sales,2025-04,14758.00,14758.00
301,Receivables,Sales,2025-01,12441.72,12441.72
302,Receivables,Sales,2025-03,28380.61,28380.61
303,Receivables,Sales,2025-03,6613.33,6613.33
304,Receivables,Sales,2025-03,2103.26,2103.26
305,Receivables,Sales,2025-05,1968.60,1968.60
306,Receivables,Sales,2025-03,25870.80,25870.80
307,Receivables,Sales,2025-01,10715.25,10715.25
308,Receivables,Sales,2025-02,18115.80,18115.80
309,Receivables,Sales,2025-02,4701.72,4701.72
310,Receivables,Sales,2025-02,12660.44,12660.44
311,Receivables,Sales,2025-01,13792.92,13792.92
312,Receivables,Sales,2025-11,674.94,674.94
313,Receivables,Sales,2025-11,7439.57,7439.57
314,Receivables,Sales,2025-11,13812.27,13812.27
315,Receivables,Sales,2025-05,10065.87,10065.87
316,Receivables,Sales,2025-05,1109.47,1109.47
317,Receivables,Sales,2025-06,3912.44,3912.44
318,Receivables,Sales,2025-06,10502.92,10502.92
319,Receivables,Sales,2025-06,21780.35,21780.35
320,Receivables,Sales,2025-10,22047.54,22047.54
321,Receivables,Sales,2025-10,1444.55,1444.55
322,Receivables,Sales,2025-10,6983.82,6983.82
323,Receivables,Sales,2025-07,6027.87,6027.87
324,Receivables,Sales,2025-07,21069.43,21069.43
325,Receivables,Sales,2025-02,4572.15,4572.15
326,Receivables,Sales,2025-02,30673.33,30673.33
327,Receivables,Sales,2025-06,3128.09,3128.09
328,Receivables,Sales,2025-06,2134.04,2134.04
329,Receivables,Sales,2025-06,15857.97,15857.97
330,Receivables,Sales,2025-04,5401.66,5401.66
331,Receivables,Sales,2025-05,14859.26,14859.26
332,Receivables,Sales,2025-12,6375.06,6375.06
333,Receivables,Sales,2025-12,13554.30,13554.30
334,Receivables,Sales,2025-12,1543.93,1543.93
335,Receivables,Sales,2025-04,18455.40,18455.40
336,Receivables,Sales,2025-04,986.35,986.35
337,Receivables,Sales,2025-07,3114.02,3114.02
338,Receivables,Sales,2025-09,18319.11,18319.11
339,Receivables,Sales,2025-09,6691.24,6691.24
340,Receivables,Sales,2025-09,10772.78,10772.78
341,Receivables,Sales,2025-10,13043.90,13043.90
342,Receivables,Sales,2025-10,849.86,849.86
343,Receivables,Sales,2025-12,14608.20,14608.20
344,Receivables,Sales,2025-12,18744.96,18744.96
345,Receivables,Sales,2025-02,6236.49,6236.49
346,Receivables,Sales,2025-05,24180.95,24180.95
347,Receivables,Sales,2025-05,2151.36,2151.36
348,Receivables,Sales,2025-05,22776.56,22776.56
349,Receivables,Sales,2025-05,25342.01,25342.01
350,Receivables,Sales,2025-08,20822.25,20822.25
351,Receivables,Sales,2025-04,3989.02,3989.02
352,Receivables,Sales,2025-04,10991.34,10991.34
353,Receivables,Sales,2025-04,20947.06,20947.06
354,Receivables,Sales,2025-03,1147.38,1147.38
355,Receivables,Sales,2025-09,6694.30,6694.30
356,Receivables,Sales,2025-09,12043.71,12043.71
357,Receivables,Sales,2025-06,2919.39,2919.39
358,Receivables,Sales,2025-06,16754.11,16754.11
359,Receivables,Sales,2025-02,291.60,291.60
360,Receivables,Sales,2025-02,11388.38,11388.38
361,Receivables,Sales,2025-02,3499.29,3499.29
362,Receivables,Sales,2025-12,913.81,913.81
363,Receivables,Sales,2025-06,2297.38,2297.38
364,Receivables,Sales,2025-10,14343.52,14343.52
365,Receivables,Sales,2025-10,14839.35,14839.35
366,Receivables,Sales,2025-07,6634.94,6634.94
367,Receivables,Sales,2025-05,5290.66,5290.66
368,Receivables,Sales,2025-05,1401.65,1401.65
369,Receivables,Sales,2025-05,273.64,273.64
370,Receivables,Sales,2025-03,17188.55,17188.55
371,Receivables,Sales,2025-03,1727.07,1727.07
372,Receivables,Sales,2025-03,6578.05,6578.05
373,Receivables,Sales,2025-07,4718.09,4718.09
374,Receivables,Sales,2025-07,2641.50,2641.50
375,Receivables,Sales,2025-04,2827.08,2827.08
376,Receivables,Sales,2025-04,12239.35,12239.35
377,Receivables,Sales,2025-03,15924.81,15924.81
378,Receivables,Sales,2025-06,9562.34,9562.34
379,Receivables,Sales,2025-06,9955.31,9955.31
380,Receivables,Sales,2025-06,8921.77,8921.77
381,Receivables,Sales,2025-08,13963.17,13963.17
382,Receivables,Sales,2025-08,1390.74,1390.74
383,Receivables,Sales,2025-08,1589.51,1589.51
384,Receivables,Sales,2025-11,7423.76,7423.76
385,Receivables,Sales,2025-11,12702.30,12702.30
386,Receivables,Sales,2025-11,11226.99,11226.99
387,Receivables,Sales,2025-02,19883.54,19883.54
388,Receivables,Sales,2025-01,1547.32,1547.32
389,Receivables,Sales,2025-01,12788.71,12788.71
390,Receivables,Sales,2025-05,41825.06,41825.06
391,Receivables,Sales,2025-05,2159.77,2159.77
392,Receivables,Sales,2025-07,4628.73,4628.73
393,Receivables,Sales,2025-01,11826.18,11826.18
394,Receivables,Sales,2025-01,25458.80,25458.80
395,Receivables,Sales,2025-01,5146.04,5146.04
396,Receivables,Sales,2025-01,8784.26,8784.26
397,Receivables,Sales,2025-01,1613.52,1613.52
398,Receivables,Sales,2025-02,12904.22,12904.22
399,Receivables,Sales,2025-01,25542.54,25542.54
400,Receivables,Sales,2025-04,9375.52,9375.52
401,Receivables,Sales,2025-04,625.50,625.50
402,Receivables,Sales,2025-04,16522.23,16522.23
403,Receivables,Sales,2025-04,1528.52,1528.52
404,Receivables,Sales,2025-04,22822.92,22822.92
405,Receivables,Sales,2025-12,9807.44,9807.44
