header_id,order_number,sold_to_org_id,order_date,booked_date,order_amount,discount_amount,tax_amount,flow_status_code,salesrep_id
900000025,SO20250411000025,300000294,2025-04-11 08:14:00,2025-04-14 08:14:00,176244.27,10840.14,20275.89,BOOKED,800000110
900000026,SO20240826000026,300000287,2024-08-26 01:07:00,2024-08-26 01:07:00,351005.37,1111.43,40381.14,CLOSED,800000015
900000027,SO20250225000027,300000529,2025-02-25 10:09:00,2025-02-28 10:09:00,68014.80,5233.91,7824.71,BOOKED,800000015
900000028,SO20250122000028,300000357,2025-01-22 13:32:00,2025-01-23 13:32:00,15991.69,0.00,1839.75,BOOKED,800000070
900000029,SO20260324000029,300000208,2026-03-24 19:10:00,2026-03-26 19:10:00,33847.84,3328.20,3894.00,CLOSED,800000027
900000030,SO20240928000030,300000008,2024-09-28 05:01:00,2024-10-01 05:01:00,412213.72,8903.40,47422.82,CLOSED,800000017
900000031,SO20240418000031,300000206,2024-04-18 18:52:00,2024-04-18 18:52:00,138378.83,16698.90,15919.69,BOOKED,800000075
900000032,SO20250217000032,300000071,2025-02-17 01:07:00,2025-02-18 01:07:00,14001.76,252.87,1610.82,CLOSED,800000054
900000033,SO20251227000033,300000584,2025-12-27 15:36:00,2025-12-28 15:36:00,233689.09,15476.15,26884.58,CLOSED,800000115
900000034,SO20240729000034,300000539,2024-07-29 05:45:00,2024-07-29 05:45:00,11378.92,0.00,1309.08,CLOSED,800000071
900000035,SO20250220000035,300000428,2025-02-20 18:26:00,2025-02-20 18:26:00,226605.07,18122.81,26069.61,CLOSED,800000066
900000036,SO20240519000036,300000539,2024-05-19 02:38:00,2024-05-19 02:38:00,158458.63,12998.29,18229.75,CLOSED,800000012
900000037,SO20250606000037,300000728,2025-06-06 20:11:00,2025-06-09 20:11:00,155208.56,12294.77,17855.85,CLOSED,800000014
900000038,SO20241105000038,300000802,2024-11-05 03:48:00,2024-11-05 03:48:00,235889.55,19029.73,27137.74,CANCELLED,800000018
900000039,SO20240607000039,300000371,2024-06-07 14:44:00,2024-06-09 14:44:00,42408.62,4169.95,4878.87,CLOSED,800000029
900000040,SO20250514000040,300000531,2025-05-14 16:51:00,2025-05-14 16:51:00,86478.45,4027.94,9948.85,CLOSED,800000111
900000041,SO20240721000041,300000940,2024-07-21 17:24:00,2024-07-21 17:24:00,146412.19,11363.97,16843.88,ENTERED,800000090
900000042,SO20260109000042,300000193,2026-01-09 00:14:00,2026-01-09 00:14:00,38083.11,0.00,4381.24,BOOKED,800000015
900000043,SO20250406000043,300000694,2025-04-06 12:42:00,2025-04-08 12:42:00,176867.49,0.00,20347.59,CLOSED,800000011
900000044,SO20250129000044,300000111,2025-01-29 09:48:00,2025-01-30 09:48:00,150026.60,11544.98,17259.70,CLOSED,800000057
900000045,SO20240823000045,300000435,2024-08-23 16:55:00,2024-08-26 16:55:00,126064.89,0.00,14503.04,ENTERED,800000031
900000046,SO20251004000046,300000971,2025-10-04 17:43:00,2025-10-05 17:43:00,107800.08,6984.71,12401.78,CLOSED,800000106
900000047,SO20251121000047,300000620,2025-11-21 11:03:00,2025-11-23 11:03:00,90406.22,8889.48,10400.72,BOOKED,800000104
900000048,SO20251204000048,300000496,2025-12-04 23:38:00,2025-12-05 23:38:00,11114.07,527.98,1278.61,BOOKED,800000073
900000049,SO20250901000049,300000808,2025-09-01 15:34:00,2025-09-04 15:34:00,90009.78,1625.57,10355.11,CLOSED,800000087
900000050,SO20260328000050,300000153,2026-03-28 20:45:00,2026-03-29 20:45:00,182066.47,972.37,20945.70,ENTERED,800000047
900000051,SO20250921000051,300000615,2025-09-21 09:33:00,2025-09-24 09:33:00,17821.07,1752.38,2050.21,BOOKED,800000011
900000052,SO20250610000052,300000490,2025-06-10 22:50:00,2025-06-11 22:50:00,71017.01,5018.12,8170.10,CLOSED,800000028
900000053,SO20240912000053,300000387,2024-09-12 06:11:00,2024-09-13 06:11:00,68868.54,1243.75,7922.93,CANCELLED,800000001
900000054,SO20240730000054,300000799,2024-07-30 20:18:00,2024-07-31 20:18:00,171772.09,14962.09,19761.39,CLOSED,800000062
900000055,SO20251230000055,300000073,2025-12-30 05:07:00,2025-12-31 05:07:00,447310.16,2975.91,51460.46,CLOSED,800000068
900000056,SO20250919000056,300000187,2025-09-19 11:09:00,2025-09-19 11:09:00,53512.39,1941.23,6156.29,CLOSED,800000016
900000057,SO20250213000057,300000429,2025-02-13 07:56:00,2025-02-13 07:56:00,92414.84,11152.18,10631.80,CLOSED,800000113
900000058,SO20250807000058,300000811,2025-08-07 22:34:00,2025-08-08 22:34:00,162183.21,7466.34,18658.25,CLOSED,800000024
900000059,SO20260117000059,300000842,2026-01-17 23:19:00,2026-01-18 23:19:00,29206.52,0.00,3360.04,CLOSED,800000041
900000060,SO20240628000060,300000067,2024-06-28 06:10:00,2024-06-29 06:10:00,140584.25,6312.30,16173.41,BOOKED,800000078
900000061,SO20240703000061,300000393,2024-07-03 19:25:00,2024-07-05 19:25:00,64721.64,4980.52,7445.85,CLOSED,800000044
900000062,SO20251123000062,300000469,2025-11-23 06:27:00,2025-11-24 06:27:00,34089.91,4113.76,3921.85,CLOSED,800000001
900000063,SO20250111000063,300000885,2025-01-11 05:57:00,2025-01-11 05:57:00,1022.11,18.46,117.59,CLOSED,800000109
900000064,SO20241029000064,300000556,2024-10-29 10:59:00,2024-10-29 10:59:00,178410.08,8105.08,20525.05,CANCELLED,800000050
900000065,SO20250205000065,300000801,2025-02-05 10:06:00,2025-02-06 10:06:00,134553.60,6267.09,15479.62,BOOKED,800000063
900000066,SO20250310000066,300000177,2025-03-10 14:28:00,2025-03-10 14:28:00,35337.43,638.21,4065.37,CLOSED,800000081
900000067,SO20260329000067,300000214,2026-03-29 14:19:00,2026-03-31 14:19:00,149783.40,13852.09,17231.72,CLOSED,800000019
900000068,SO20251028000068,300000272,2025-10-28 23:05:00,2025-10-31 23:05:00,59574.24,2204.05,6853.68,CLOSED,800000054
900000069,SO20260109000069,300000585,2026-01-09 21:57:00,2026-01-10 21:57:00,127441.39,0.00,14661.40,CLOSED,800000105
900000070,SO20240605000070,300000783,2024-06-05 10:28:00,2024-06-08 10:28:00,63391.40,6233.13,7292.82,CLOSED,800000086
900000071,SO20240705000071,300000658,2024-07-05 21:43:00,2024-07-06 21:43:00,97207.45,0.00,11183.16,CLOSED,800000090
900000072,SO20250310000072,300000398,2025-03-10 22:41:00,2025-03-13 22:41:00,266819.54,4819.42,30696.05,BOOKED,800000040
900000073,SO20250630000073,300000201,2025-06-30 10:11:00,2025-07-02 10:11:00,420900.09,32177.75,48422.13,CLOSED,800000069
900000074,SO20250914000074,300000484,2025-09-14 14:55:00,2025-09-14 14:55:00,38424.56,1616.17,4420.52,CLOSED,800000038
900000075,SO20240410000075,300000910,2024-04-10 00:27:00,2024-04-11 00:27:00,126115.61,0.00,14508.88,BOOKED,800000021
900000076,SO20240523000076,300000661,2024-05-23 09:02:00,2024-05-25 09:02:00,27685.98,3341.01,3185.11,CLOSED,800000072
900000077,SO20260301000077,300000566,2026-03-01 18:10:00,2026-03-02 18:10:00,162925.35,7588.47,18743.62,CLOSED,800000034
900000078,SO20240626000078,300000338,2024-06-26 12:33:00,2024-06-27 12:33:00,69214.71,5493.63,7962.75,CLOSED,800000029
900000079,SO20250711000079,300000125,2025-07-11 07:23:00,2025-07-13 07:23:00,49158.59,0.00,5655.41,CLOSED,800000094
900000080,SO20250816000080,300000747,2025-08-16 19:18:00,2025-08-19 19:18:00,134994.32,13273.82,15530.32,CLOSED,800000064
900000081,SO20250819000081,300000540,2025-08-19 19:45:00,2025-08-21 19:45:00,50041.26,2330.74,5756.96,ENTERED,800000027
900000082,SO20250906000082,300000652,2025-09-06 21:30:00,2025-09-08 21:30:00,45705.20,5515.53,5258.12,CLOSED,800000115
900000083,SO20250629000083,300000230,2025-06-29 04:34:00,2025-07-01 04:34:00,78770.53,0.00,9062.10,CLOSED,800000101
900000084,SO20250429000084,300000088,2025-04-29 05:30:00,2025-04-30 05:30:00,219289.37,9064.34,25227.97,CLOSED,800000023
900000085,SO20250330000085,300000088,2025-03-30 13:14:00,2025-03-31 13:14:00,29483.81,10146.85,3391.94,CLOSED,800000072
900000086,SO20240831000086,300000916,2024-08-31 01:24:00,2024-08-31 01:24:00,12546.26,584.36,1443.37,CLOSED,800000078
900000087,SO20251003000087,300000578,2025-10-03 19:14:00,2025-10-03 19:14:00,76621.54,1094.51,8814.87,CLOSED,800000107
900000088,SO20240605000088,300000277,2024-06-05 00:20:00,2024-06-08 00:20:00,74300.01,1341.87,8547.79,CLOSED,800000040
900000089,SO20250211000089,300000419,2025-02-11 22:51:00,2025-02-13 22:51:00,69721.23,6692.00,8021.02,CLOSED,800000081
900000090,SO20250303000090,300000037,2025-03-03 09:24:00,2025-03-05 09:24:00,27717.84,2132.91,3188.78,CLOSED,800000074
900000091,SO20250728000091,300000499,2025-07-28 12:04:00,2025-07-30 12:04:00,74873.53,0.00,8613.77,ENTERED,800000091
900000092,SO20240516000092,300000997,2024-05-16 23:18:00,2024-05-16 23:18:00,197934.45,19462.66,22771.22,CLOSED,800000118
900000093,SO20250508000093,300000777,2025-05-08 09:44:00,2025-05-10 09:44:00,316079.05,13458.09,36363.08,CLOSED,800000049
900000094,SO20250123000094,300000495,2025-01-23 03:30:00,2025-01-23 03:30:00,5476.05,538.46,629.99,CLOSED,800000082
900000095,SO20250213000095,300000086,2025-02-13 22:40:00,2025-02-14 22:40:00,191071.42,0.00,21981.67,CLOSED,800000078
900000096,SO20260305000096,300000753,2026-03-05 06:15:00,2026-03-08 06:15:00,153168.45,623.31,17621.15,CLOSED,800000047
900000097,SO20240414000097,300000260,2024-04-14 12:00:00,2024-04-16 12:00:00,309353.10,28171.75,35589.30,ENTERED,800000012
900000098,SO20240814000098,300000209,2024-08-14 23:22:00,2024-08-16 23:22:00,3267.96,321.27,375.96,CLOSED,800000088
900000099,SO20240829000099,300000584,2024-08-29 10:51:00,2024-09-01 10:51:00,161581.91,19075.14,18589.07,CANCELLED,800000029
900000100,SO20250905000100,300000295,2025-09-05 18:46:00,2025-09-06 18:46:00,149972.70,2914.09,17253.50,ENTERED,800000088
900000101,SO20250501000101,300000993,2025-05-01 06:35:00,2025-05-04 06:35:00,16697.94,2015.02,1921.00,CLOSED,800000119
900000102,SO20250117000102,300000118,2025-01-17 23:45:00,2025-01-18 23:45:00,169.67,13.06,19.52,CLOSED,800000098
900000103,SO20260121000103,300000279,2026-01-21 11:43:00,2026-01-24 11:43:00,21381.42,995.88,2459.81,CLOSED,800000080
900000104,SO20250604000104,300000350,2025-06-04 00:26:00,2025-06-05 00:26:00,58789.38,1061.81,6763.38,ENTERED,800000026
900000105,SO20240409000105,300000513,2024-04-09 20:21:00,2024-04-12 20:21:00,13195.95,1592.45,1518.12,CLOSED,800000001
900000106,SO20241127000106,300000203,2024-11-27 05:39:00,2024-11-28 05:39:00,364440.79,12627.48,41926.81,CLOSED,800000076
900000107,SO20260207000107,300000429,2026-02-07 03:59:00,2026-02-07 03:59:00,35798.97,646.55,4118.47,CLOSED,800000073
900000108,SO20251218000108,300000061,2025-12-18 02:39:00,2025-12-19 02:39:00,16622.57,0.00,1912.33,CANCELLED,800000060
900000109,SO20240822000109,300000432,2024-08-22 23:04:00,2024-08-22 23:04:00,163291.50,2949.05,18785.75,CLOSED,800000082
900000110,SO20251011000110,300000173,2025-10-11 10:11:00,2025-10-12 10:11:00,20546.84,0.00,2363.80,CLOSED,800000095
900000111,SO20250509000111,300000333,2025-05-09 15:18:00,2025-05-09 15:18:00,397582.04,21609.27,45739.53,BOOKED,800000092
900000112,SO20251229000112,300000726,2025-12-29 12:38:00,2025-12-31 12:38:00,355159.13,9778.38,40859.01,CANCELLED,800000069
900000113,SO20241204000113,300000632,2024-12-04 20:39:00,2024-12-07 20:39:00,252313.26,24809.51,29027.19,CLOSED,800000110
900000114,SO20250223000114,300000918,2025-02-23 02:53:00,2025-02-26 02:53:00,183680.87,16001.78,21131.43,CLOSED,800000032
900000115,SO20250814000115,300000529,2025-08-14 00:14:00,2025-08-14 00:14:00,123516.24,9504.88,14209.83,BOOKED,800000069
900000116,SO20241112000116,300000346,2024-11-12 20:55:00,2024-11-15 20:55:00,111216.75,10935.78,12794.85,CANCELLED,800000039
900000117,SO20240805000117,300000215,2024-08-05 19:59:00,2024-08-05 19:59:00,28369.03,512.33,3263.69,BOOKED,800000018
900000118,SO20250705000118,300000148,2025-07-05 02:57:00,2025-07-06 02:57:00,271067.93,24075.73,31184.81,CANCELLED,800000048
900000119,SO20240609000119,300000985,2024-06-09 10:40:00,2024-06-11 10:40:00,158281.07,11863.66,18209.33,CLOSED,800000053
900000120,SO20250615000120,300000830,2025-06-15 14:41:00,2025-06-16 14:41:00,35634.04,1659.69,4099.49,CLOSED,800000002
900000121,SO20251126000121,300000832,2025-11-26 15:10:00,2025-11-26 15:10:00,211118.49,0.00,24287.97,CLOSED,800000078
900000122,SO20250130000122,300000370,2025-01-30 23:24:00,2025-02-01 23:24:00,9046.95,1091.71,1040.80,CLOSED,800000102
900000123,SO20250815000123,300000028,2025-08-15 17:06:00,2025-08-18 17:06:00,122099.14,14734.47,14046.80,BOOKED,800000034
900000124,SO20250301000124,300000854,2025-03-01 23:46:00,2025-03-02 23:46:00,21264.94,724.07,2446.41,BOOKED,800000055
900000125,SO20250815000125,300000498,2025-08-15 03:30:00,2025-08-17 03:30:00,244037.50,5447.70,28075.11,BOOKED,800000074
900000126,SO20241125000126,300000158,2024-11-25 02:09:00,2024-11-28 02:09:00,161729.58,2838.51,18606.06,CLOSED,800000071
900000127,SO20240607000127,300000644,2024-06-07 13:37:00,2024-06-10 13:37:00,166375.98,0.00,19140.60,CLOSED,800000001
900000128,SO20250703000128,300000063,2025-07-03 02:44:00,2025-07-03 02:44:00,103880.70,6229.75,11950.88,CLOSED,800000064
900000129,SO20250724000129,300000016,2025-07-24 19:46:00,2025-07-24 19:46:00,65008.56,2215.88,7478.86,CANCELLED,800000092
900000130,SO20250710000130,300000780,2025-07-10 15:41:00,2025-07-12 15:41:00,351598.42,15575.71,40449.38,BOOKED,800000098
900000131,SO20241211000131,300000669,2024-12-11 10:54:00,2024-12-11 10:54:00,27809.16,502.20,3199.28,CANCELLED,800000021
900000132,SO20241026000132,300000761,2024-10-26 01:51:00,2024-10-27 01:51:00,19454.19,0.00,2238.09,CLOSED,800000081
900000133,SO20240707000133,300000066,2024-07-07 09:06:00,2024-07-07 09:06:00,39983.73,3931.51,4599.90,CLOSED,800000071
900000134,SO20240926000134,300000706,2024-09-26 15:15:00,2024-09-27 15:15:00,3262.52,320.86,375.33,ENTERED,800000017
900000135,SO20240821000135,300000446,2024-08-21 19:06:00,2024-08-21 19:06:00,86580.60,5777.05,9960.60,BOOKED,800000111
900000136,SO20260312000136,300000326,2026-03-12 03:21:00,2026-03-15 03:21:00,135707.66,415.67,15612.39,BOOKED,800000079
900000137,SO20250926000137,300000446,2025-09-26 09:32:00,2025-09-27 09:32:00,57319.67,0.00,6594.30,CLOSED,800000052
900000138,SO20240410000138,300000981,2024-04-10 13:16:00,2024-04-12 13:16:00,191782.93,4170.35,22063.53,CLOSED,800000085
900000139,SO20251212000139,300000400,2025-12-12 00:53:00,2025-12-13 00:53:00,342650.43,8543.84,39419.96,CLOSED,800000094
900000140,SO20250401000140,300000463,2025-04-01 05:54:00,2025-04-04 05:54:00,240470.16,18514.49,27664.72,CLOSED,800000004
900000141,SO20240423000141,300000609,2024-04-23 22:48:00,2024-04-24 22:48:00,10809.08,831.78,1243.52,CLOSED,800000017
900000142,SO20250326000142,300000956,2025-03-26 05:43:00,2025-03-29 05:43:00,19578.91,0.00,2252.44,CLOSED,800000103
900000143,SO20240418000143,300000571,2024-04-18 12:45:00,2024-04-18 12:45:00,59147.75,4551.64,6804.61,ENTERED,800000120
900000144,SO20260126000144,300000616,2026-01-26 15:17:00,2026-01-29 15:17:00,38635.74,3798.91,4444.82,BOOKED,800000005
900000145,SO20260121000145,300000025,2026-01-21 13:17:00,2026-01-21 13:17:00,50361.05,0.00,5793.75,CANCELLED,800000023
900000146,SO20260114000146,300000187,2026-01-14 06:19:00,2026-01-15 06:19:00,44909.48,0.00,5166.58,BOOKED,800000088
900000147,SO20241211000147,300000669,2024-12-11 09:13:00,2024-12-13 09:13:00,51595.10,4359.11,5935.72,BOOKED,800000024
900000148,SO20241222000148,300000223,2024-12-22 06:31:00,2024-12-24 06:31:00,224958.09,1332.36,25880.14,BOOKED,800000061
900000149,SO20260113000149,300000207,2026-01-13 01:07:00,2026-01-16 01:07:00,166341.86,0.00,19136.67,CLOSED,800000049
900000150,SO20240817000150,300000087,2024-08-17 04:55:00,2024-08-19 04:55:00,26888.54,0.00,3093.37,BOOKED,800000072
900000151,SO20241222000151,300000389,2024-12-22 01:51:00,2024-12-24 01:51:00,22195.11,0.00,2553.42,CLOSED,800000053
900000152,SO20251005000152,300000691,2025-10-05 04:03:00,2025-10-08 04:03:00,206215.83,5702.15,23723.94,CANCELLED,800000047
900000153,SO20241216000153,300000245,2024-12-16 04:11:00,2024-12-17 04:11:00,113068.33,13644.58,13007.86,CANCELLED,800000112
900000154,SO20250413000154,300000328,2025-04-13 08:11:00,2025-04-13 08:11:00,162788.10,5688.15,18727.83,CLOSED,800000104
900000155,SO20240525000155,300000839,2024-05-25 09:14:00,2024-05-26 09:14:00,110328.32,0.00,12692.64,BOOKED,800000084
900000156,SO20240917000156,300000304,2024-09-17 18:08:00,2024-09-20 18:08:00,249502.80,23729.33,28703.86,CLOSED,800000118
900000157,SO20260327000157,300000426,2026-03-27 01:39:00,2026-03-30 01:39:00,245067.76,5227.56,28193.63,CLOSED,800000024
900000158,SO20241225000158,300000134,2024-12-25 03:01:00,2024-12-27 03:01:00,63145.93,7620.16,7264.58,CLOSED,800000031
900000159,SO20260210000159,300000553,2026-02-10 11:34:00,2026-02-10 11:34:00,84215.62,6614.51,9688.52,CANCELLED,800000041
900000160,SO20240923000160,300000722,2024-09-23 11:33:00,2024-09-23 11:33:00,378543.16,29807.93,43549.22,BOOKED,800000117
900000161,SO20250330000161,300000544,2025-03-30 01:23:00,2025-04-02 01:23:00,82665.47,0.00,9510.19,CLOSED,800000028
900000162,SO20240604000162,300000470,2024-06-04 22:42:00,2024-06-04 22:42:00,111271.21,8562.65,12801.11,CLOSED,800000014
900000163,SO20250618000163,300000988,2025-06-18 07:18:00,2025-06-20 07:18:00,49800.04,4585.78,5729.20,BOOKED,800000096
900000164,SO20241030000164,300000969,2024-10-30 08:55:00,2024-11-02 08:55:00,77067.12,6712.67,8866.13,BOOKED,800000019
900000165,SO20250728000165,300000665,2025-07-28 01:20:00,2025-07-31 01:20:00,178057.18,2316.28,20484.45,CLOSED,800000018
900000166,SO20260217000166,300000210,2026-02-17 02:52:00,2026-02-20 02:52:00,14221.36,0.00,1636.09,BOOKED,800000081
900000167,SO20260308000167,300000805,2026-03-08 05:44:00,2026-03-08 05:44:00,109965.63,4190.89,12650.92,CLOSED,800000023
900000168,SO20240506000168,300000389,2024-05-06 10:41:00,2024-05-08 10:41:00,19988.25,0.00,2299.53,BOOKED,800000021
900000169,SO20260119000169,300000713,2026-01-19 08:55:00,2026-01-19 08:55:00,28031.85,131.11,3224.91,CLOSED,800000110
900000170,SO20251225000170,300000079,2025-12-25 03:06:00,2025-12-25 03:06:00,193715.85,0.00,22285.89,ENTERED,800000041
900000171,SO20250502000171,300000911,2025-05-02 06:07:00,2025-05-03 06:07:00,61896.04,0.00,7120.78,CANCELLED,800000088
900000172,SO20251012000172,300000532,2025-10-12 16:33:00,2025-10-15 16:33:00,91570.40,7697.25,10534.65,CLOSED,800000070
900000173,SO20250329000173,300000267,2025-03-29 07:41:00,2025-03-29 07:41:00,50979.03,3922.98,5864.84,BOOKED,800000066
900000174,SO20251011000174,300000623,2025-10-11 11:13:00,2025-10-11 11:13:00,51991.54,4000.83,5981.33,CLOSED,800000101
900000175,SO20240427000175,300000648,2024-04-27 13:43:00,2024-04-29 13:43:00,42389.24,122.65,4876.64,CLOSED,800000109
900000176,SO20240920000176,300000034,2024-09-20 20:56:00,2024-09-21 20:56:00,231662.92,7472.86,26651.48,CLOSED,800000053
900000177,SO20251228000177,300000055,2025-12-28 10:00:00,2025-12-31 10:00:00,276314.47,12997.64,31788.39,CANCELLED,800000072
900000178,SO20260105000178,300000099,2026-01-05 13:27:00,2026-01-06 13:27:00,221544.58,19047.83,25487.43,CLOSED,800000114
900000179,SO20240808000179,300000586,2024-08-08 22:21:00,2024-08-11 22:21:00,18447.11,333.14,2122.23,BOOKED,800000086
900000180,SO20240731000180,300000768,2024-07-31 23:32:00,2024-07-31 23:32:00,13888.94,1365.68,1597.84,CLOSED,800000104
900000181,SO20240429000181,300000957,2024-04-29 18:21:00,2024-05-02 18:21:00,57901.70,4455.71,6661.26,CLOSED,800000045
900000182,SO20250520000182,300000199,2025-05-20 13:12:00,2025-05-21 13:12:00,87163.92,1574.29,10027.71,BOOKED,800000097
900000183,SO20260225000183,300000778,2026-02-25 09:12:00,2026-02-27 09:12:00,33598.35,2585.40,3865.30,BOOKED,800000100
900000184,SO20251105000184,300000320,2025-11-05 03:47:00,2025-11-07 03:47:00,303322.06,10186.23,34895.46,ENTERED,800000120
900000185,SO20251224000185,300000169,2025-12-24 04:28:00,2025-12-26 04:28:00,257509.19,8149.51,29624.95,CLOSED,800000097
900000186,SO20240821000186,300000211,2024-08-21 02:34:00,2024-08-22 02:34:00,124580.59,6029.33,14332.28,BOOKED,800000077
900000187,SO20250824000187,300000578,2025-08-24 04:56:00,2025-08-27 04:56:00,5847.44,0.00,672.71,BOOKED,800000086
900000188,SO20250617000188,300000962,2025-06-17 21:30:00,2025-06-20 21:30:00,82513.14,9957.34,9492.66,CANCELLED,800000102
900000189,SO20250611000189,300000015,2025-06-11 12:12:00,2025-06-14 12:12:00,57608.54,2683.20,6627.53,CLOSED,800000105
900000190,SO20250916000190,300000567,2025-09-16 09:26:00,2025-09-18 09:26:00,92440.36,1669.47,10634.73,CLOSED,800000095
900000191,SO20240510000191,300000606,2024-05-10 11:43:00,2024-05-13 11:43:00,21348.88,277.90,2456.07,CLOSED,800000103
900000192,SO20250418000192,300000832,2025-04-18 22:12:00,2025-04-19 22:12:00,193626.13,17939.96,22275.58,CLOSED,800000094
900000193,SO20250418000193,300000601,2025-04-18 08:48:00,2025-04-18 08:48:00,250610.24,5961.57,28831.27,CLOSED,800000014
900000194,SO20250926000194,300000941,2025-09-26 10:10:00,2025-09-27 10:10:00,8734.40,672.14,1004.84,BOOKED,800000093
900000195,SO20260129000195,300000201,2026-01-29 18:40:00,2026-01-31 18:40:00,491869.81,10481.41,56586.80,BOOKED,800000075
900000196,SO20250424000196,300000697,2025-04-24 07:58:00,2025-04-27 07:58:00,26779.78,483.66,3080.86,CLOSED,800000106
900000197,SO20250928000197,300000442,2025-09-28 13:06:00,2025-09-29 13:06:00,190068.47,6594.25,21866.28,CANCELLED,800000087
900000198,SO20240715000198,300000133,2024-07-15 09:36:00,2024-07-15 09:36:00,165138.50,16683.48,18998.23,CANCELLED,800000016
900000199,SO20260101000199,300000212,2026-01-01 01:51:00,2026-01-03 01:51:00,26413.93,2597.20,3038.77,CLOSED,800000019
900000200,SO20250809000200,300000919,2025-08-09 13:48:00,2025-08-09 13:48:00,248251.28,5983.14,28559.88,CLOSED,800000025
900000201,SO20250412000201,300000419,2025-04-12 09:27:00,2025-04-15 09:27:00,51871.43,2415.98,5967.51,CLOSED,800000104
900000202,SO20241007000202,300000478,2024-10-07 02:25:00,2024-10-08 02:25:00,21805.56,393.82,2508.60,CANCELLED,800000071
900000203,SO20241201000203,300000407,2024-12-01 10:36:00,2024-12-04 10:36:00,59124.00,4549.71,6801.88,CLOSED,800000091
900000204,SO20251119000204,300000406,2025-11-19 20:18:00,2025-11-19 20:18:00,131080.70,6105.28,15080.08,CLOSED,800000062
900000205,SO20251117000205,300000728,2025-11-17 20:37:00,2025-11-18 20:37:00,106249.15,0.00,12223.35,CANCELLED,800000064
900000206,SO20250607000206,300000015,2025-06-07 09:47:00,2025-06-07 09:47:00,295862.84,30104.67,34037.31,BOOKED,800000040
900000207,SO20240920000207,300000280,2024-09-20 12:46:00,2024-09-20 12:46:00,64634.68,3010.48,7435.85,CLOSED,800000024
900000208,SO20250812000208,300000744,2025-08-12 11:44:00,2025-08-12 11:44:00,205425.12,8901.45,23632.98,CLOSED,800000011
