credit_profile_id,cust_account_id,credit_limit,currency_code,payment_terms,risk_level,risk_score,credit_hold_flag,status
700000089,300000089,5171536.01,CNY,NET30,LOW,75.95,N,ACTIVE
700000090,300000090,930237.51,CNY,NET30,LOW,81.65,N,ACTIVE
700000091,300000091,773534.37,CNY,NET30,MEDIUM,66.89,N,ACTIVE
700000092,300000092,632930.80,CNY,NET60,LOW,43.31,N,ACTIVE
700000093,300000093,4339286.45,CNY,NET30,LOW,81.59,N,ACTIVE
700000094,300000094,139667.73,CNY,NET30,LOW,78.68,N,ACTIVE
700000095,300000095,420123.14,CNY,NET30,LOW,70.62,N,ACTIVE
700000096,300000096,649908.76,CNY,NET90,HIGH,58.39,N,ACTIVE
700000097,300000097,180421.08,CNY,NET30,LOW,58.31,N,ACTIVE
700000098,300000098,4046515.88,CNY,NET30,LOW,57.61,N,ACTIVE
700000099,300000099,19497624.01,CNY,NET60,LOW,75.29,N,ACTIVE
700000100,300000100,5137121.93,CNY,NET30,LOW,67.82,N,ACTIVE
700000101,300000101,7233462.29,CNY,NET90,LOW,50.56,N,ACTIVE
700000102,300000102,155426.77,CNY,NET30,LOW,44.55,N,ACTIVE
700000103,300000103,315353.25,CNY,PREPAID,HIGH,51.03,N,ACTIVE
700000104,300000104,3420674.97,CNY,NET30,MEDIUM,73.76,N,ACTIVE
700000105,300000105,791724.23,CNY,NET60,LOW,57.42,N,ACTIVE
700000106,300000106,1049362.46,CNY,NET60,LOW,62.76,N,ACTIVE
700000107,300000107,13907095.97,CNY,NET90,LOW,50.76,N,ACTIVE
700000108,300000108,787899.49,CNY,NET30,LOW,74.81,N,ACTIVE
700000109,300000109,3533344.16,CNY,NET90,LOW,53.31,N,ACTIVE
700000110,300000110,56644.50,CNY,NET90,LOW,94.10,N,ACTIVE
700000111,300000111,1464277.35,CNY,PREPAID,LOW,91.74,N,ACTIVE
700000112,300000112,189488.37,CNY,NET90,LOW,80.73,N,ACTIVE
700000113,300000113,9175172.46,CNY,NET60,LOW,78.71,N,ACTIVE
700000114,300000114,4674730.32,CNY,NET30,LOW,72.46,N,ACTIVE
700000115,300000115,873588.17,CNY,NET60,LOW,74.07,N,ACTIVE
700000116,300000116,379874.73,CNY,NET30,HIGH,24.43,N,ACTIVE
700000117,300000117,551255.92,CNY,NET30,LOW,94.67,N,ACTIVE
700000118,300000118,1542355.63,CNY,NET30,LOW,81.26,N,ACTIVE
700000119,300000119,15420554.24,CNY,NET30,LOW,88.25,N,ACTIVE
700000120,300000120,4409690.31,CNY,NET90,MEDIUM,83.36,N,ACTIVE
700000121,300000121,3903953.45,CNY,NET30,LOW,81.54,N,ACTIVE
700000122,300000122,6548023.00,CNY,NET30,LOW,60.22,N,ACTIVE
700000123,300000123,13843608.77,CNY,PREPAID,LOW,61.12,N,ACTIVE
700000124,300000124,8616226.33,CNY,NET30,LOW,75.09,N,ACTIVE
700000125,300000125,125991.59,CNY,NET30,LOW,74.57,N,ACTIVE
700000126,300000126,15949375.66,CNY,NET60,LOW,86.56,N,ACTIVE
700000127,300000127,3999105.54,CNY,NET60,LOW,88.04,N,ACTIVE
700000128,300000128,382723.54,CNY,NET30,LOW,67.99,N,ACTIVE
700000129,300000129,657228.77,CNY,NET30,LOW,46.57,N,ACTIVE
700000130,300000130,785970.67,CNY,NET30,MEDIUM,70.06,N,ACTIVE
700000131,300000131,235120.21,CNY,NET30,LOW,52.73,N,ACTIVE
700000132,300000132,1934444.91,CNY,PREPAID,LOW,91.90,N,ACTIVE
700000133,300000133,56049.47,CNY,NET30,LOW,85.98,N,ACTIVE
700000134,300000134,69607.29,CNY,NET30,LOW,85.30,N,ACTIVE
700000135,300000135,7592108.18,CNY,NET90,LOW,51.81,N,ACTIVE
700000136,300000136,835877.00,CNY,NET30,LOW,94.42,N,ACTIVE
700000137,300000137,626951.65,CNY,PREPAID,LOW,83.52,N,ACTIVE
700000138,300000138,592349.14,CNY,NET60,HIGH,14.51,N,ACTIVE
700000139,300000139,137902.50,CNY,NET90,LOW,58.51,N,ACTIVE
700000140,300000140,225906.19,CNY,NET30,LOW,73.13,N,ACTIVE
700000141,300000141,8849869.12,CNY,NET30,LOW,45.94,N,ACTIVE
700000142,300000142,961329.71,CNY,NET30,MEDIUM,44.08,N,ACTIVE
700000143,300000143,89789.72,CNY,NET30,LOW,55.48,N,ACTIVE
700000144,300000144,176565.36,CNY,NET30,LOW,56.96,N,ACTIVE
700000145,300000145,171227.02,CNY,NET30,LOW,62.77,N,ACTIVE
700000146,300000146,977731.90,CNY,NET30,LOW,84.47,N,ACTIVE
700000147,300000147,66877.83,CNY,NET90,MEDIUM,48.23,N,ACTIVE
700000148,300000148,1155130.13,CNY,NET30,MEDIUM,88.93,N,ACTIVE
700000149,300000149,3419916.53,CNY,PREPAID,LOW,44.91,N,ACTIVE
700000150,300000150,240447.43,CNY,NET30,LOW,59.82,N,ACTIVE
700000151,300000151,239720.83,CNY,NET90,LOW,86.96,N,ACTIVE
700000152,300000152,2866792.06,CNY,NET30,LOW,77.25,N,ACTIVE
700000153,300000153,4061897.55,CNY,NET30,LOW,89.48,N,ACTIVE
700000154,300000154,4626106.02,CNY,NET60,HIGH,43.59,N,ACTIVE
700000155,300000155,497345.94,CNY,NET30,LOW,72.21,N,ACTIVE
700000156,300000156,823152.94,CNY,NET30,MEDIUM,66.82,N,ACTIVE
700000157,300000157,7991213.77,CNY,NET30,LOW,60.52,N,ACTIVE
700000158,300000158,139455.49,CNY,NET90,LOW,58.58,N,ACTIVE
700000159,300000159,165687.45,CNY,NET30,HIGH,41.16,N,ACTIVE
700000160,300000160,3802905.38,CNY,NET30,LOW,63.04,N,ACTIVE
700000161,300000161,2322414.46,CNY,NET30,MEDIUM,40.15,N,ACTIVE
700000162,300000162,170239.42,CNY,NET30,MEDIUM,57.20,N,ACTIVE
700000163,300000163,16998486.45,CNY,NET30,LOW,75.69,N,ACTIVE
700000164,300000164,8924193.01,CNY,PREPAID,HIGH,25.71,N,ACTIVE
700000165,300000165,604454.06,CNY,NET90,LOW,65.81,N,ACTIVE
700000166,300000166,9740922.91,CNY,NET90,LOW,93.94,N,ACTIVE
700000167,300000167,3399804.61,CNY,NET90,MEDIUM,79.42,N,ACTIVE
700000168,300000168,82338.43,CNY,NET30,LOW,85.35,N,ACTIVE
700000169,300000169,6553309.42,CNY,PREPAID,LOW,76.16,N,ACTIVE
700000170,300000170,3530333.14,CNY,NET90,HIGH,20.04,N,ACTIVE
700000171,300000171,2523481.25,CNY,PREPAID,LOW,42.92,N,ACTIVE
700000172,300000172,18897272.17,CNY,NET30,MEDIUM,61.32,N,ACTIVE
700000173,300000173,3940317.94,CNY,NET30,LOW,46.56,N,ACTIVE
700000174,300000174,3101580.27,CNY,NET30,LOW,92.63,N,ACTIVE
700000175,300000175,11685008.69,CNY,PREPAID,LOW,89.75,N,ACTIVE
700000176,300000176,19223177.29,CNY,NET30,HIGH,18.37,N,ACTIVE
700000177,300000177,3232336.82,CNY,NET30,MEDIUM,71.62,N,ACTIVE
700000178,300000178,140984.88,CNY,NET30,LOW,55.48,N,ACTIVE
700000179,300000179,135907.79,CNY,NET60,LOW,61.67,N,ACTIVE
700000180,300000180,6473036.02,CNY,NET60,LOW,79.91,N,ACTIVE
700000181,300000181,4142640.45,CNY,NET90,LOW,79.17,N,ACTIVE
700000182,300000182,4398349.09,CNY,NET60,LOW,74.74,N,ACTIVE
700000183,300000183,14940177.34,CNY,NET60,LOW,86.64,N,ACTIVE
700000184,300000184,614308.18,CNY,NET30,LOW,83.53,N,ACTIVE
700000185,300000185,19590111.63,CNY,NET30,LOW,52.26,N,ACTIVE
700000186,300000186,848938.10,CNY,NET30,LOW,79.61,N,ACTIVE
700000187,300000187,975394.95,CNY,NET30,LOW,75.07,N,ACTIVE
700000188,300000188,383851.03,CNY,NET60,LOW,61.20,N,ACTIVE
700000189,300000189,617635.38,CNY,PREPAID,LOW,60.37,N,ACTIVE
700000190,300000190,12796427.68,CNY,NET30,LOW,60.63,N,ACTIVE
700000191,300000191,643929.09,CNY,NET30,LOW,53.96,N,ACTIVE
700000192,300000192,577334.93,CNY,NET30,LOW,73.01,N,ACTIVE
700000193,300000193,608438.28,CNY,PREPAID,LOW,78.41,N,ACTIVE
700000194,300000194,187251.35,CNY,PREPAID,HIGH,27.40,N,ACTIVE
700000195,300000195,4029893.14,CNY,NET60,LOW,92.87,N,ACTIVE
700000196,300000196,1304115.28,CNY,NET30,LOW,91.23,N,ACTIVE
700000197,300000197,3455307.90,CNY,NET30,HIGH,48.21,N,ACTIVE
700000198,300000198,125371.28,CNY,NET60,MEDIUM,61.65,N,ACTIVE
700000199,300000199,539154.30,CNY,NET30,LOW,63.05,N,ACTIVE
700000200,300000200,7649109.15,CNY,NET30,LOW,67.48,N,ACTIVE
700000201,300000201,133623.72,CNY,NET30,LOW,84.55,N,ACTIVE
700000202,300000202,180238.65,CNY,NET30,HIGH,42.03,N,ACTIVE
700000203,300000203,2655956.24,CNY,PREPAID,LOW,50.11,N,ACTIVE
700000204,300000204,96405.60,CNY,NET30,LOW,53.61,N,ACTIVE
700000205,300000205,9644919.92,CNY,NET60,LOW,59.09,N,ACTIVE
700000206,300000206,16969471.64,CNY,PREPAID,LOW,72.84,N,ACTIVE
700000207,300000207,1729628.72,CNY,NET60,LOW,55.93,N,ACTIVE
700000208,300000208,449261.35,CNY,NET30,LOW,83.97,N,ACTIVE
700000209,300000209,7987698.14,CNY,NET90,LOW,80.44,N,ACTIVE
700000210,300000210,706327.17,CNY,NET30,HIGH,26.23,N,ACTIVE
700000211,300000211,5896626.97,CNY,NET30,LOW,75.45,N,ACTIVE
700000212,300000212,7846637.54,CNY,NET60,HIGH,19.33,N,ACTIVE
700000213,300000213,456555.28,CNY,PREPAID,LOW,43.48,N,ACTIVE
700000214,300000214,279002.87,CNY,NET30,LOW,71.41,N,ACTIVE
700000215,300000215,4294571.87,CNY,NET60,LOW,54.62,N,ACTIVE
700000216,300000216,15538256.24,CNY,NET60,LOW,63.49,N,ACTIVE
700000217,300000217,8208922.04,CNY,NET90,LOW,82.11,N,ACTIVE
700000218,300000218,3225292.34,CNY,NET30,MEDIUM,90.93,N,ACTIVE
700000219,300000219,172927.29,CNY,NET60,LOW,45.25,N,ACTIVE
700000220,300000220,99024.74,CNY,NET30,HIGH,44.89,N,ACTIVE
700000221,300000221,4048131.68,CNY,NET30,LOW,66.45,N,ACTIVE
700000222,300000222,3464883.98,CNY,NET60,LOW,94.46,N,ACTIVE
700000223,300000223,99781.51,CNY,NET30,LOW,80.70,N,ACTIVE
700000224,300000224,3619031.49,CNY,NET30,MEDIUM,40.46,N,ACTIVE
700000225,300000225,231801.92,CNY,NET30,MEDIUM,90.72,N,ACTIVE
700000226,300000226,3919558.66,CNY,NET30,LOW,68.64,N,ACTIVE
700000227,300000227,996548.64,CNY,NET30,LOW,93.67,N,ACTIVE
700000228,300000228,1427085.73,CNY,NET30,LOW,50.16,N,ACTIVE
700000229,300000229,1773039.32,CNY,NET30,LOW,41.77,N,ACTIVE
700000230,300000230,139070.87,CNY,NET60,LOW,68.89,N,ACTIVE
700000231,300000231,14197014.19,CNY,PREPAID,LOW,43.00,N,ACTIVE
700000232,300000232,6367868.61,CNY,NET30,LOW,78.84,N,ACTIVE
700000233,300000233,67633.10,CNY,NET30,LOW,47.24,N,ACTIVE
700000234,300000234,142964.91,CNY,NET60,LOW,70.67,N,ACTIVE
700000235,300000235,1709677.07,CNY,NET60,LOW,65.04,N,ACTIVE
700000236,300000236,1232738.35,CNY,NET60,LOW,71.43,N,ACTIVE
700000237,300000237,5023713.76,CNY,NET90,LOW,41.32,N,ACTIVE
700000238,300000238,3743343.15,CNY,NET30,LOW,58.77,N,ACTIVE
700000239,300000239,13474139.61,CNY,NET90,MEDIUM,77.30,N,ACTIVE
700000240,300000240,531095.65,CNY,NET60,LOW,67.34,N,ACTIVE
700000241,300000241,1573180.19,CNY,PREPAID,LOW,87.95,N,ACTIVE
700000242,300000242,145827.63,CNY,NET30,LOW,51.54,N,ACTIVE
700000243,300000243,3296331.77,CNY,NET60,LOW,49.42,N,ACTIVE
700000244,300000244,3271157.21,CNY,NET30,LOW,45.11,N,ACTIVE
700000245,300000245,2914608.34,CNY,NET30,HIGH,52.29,N,ACTIVE
700000246,300000246,851132.56,CNY,NET60,LOW,72.50,N,ACTIVE
700000247,300000247,817074.70,CNY,NET30,LOW,60.84,N,ACTIVE
700000248,300000248,934801.30,CNY,NET60,MEDIUM,91.52,N,ACTIVE
700000249,300000249,524826.12,CNY,NET30,MEDIUM,63.94,N,ACTIVE
700000250,300000250,267730.76,CNY,NET60,LOW,75.32,N,ACTIVE
700000251,300000251,493576.02,CNY,NET60,LOW,93.80,N,ACTIVE
700000252,300000252,2816139.09,CNY,NET60,LOW,89.83,N,ACTIVE
700000253,300000253,62376.53,CNY,NET60,LOW,67.81,N,ACTIVE
700000254,300000254,4448057.71,CNY,NET90,LOW,58.86,N,ACTIVE
700000255,300000255,161922.58,CNY,NET30,MEDIUM,81.38,N,ACTIVE
700000256,300000256,141572.84,CNY,PREPAID,LOW,75.86,N,ACTIVE
700000257,300000257,152824.93,CNY,NET90,LOW,59.33,N,ACTIVE
700000258,300000258,145817.08,CNY,NET60,HIGH,56.13,N,ACTIVE
700000259,300000259,814965.86,CNY,NET60,LOW,52.01,N,ACTIVE
700000260,300000260,3830422.61,CNY,NET30,LOW,82.40,N,ACTIVE
700000261,300000261,3591170.29,CNY,NET60,LOW,49.71,N,ACTIVE
700000262,300000262,168910.88,CNY,NET60,LOW,75.39,N,ACTIVE
700000263,300000263,576975.71,CNY,PREPAID,LOW,90.49,N,ACTIVE
700000264,300000264,98635.24,CNY,NET90,HIGH,58.79,N,ACTIVE
700000265,300000265,10641965.84,CNY,NET30,LOW,48.68,N,ACTIVE
700000266,300000266,7700007.00,CNY,NET30,MEDIUM,67.49,N,ACTIVE
700000267,300000267,2990059.35,CNY,NET30,LOW,48.79,N,ACTIVE
700000268,300000268,13696426.64,CNY,NET60,LOW,63.05,N,ACTIVE
700000269,300000269,309123.69,CNY,NET30,LOW,79.59,N,ACTIVE
700000270,300000270,924462.48,CNY,PREPAID,LOW,71.80,N,ACTIVE
700000271,300000271,993018.80,CNY,PREPAID,LOW,80.34,N,ACTIVE
700000272,300000272,329442.27,CNY,NET30,LOW,65.26,N,ACTIVE
700000273,300000273,16293320.16,CNY,PREPAID,MEDIUM,78.39,N,ACTIVE
700000274,300000274,130945.07,CNY,NET60,LOW,75.70,N,ACTIVE
700000275,300000275,14314269.02,CNY,NET60,MEDIUM,83.99,N,ACTIVE
700000276,300000276,102005.04,CNY,NET30,MEDIUM,64.41,N,ACTIVE
700000277,300000277,8401729.07,CNY,NET30,LOW,60.45,N,ACTIVE
700000278,300000278,408325.76,CNY,NET30,LOW,50.15,N,ACTIVE
700000279,300000279,3667550.93,CNY,NET60,LOW,83.98,N,ACTIVE
700000280,300000280,79357.35,CNY,NET60,LOW,44.60,N,ACTIVE
700000281,300000281,4497206.94,CNY,NET30,LOW,44.82,N,ACTIVE
700000282,300000282,16341710.80,CNY,PREPAID,MEDIUM,44.86,N,ACTIVE
700000283,300000283,1616095.88,CNY,NET30,LOW,56.51,N,ACTIVE
700000284,300000284,10598033.24,CNY,PREPAID,HIGH,46.65,N,ACTIVE
700000285,300000285,4058757.52,CNY,NET60,LOW,72.93,N,ACTIVE
700000286,300000286,1884454.01,CNY,PREPAID,LOW,50.36,N,ACTIVE
700000287,300000287,7583107.39,CNY,PREPAID,LOW,56.76,N,ACTIVE
700000288,300000288,67838.33,CNY,NET30,LOW,53.92,N,ACTIVE
700000289,300000289,1273348.16,CNY,NET30,LOW,85.08,N,ACTIVE
700000290,300000290,6854231.04,CNY,NET30,LOW,46.07,N,ACTIVE
700000291,300000291,4756328.01,CNY,PREPAID,LOW,60.21,N,ACTIVE
700000292,300000292,780160.40,CNY,NET30,LOW,55.32,N,ACTIVE
700000293,300000293,864249.97,CNY,NET60,HIGH,34.91,N,ACTIVE
700000294,300000294,13199300.51,CNY,NET30,LOW,92.39,N,ACTIVE
700000295,300000295,13532828.35,CNY,NET30,MEDIUM,66.98,N,ACTIVE
700000296,300000296,2395507.15,CNY,NET30,MEDIUM,80.81,N,ACTIVE
700000297,300000297,98917.53,CNY,PREPAID,LOW,65.35,N,ACTIVE
700000298,300000298,2453337.22,CNY,NET30,LOW,63.98,N,ACTIVE
700000299,300000299,4182607.00,CNY,NET30,LOW,75.83,N,ACTIVE
700000300,300000300,17134002.18,CNY,NET30,LOW,86.90,N,ACTIVE
700000301,300000301,8541947.46,CNY,NET30,LOW,53.12,N,ACTIVE
700000302,300000302,887667.20,CNY,NET60,LOW,44.62,N,ACTIVE
700000303,300000303,160585.45,CNY,NET30,LOW,84.32,N,ACTIVE
700000304,300000304,2451992.05,CNY,NET60,LOW,79.36,N,ACTIVE
700000305,300000305,942005.92,CNY,PREPAID,MEDIUM,90.49,N,ACTIVE
700000306,300000306,1265468.94,CNY,NET60,HIGH,31.04,N,ACTIVE
700000307,300000307,834113.84,CNY,NET60,LOW,57.57,N,ACTIVE
700000308,300000308,196119.14,CNY,PREPAID,MEDIUM,50.90,N,ACTIVE
700000309,300000309,505658.81,CNY,NET60,HIGH,31.57,N,ACTIVE
700000310,300000310,153027.87,CNY,NET30,LOW,79.23,N,ACTIVE
700000311,300000311,150689.30,CNY,NET30,LOW,47.27,N,ACTIVE
700000312,300000312,92438.83,CNY,PREPAID,HIGH,53.85,N,ACTIVE
700000313,300000313,330843.97,CNY,NET30,MEDIUM,65.69,N,ACTIVE
700000314,300000314,173385.76,CNY,NET30,HIGH,38.16,N,ACTIVE
700000315,300000315,11903497.71,CNY,NET30,HIGH,45.39,N,ACTIVE
700000316,300000316,2525563.72,CNY,NET90,HIGH,29.94,N,ACTIVE
700000317,300000317,4541652.15,CNY,NET60,LOW,66.20,N,ACTIVE
700000318,300000318,11560332.78,CNY,NET60,LOW,89.90,N,ACTIVE
700000319,300000319,6226543.42,CNY,NET60,LOW,67.69,N,ACTIVE
700000320,300000320,2037270.69,CNY,PREPAID,LOW,77.04,N,ACTIVE
700000321,300000321,6678687.54,CNY,NET90,LOW,40.87,N,ACTIVE
700000322,300000322,215702.22,CNY,PREPAID,LOW,64.72,N,ACTIVE
700000323,300000323,8478586.79,CNY,NET30,LOW,43.34,N,ACTIVE
700000324,300000324,606108.76,CNY,NET30,MEDIUM,72.32,N,ACTIVE
700000325,300000325,954443.76,CNY,NET30,HIGH,34.69,N,ACTIVE
700000326,300000326,413992.99,CNY,NET30,LOW,48.31,N,ACTIVE
700000327,300000327,598712.80,CNY,PREPAID,HIGH,53.52,N,ACTIVE
700000328,300000328,1606444.86,CNY,NET30,LOW,81.44,N,ACTIVE
700000329,300000329,163878.86,CNY,NET30,MEDIUM,76.31,N,ACTIVE
700000330,300000330,14780556.31,CNY,NET30,LOW,78.36,N,ACTIVE
700000331,300000331,158976.39,CNY,NET30,LOW,94.28,N,ACTIVE
700000332,300000332,3078666.59,CNY,NET30,LOW,53.62,N,ACTIVE
700000333,300000333,4488059.17,CNY,NET60,LOW,72.14,N,ACTIVE
700000334,300000334,14024003.21,CNY,NET30,LOW,62.47,N,ACTIVE
700000335,300000335,50312.86,CNY,PREPAID,LOW,70.11,N,ACTIVE
700000336,300000336,14967534.69,CNY,NET60,LOW,62.53,N,ACTIVE
700000337,300000337,193593.92,CNY,NET30,MEDIUM,68.70,N,ACTIVE
700000338,300000338,5360854.10,CNY,PREPAID,LOW,69.03,N,ACTIVE
700000339,300000339,88690.14,CNY,NET30,LOW,91.79,N,ACTIVE
700000340,300000340,151264.61,CNY,NET30,LOW,53.55,N,ACTIVE
700000341,300000341,50081.44,CNY,NET30,LOW,91.34,N,ACTIVE
700000342,300000342,81627.53,CNY,NET90,LOW,67.77,N,ACTIVE
700000343,300000343,16436978.62,CNY,NET30,LOW,69.60,N,ACTIVE
700000344,300000344,353209.34,CNY,NET30,MEDIUM,84.90,N,ACTIVE
700000345,300000345,652112.19,CNY,NET60,LOW,43.59,N,ACTIVE
700000346,300000346,114882.23,CNY,PREPAID,MEDIUM,94.73,N,ACTIVE
700000347,300000347,982476.49,CNY,NET30,LOW,63.31,N,ACTIVE
700000348,300000348,16911666.79,CNY,NET30,LOW,91.90,N,ACTIVE
700000349,300000349,133888.71,CNY,NET30,HIGH,24.75,N,ACTIVE
700000350,300000350,3351253.43,CNY,NET60,MEDIUM,45.94,N,ACTIVE
700000351,300000351,96678.24,CNY,NET30,LOW,88.69,N,ACTIVE
700000352,300000352,351484.46,CNY,PREPAID,LOW,66.16,N,ACTIVE
