payment_schedule_id,customer_trx_id,due_date,amount_due_original,amount_due_remaining,amount_applied,overdue_days,aging_bucket,status
1500000060,1200000060,2025-05-31 08:14:00,44616.20,0.00,44616.20,303,GT_90,CLOSED
1500000061,1200000061,2024-09-02 01:07:00,110875.29,0.00,110875.29,574,GT_90,CLOSED
1500000062,1200000062,2024-09-11 01:07:00,23862.12,0.00,23862.12,565,GT_90,CLOSED
1500000063,1200000063,2024-09-11 01:07:00,113588.05,15048.43,98539.62,565,GT_90,OPEN
1500000064,1200000064,2024-09-11 01:07:00,102679.91,19770.77,82909.14,565,GT_90,OPEN
1500000065,1200000065,2025-05-16 10:09:00,68014.80,0.00,68014.80,318,GT_90,CLOSED
1500000066,1200000066,2025-02-27 13:32:00,15991.69,10303.08,5688.61,396,GT_90,OPEN
1500000067,1200000067,2026-04-29 19:10:00,33847.84,17614.56,16233.28,0,CURRENT,OPEN
1500000068,1200000068,2024-11-21 05:01:00,111734.64,0.00,111734.64,494,GT_90,CLOSED
1500000069,1200000069,2024-11-24 05:01:00,198513.32,0.00,198513.32,491,GT_90,CLOSED
1500000070,1200000070,2024-11-07 05:01:00,70026.03,21783.41,48242.62,508,GT_90,OPEN
1500000071,1200000071,2024-11-10 05:01:00,22588.96,9669.80,12919.16,505,GT_90,OPEN
1500000072,1200000072,2024-04-25 18:52:00,138378.83,0.00,138378.83,704,GT_90,CLOSED
1500000073,1200000073,2025-05-01 01:07:00,14001.76,0.00,14001.76,333,GT_90,CLOSED
1500000074,1200000074,2025-12-29 15:36:00,49587.99,20039.91,29548.08,91,GT_90,OPEN
1500000075,1200000075,2025-12-30 15:36:00,117958.37,45796.33,72162.04,90,61_90,OPEN
1500000076,1200000076,2026-01-07 15:36:00,32478.65,4910.06,27568.59,82,61_90,OPEN
1500000077,1200000077,2024-09-11 05:45:00,11378.92,0.00,11378.92,565,GT_90,CLOSED
1500000078,1200000078,2025-04-03 18:26:00,135901.44,30705.26,105196.18,361,GT_90,OPEN
1500000079,1200000079,2025-03-30 18:26:00,73086.08,0.00,73086.08,365,GT_90,CLOSED
1500000080,1200000080,2025-04-07 18:26:00,17617.55,0.00,17617.55,357,GT_90,CLOSED
1500000081,1200000081,2024-06-24 02:38:00,100716.67,0.00,100716.67,644,GT_90,CLOSED
1500000082,1200000082,2024-06-28 02:38:00,46771.97,12589.37,34182.60,640,GT_90,OPEN
1500000083,1200000083,2025-07-25 20:11:00,68147.79,0.00,68147.79,248,GT_90,CLOSED
1500000084,1200000084,2025-07-22 20:11:00,15320.47,0.00,15320.47,251,GT_90,CLOSED
1500000085,1200000085,2024-07-23 14:44:00,42408.62,12478.77,29929.85,615,GT_90,OPEN
1500000086,1200000086,2025-06-21 16:51:00,45932.61,0.00,45932.61,282,GT_90,CLOSED
1500000087,1200000087,2024-09-10 17:24:00,141863.62,0.00,141863.62,566,GT_90,CLOSED
1500000088,1200000088,2024-09-09 17:24:00,3886.53,2558.88,1327.65,567,GT_90,OPEN
1500000089,1200000089,2026-01-16 00:14:00,38083.11,0.00,38083.11,73,61_90,CLOSED
1500000090,1200000090,2025-05-21 12:42:00,176867.49,0.00,176867.49,313,GT_90,CLOSED
1500000091,1200000091,2025-02-10 09:48:00,150026.60,0.00,150026.60,413,GT_90,CLOSED
1500000092,1200000092,2024-11-10 16:55:00,126064.89,0.00,126064.89,505,GT_90,CLOSED
1500000093,1200000093,2025-11-12 17:43:00,5539.78,3688.61,1851.17,138,GT_90,OPEN
1500000094,1200000094,2025-11-25 17:43:00,66698.57,47830.10,18868.47,125,GT_90,OPEN
1500000095,1200000095,2025-11-17 17:43:00,35561.73,7226.96,28334.77,133,GT_90,OPEN
1500000096,1200000096,2025-12-26 11:03:00,90406.22,0.00,90406.22,94,GT_90,CLOSED
1500000097,1200000097,2026-01-10 23:38:00,6861.10,3792.12,3068.98,79,61_90,OPEN
1500000098,1200000098,2025-11-08 15:34:00,90009.78,0.00,90009.78,142,GT_90,CLOSED
1500000099,1200000099,2026-05-07 20:45:00,98461.37,0.00,98461.37,0,CURRENT,CLOSED
1500000100,1200000100,2026-05-14 20:45:00,39209.33,24534.33,14675.00,0,CURRENT,OPEN
1500000101,1200000101,2026-05-12 20:45:00,1988.22,0.00,1988.22,0,CURRENT,CLOSED
1500000102,1200000102,2025-10-06 09:33:00,17821.07,4919.28,12901.79,175,GT_90,OPEN
1500000103,1200000103,2025-07-17 22:50:00,46538.71,35528.11,11010.60,256,GT_90,OPEN
1500000104,1200000104,2025-07-25 22:50:00,24478.30,22328.00,2150.30,248,GT_90,OPEN
1500000105,1200000105,2024-11-03 20:18:00,40167.18,0.00,40167.18,512,GT_90,CLOSED
1500000106,1200000106,2024-11-06 20:18:00,10875.12,9812.05,1063.07,509,GT_90,OPEN
1500000107,1200000107,2024-11-15 20:18:00,7618.43,0.00,7618.43,500,GT_90,CLOSED
1500000108,1200000108,2024-11-10 20:18:00,113111.36,33495.30,79616.06,505,GT_90,OPEN
1500000109,1200000109,2026-02-18 05:07:00,133686.65,0.00,133686.65,40,31_60,CLOSED
1500000110,1200000110,2026-02-14 05:07:00,113320.15,0.00,113320.15,44,31_60,CLOSED
1500000111,1200000111,2026-02-14 05:07:00,35525.75,0.00,35525.75,44,31_60,CLOSED
1500000112,1200000112,2026-02-12 05:07:00,164777.61,150630.34,14147.27,46,31_60,OPEN
1500000113,1200000113,2025-11-08 11:09:00,34185.84,0.00,34185.84,142,GT_90,CLOSED
1500000114,1200000114,2025-11-05 11:09:00,17266.00,0.00,17266.00,145,GT_90,CLOSED
1500000115,1200000115,2025-03-07 07:56:00,92414.84,0.00,92414.84,388,GT_90,CLOSED
1500000116,1200000116,2025-09-21 22:34:00,92417.97,48123.17,44294.80,190,GT_90,OPEN
1500000117,1200000117,2025-09-21 22:34:00,67883.72,0.00,67883.72,190,GT_90,CLOSED
1500000118,1200000118,2026-05-12 23:19:00,29206.52,5372.35,23834.17,0,CURRENT,OPEN
1500000119,1200000119,2024-08-10 06:10:00,135526.27,103517.66,32008.61,597,GT_90,OPEN
1500000120,1200000120,2024-08-15 06:10:00,5057.98,0.00,5057.98,592,GT_90,CLOSED
1500000121,1200000121,2024-08-16 19:25:00,64721.64,33868.30,30853.34,591,GT_90,OPEN
1500000122,1200000122,2025-12-04 06:27:00,34089.91,29590.63,4499.28,116,GT_90,OPEN
1500000123,1200000123,2025-03-15 10:06:00,134553.60,118967.44,15586.16,380,GT_90,OPEN
1500000124,1200000124,2025-04-18 14:28:00,28974.74,0.00,28974.74,346,GT_90,CLOSED
1500000125,1200000125,2026-05-11 14:19:00,37372.48,16791.89,20580.59,0,CURRENT,OPEN
1500000126,1200000126,2026-05-20 14:19:00,36459.10,12340.29,24118.81,0,CURRENT,OPEN
1500000127,1200000127,2026-05-14 14:19:00,34977.73,0.00,34977.73,0,CURRENT,CLOSED
1500000128,1200000128,2026-05-11 14:19:00,40974.09,0.00,40974.09,0,CURRENT,CLOSED
1500000129,1200000129,2025-12-16 23:05:00,47321.60,22733.29,24588.31,104,GT_90,OPEN
1500000130,1200000130,2025-12-04 23:05:00,12252.64,1631.28,10621.36,116,GT_90,OPEN
1500000131,1200000131,2026-01-28 21:57:00,127441.39,61496.23,65945.16,61,61_90,OPEN
1500000132,1200000132,2024-10-15 21:43:00,97207.45,0.00,97207.45,531,GT_90,CLOSED
1500000133,1200000133,2025-04-21 22:41:00,103473.96,0.00,103473.96,343,GT_90,CLOSED
1500000134,1200000134,2025-04-22 22:41:00,163345.58,0.00,163345.58,342,GT_90,CLOSED
1500000135,1200000135,2025-08-13 10:11:00,185624.59,138258.60,47365.99,229,GT_90,OPEN
1500000136,1200000136,2025-08-13 10:11:00,53299.07,0.00,53299.07,229,GT_90,CLOSED
1500000137,1200000137,2025-08-07 10:11:00,181976.43,0.00,181976.43,235,GT_90,CLOSED
1500000138,1200000138,2025-10-26 14:55:00,20230.20,0.00,20230.20,155,GT_90,CLOSED
1500000139,1200000139,2025-11-02 14:55:00,1275.71,0.00,1275.71,148,GT_90,CLOSED
1500000140,1200000140,2025-11-04 14:55:00,16918.65,3112.27,13806.38,146,GT_90,OPEN
1500000141,1200000141,2024-07-21 00:27:00,56265.54,13622.48,42643.06,617,GT_90,OPEN
1500000142,1200000142,2024-07-13 09:02:00,27685.98,0.00,27685.98,625,GT_90,CLOSED
1500000143,1200000143,2026-04-08 18:10:00,162925.35,0.00,162925.35,0,CURRENT,CLOSED
1500000144,1200000144,2024-07-12 12:33:00,13344.97,0.00,13344.97,626,GT_90,CLOSED
1500000145,1200000145,2025-08-21 07:23:00,49158.59,33213.72,15944.87,221,GT_90,OPEN
1500000146,1200000146,2025-09-01 19:18:00,134994.32,122974.85,12019.47,210,GT_90,OPEN
1500000147,1200000147,2025-09-07 19:45:00,50041.26,0.00,50041.26,204,GT_90,CLOSED
1500000148,1200000148,2025-12-23 21:30:00,45705.20,30025.43,15679.77,97,GT_90,OPEN
1500000149,1200000149,2025-09-08 04:34:00,78770.53,35951.05,42819.48,203,GT_90,OPEN
1500000150,1200000150,2025-06-13 05:30:00,13097.13,1876.43,11220.70,290,GT_90,OPEN
1500000151,1200000151,2025-06-09 05:30:00,58932.32,25222.31,33710.01,294,GT_90,OPEN
1500000152,1200000152,2025-05-08 13:14:00,29483.81,24976.40,4507.41,326,GT_90,OPEN
1500000153,1200000153,2024-12-13 01:24:00,6784.80,2886.80,3898.00,472,GT_90,OPEN
1500000154,1200000154,2024-12-18 01:24:00,5761.46,0.00,5761.46,467,GT_90,CLOSED
1500000155,1200000155,2025-11-12 19:14:00,65490.36,0.00,65490.36,138,GT_90,CLOSED
1500000156,1200000156,2024-07-16 00:20:00,74300.01,31645.33,42654.68,622,GT_90,OPEN
1500000157,1200000157,2025-03-22 22:51:00,23234.65,8249.72,14984.93,373,GT_90,OPEN
1500000158,1200000158,2025-03-20 22:51:00,29355.72,3974.25,25381.47,375,GT_90,OPEN
1500000159,1200000159,2025-04-14 09:24:00,27717.84,0.00,27717.84,350,GT_90,CLOSED
1500000160,1200000160,2025-10-12 12:04:00,53476.96,49765.43,3711.53,169,GT_90,OPEN
1500000161,1200000161,2025-10-09 12:04:00,21396.57,2569.99,18826.58,172,GT_90,OPEN
1500000162,1200000162,2024-05-28 23:18:00,128631.90,0.00,128631.90,671,GT_90,CLOSED
1500000163,1200000163,2024-05-26 23:18:00,69302.55,57452.56,11849.99,673,GT_90,OPEN
1500000164,1200000164,2025-06-24 09:44:00,31829.61,0.00,31829.61,279,GT_90,CLOSED
1500000165,1200000165,2025-06-18 09:44:00,52055.47,46360.85,5694.62,285,GT_90,OPEN
1500000166,1200000166,2025-06-23 09:44:00,17280.64,0.00,17280.64,280,GT_90,CLOSED
1500000167,1200000167,2025-04-02 03:30:00,5476.05,2850.51,2625.54,362,GT_90,OPEN
1500000168,1200000168,2025-03-27 22:40:00,165224.44,42567.83,122656.61,368,GT_90,OPEN
1500000169,1200000169,2025-04-05 22:40:00,13562.88,3072.48,10490.40,359,GT_90,OPEN
1500000170,1200000170,2026-05-20 06:15:00,28901.50,0.00,28901.50,0,CURRENT,CLOSED
1500000171,1200000171,2026-05-18 06:15:00,51598.32,45204.80,6393.52,0,CURRENT,OPEN
1500000172,1200000172,2026-05-14 06:15:00,67056.69,60614.32,6442.37,0,CURRENT,OPEN
1500000173,1200000173,2024-06-01 12:00:00,129876.27,76271.29,53604.98,667,GT_90,OPEN
1500000174,1200000174,2024-06-08 12:00:00,20204.39,9540.53,10663.86,660,GT_90,OPEN
1500000175,1200000175,2024-05-31 12:00:00,18720.61,0.00,18720.61,668,GT_90,CLOSED
1500000176,1200000176,2024-05-27 12:00:00,119700.46,0.00,119700.46,672,GT_90,CLOSED
1500000177,1200000177,2024-11-29 23:22:00,3267.96,1704.40,1563.56,486,GT_90,OPEN
1500000178,1200000178,2025-10-16 18:46:00,39529.63,16071.90,23457.73,165,GT_90,OPEN
1500000179,1200000179,2025-10-24 18:46:00,5478.74,3158.31,2320.43,157,GT_90,OPEN
1500000180,1200000180,2025-10-13 18:46:00,92006.09,61992.55,30013.54,168,GT_90,OPEN
1500000181,1200000181,2025-10-13 18:46:00,6355.54,0.00,6355.54,168,GT_90,CLOSED
1500000182,1200000182,2025-08-07 06:35:00,16697.94,11686.55,5011.39,235,GT_90,OPEN
1500000183,1200000183,2025-02-28 23:45:00,169.67,91.65,78.02,395,GT_90,OPEN
1500000184,1200000184,2026-04-01 11:43:00,21381.42,0.00,21381.42,0,CURRENT,CLOSED
1500000185,1200000185,2025-08-12 00:26:00,58789.38,0.00,58789.38,230,GT_90,CLOSED
1500000186,1200000186,2024-04-23 20:21:00,8971.50,7609.69,1361.81,706,GT_90,OPEN
1500000187,1200000187,2024-12-07 05:39:00,127669.78,86967.08,40702.70,478,GT_90,OPEN
1500000188,1200000188,2024-12-16 05:39:00,60179.88,39741.13,20438.75,469,GT_90,OPEN
1500000189,1200000189,2024-12-18 05:39:00,65752.79,0.00,65752.79,467,GT_90,CLOSED
1500000190,1200000190,2024-12-15 05:39:00,110838.34,23589.16,87249.18,470,GT_90,OPEN
1500000191,1200000191,2026-02-13 03:59:00,19018.21,6496.37,12521.84,45,31_60,OPEN
1500000192,1200000192,2024-10-11 23:04:00,163291.50,52951.63,110339.87,535,GT_90,OPEN
1500000193,1200000193,2025-12-05 10:11:00,20546.84,11095.32,9451.52,115,GT_90,OPEN
1500000194,1200000194,2025-07-19 15:18:00,11804.68,0.00,11804.68,254,GT_90,CLOSED
1500000195,1200000195,2025-07-14 15:18:00,64221.74,0.00,64221.74,259,GT_90,CLOSED
1500000196,1200000196,2025-02-20 20:39:00,173342.80,82862.06,90480.74,403,GT_90,OPEN
1500000197,1200000197,2025-02-09 20:39:00,1206.60,0.00,1206.60,414,GT_90,CLOSED
1500000198,1200000198,2025-02-21 20:39:00,76535.05,21920.53,54614.52,402,GT_90,OPEN
1500000199,1200000199,2025-04-10 02:53:00,87344.99,36382.19,50962.80,354,GT_90,OPEN
1500000200,1200000200,2025-10-24 00:14:00,123516.24,0.00,123516.24,157,GT_90,CLOSED
1500000201,1200000201,2024-10-19 19:59:00,18376.25,12973.04,5403.21,527,GT_90,OPEN
1500000202,1200000202,2024-08-16 10:40:00,92360.35,51366.84,40993.51,591,GT_90,OPEN
1500000203,1200000203,2024-08-14 10:40:00,19601.38,7145.13,12456.25,593,GT_90,OPEN
1500000204,1200000204,2024-08-21 10:40:00,33342.35,0.00,33342.35,586,GT_90,CLOSED
1500000205,1200000205,2025-07-28 14:41:00,20791.54,0.00,20791.54,245,GT_90,CLOSED
1500000206,1200000206,2026-02-28 15:10:00,38590.13,0.00,38590.13,30,1_30,CLOSED
1500000207,1200000207,2026-03-15 15:10:00,147253.76,0.00,147253.76,15,1_30,CLOSED
1500000208,1200000208,2025-02-10 23:24:00,9046.95,7341.63,1705.32,413,GT_90,OPEN
1500000209,1200000209,2025-04-18 23:46:00,4592.82,2595.35,1997.47,346,GT_90,OPEN
1500000210,1200000210,2025-09-02 03:30:00,151261.74,118198.67,33063.07,209,GT_90,OPEN
1500000211,1200000211,2025-09-01 03:30:00,21769.29,20931.62,837.67,210,GT_90,OPEN
1500000212,1200000212,2025-08-30 03:30:00,54746.82,13100.55,41646.27,212,GT_90,OPEN
1500000213,1200000213,2025-09-06 03:30:00,16259.65,15816.96,442.69,205,GT_90,OPEN
1500000214,1200000214,2025-03-07 02:09:00,157172.04,0.00,157172.04,388,GT_90,CLOSED
1500000215,1200000215,2025-03-08 02:09:00,4557.54,0.00,4557.54,387,GT_90,CLOSED
1500000216,1200000216,2024-07-23 13:37:00,42657.59,0.00,42657.59,615,GT_90,CLOSED
1500000217,1200000217,2024-07-23 13:37:00,72450.63,0.00,72450.63,615,GT_90,CLOSED
1500000218,1200000218,2024-07-28 13:37:00,40110.31,11109.67,29000.64,610,GT_90,OPEN
1500000219,1200000219,2025-08-14 02:44:00,63356.06,15204.61,48151.45,228,GT_90,OPEN
1500000220,1200000220,2025-08-22 02:44:00,28914.27,0.00,28914.27,220,GT_90,CLOSED
1500000221,1200000221,2025-07-25 15:41:00,58783.70,48025.69,10758.01,248,GT_90,OPEN
1500000222,1200000222,2025-07-29 15:41:00,58750.07,0.00,58750.07,244,GT_90,CLOSED
1500000223,1200000223,2025-07-30 15:41:00,52554.58,0.00,52554.58,243,GT_90,CLOSED
1500000224,1200000224,2024-12-08 01:51:00,19454.19,0.00,19454.19,477,GT_90,CLOSED
1500000225,1200000225,2024-08-18 09:06:00,39983.73,5162.90,34820.83,589,GT_90,OPEN
1500000226,1200000226,2024-11-18 15:15:00,3262.52,0.00,3262.52,497,GT_90,CLOSED
1500000227,1200000227,2024-12-01 19:06:00,33708.51,6400.14,27308.37,484,GT_90,OPEN
1500000228,1200000228,2024-11-26 19:06:00,52872.09,0.00,52872.09,489,GT_90,CLOSED
1500000229,1200000229,2026-04-25 03:21:00,23015.64,10682.31,12333.33,0,CURRENT,OPEN
1500000230,1200000230,2026-04-19 03:21:00,112692.02,94138.88,18553.14,0,CURRENT,OPEN
1500000231,1200000231,2026-01-07 09:32:00,44716.61,0.00,44716.61,82,61_90,CLOSED
1500000232,1200000232,2024-05-29 13:16:00,9131.78,1809.25,7322.53,670,GT_90,OPEN
1500000233,1200000233,2024-05-23 13:16:00,137588.94,0.00,137588.94,676,GT_90,CLOSED
1500000234,1200000234,2024-05-28 13:16:00,38835.99,0.00,38835.99,671,GT_90,CLOSED
1500000235,1200000235,2026-03-02 00:53:00,90718.85,32305.93,58412.92,28,1_30,OPEN
1500000236,1200000236,2026-03-05 00:53:00,189825.51,71893.79,117931.72,25,1_30,OPEN
1500000237,1200000237,2026-03-08 00:53:00,39972.08,0.00,39972.08,22,1_30,CLOSED
1500000238,1200000238,2025-06-13 05:54:00,37118.13,3799.14,33318.99,290,GT_90,OPEN
1500000239,1200000239,2025-06-14 05:54:00,16810.30,0.00,16810.30,289,GT_90,CLOSED
1500000240,1200000240,2025-06-09 05:54:00,52370.17,0.00,52370.17,294,GT_90,CLOSED
1500000241,1200000241,2025-06-15 05:54:00,134171.56,47801.18,86370.38,288,GT_90,OPEN
1500000242,1200000242,2024-06-01 22:48:00,10809.08,0.00,10809.08,667,GT_90,CLOSED
1500000243,1200000243,2025-07-07 05:43:00,19578.91,0.00,19578.91,266,GT_90,CLOSED
1500000244,1200000244,2024-05-30 12:45:00,59147.75,51579.39,7568.36,669,GT_90,OPEN
1500000245,1200000245,2026-03-13 15:17:00,38635.74,0.00,38635.74,17,1_30,CLOSED
1500000246,1200000246,2026-02-24 06:19:00,44909.48,9580.58,35328.90,34,31_60,OPEN
1500000247,1200000247,2024-12-27 09:13:00,36122.20,4039.43,32082.77,458,GT_90,OPEN
1500000248,1200000248,2024-12-21 09:13:00,15472.90,15463.48,9.42,464,GT_90,OPEN
1500000249,1200000249,2025-02-02 06:31:00,20014.59,0.00,20014.59,421,GT_90,CLOSED
1500000250,1200000250,2025-02-12 06:31:00,196352.09,89935.69,106416.40,411,GT_90,OPEN
1500000251,1200000251,2026-03-27 01:07:00,166341.86,0.00,166341.86,3,1_30,CLOSED
1500000252,1200000252,2024-08-25 04:55:00,26888.54,16700.02,10188.52,582,GT_90,OPEN
1500000253,1200000253,2025-02-07 01:51:00,10841.59,7112.04,3729.55,416,GT_90,OPEN
1500000254,1200000254,2025-05-18 08:11:00,116132.91,0.00,116132.91,316,GT_90,CLOSED
1500000255,1200000255,2025-05-29 08:11:00,43028.35,0.00,43028.35,305,GT_90,CLOSED
1500000256,1200000256,2025-05-25 08:11:00,3626.84,0.00,3626.84,309,GT_90,CLOSED
1500000257,1200000257,2024-12-02 18:08:00,24748.48,0.00,24748.48,483,GT_90,CLOSED
1500000258,1200000258,2024-12-13 18:08:00,45790.29,18205.24,27585.05,472,GT_90,OPEN
1500000259,1200000259,2024-11-27 18:08:00,178964.03,111516.10,67447.93,488,GT_90,OPEN
1500000260,1200000260,2026-05-20 01:39:00,216960.46,68558.02,148402.44,0,CURRENT,OPEN
1500000261,1200000261,2026-05-11 01:39:00,28107.30,5394.47,22712.83,0,CURRENT,OPEN
1500000262,1200000262,2025-02-19 03:01:00,63145.93,54475.51,8670.42,404,GT_90,OPEN
1500000263,1200000263,2024-11-12 11:33:00,53847.18,12631.95,41215.23,503,GT_90,OPEN
1500000264,1200000264,2024-11-02 11:33:00,67355.10,0.00,67355.10,513,GT_90,CLOSED
1500000265,1200000265,2024-11-07 11:33:00,89311.36,0.00,89311.36,508,GT_90,CLOSED
1500000266,1200000266,2024-11-10 11:33:00,168029.52,0.00,168029.52,505,GT_90,CLOSED
1500000267,1200000267,2025-06-10 01:23:00,63140.19,51534.23,11605.96,293,GT_90,OPEN
1500000268,1200000268,2025-09-28 07:18:00,11799.15,0.00,11799.15,183,GT_90,CLOSED
1500000269,1200000269,2025-09-28 07:18:00,38000.89,4789.72,33211.17,183,GT_90,OPEN
1500000270,1200000270,2025-02-15 08:55:00,59178.99,25522.82,33656.17,408,GT_90,OPEN
1500000271,1200000271,2025-02-10 08:55:00,17888.13,2198.03,15690.10,413,GT_90,OPEN
1500000272,1200000272,2025-10-13 01:20:00,30099.73,0.00,30099.73,168,GT_90,CLOSED
1500000273,1200000273,2026-04-05 02:52:00,14221.36,0.00,14221.36,0,CURRENT,CLOSED
1500000274,1200000274,2026-04-25 05:44:00,6278.26,5670.80,607.46,0,CURRENT,OPEN
1500000275,1200000275,2026-04-12 05:44:00,58181.62,42878.37,15303.25,0,CURRENT,OPEN
1500000276,1200000276,2026-04-09 05:44:00,13707.93,9324.85,4383.08,0,CURRENT,OPEN
1500000277,1200000277,2024-06-22 10:41:00,19988.25,19838.96,149.29,646,GT_90,OPEN
