line_id,header_id,line_number,inventory_item_id,ordered_quantity,unit_selling_price,list_price,discount_percent,line_amount,line_status_code
1000000094,900000038,1,85263,18.19,5892.26,6546.96,10.00,107180.21,INVOICED
1000000095,900000038,2,22061,5.55,8984.52,9457.39,5.00,49864.09,SHIPPED
1000000096,900000038,3,16514,8.43,6133.75,6667.12,8.00,51707.51,SHIPPED
1000000097,900000039,1,45083,6.33,5928.87,6587.63,10.00,37529.75,INVOICED
1000000098,900000040,1,63544,7.93,4524.75,4762.90,5.00,35881.27,INVOICED
1000000099,900000040,2,66442,5.15,7892.88,8308.30,5.00,40648.33,INVOICED
1000000100,900000041,1,92429,15.03,8352.83,9079.16,8.00,125543.03,INVOICED
1000000101,900000041,2,56027,11.68,344.63,382.92,10.00,4025.28,INVOICED
1000000102,900000042,1,70387,11.95,2820.24,2820.24,0.00,33701.87,AWAITING_SHIPPING
1000000103,900000043,1,22290,19.56,8002.04,8002.04,0.00,156519.90,SHIPPED
1000000104,900000044,1,31860,17.03,7796.06,8473.98,8.00,132766.90,SHIPPED
1000000105,900000045,1,50732,18.54,6017.36,6017.36,0.00,111561.85,AWAITING_SHIPPING
1000000106,900000046,1,29956,11.08,442.46,480.94,8.00,4902.46,INVOICED
1000000107,900000046,2,99066,8.02,7359.76,8177.51,10.00,59025.28,AWAITING_SHIPPING
1000000108,900000046,3,71784,4.34,7251.28,7251.28,0.00,31470.56,AWAITING_SHIPPING
1000000109,900000047,1,17022,17.29,4627.27,5141.41,10.00,80005.50,INVOICED
1000000110,900000048,1,35755,1.02,5952.72,6470.35,8.00,6071.77,SHIPPED
1000000111,900000048,2,59451,6.21,606.07,606.07,0.00,3763.69,INVOICED
1000000112,900000049,1,19898,11.19,7118.38,7263.65,2.00,79654.67,AWAITING_SHIPPING
1000000113,900000050,1,93515,15.65,7428.30,7428.30,0.00,116252.90,INVOICED
1000000114,900000050,2,72768,5.22,8258.31,8426.85,2.00,43108.38,INVOICED
1000000115,900000050,3,34141,8.23,213.79,225.04,5.00,1759.49,SHIPPED
1000000116,900000051,1,86631,14.00,1126.49,1251.66,10.00,15770.86,AWAITING_SHIPPING
1000000117,900000052,1,61246,15.47,2662.23,2958.03,10.00,41184.70,SHIPPED
1000000118,900000052,2,24476,10.39,2084.91,2127.46,2.00,21662.21,INVOICED
1000000119,900000053,1,20322,10.24,5951.72,6073.18,2.00,60945.61,INVOICED
1000000120,900000054,1,99861,12.37,2873.58,2873.58,0.00,35546.18,SHIPPED
1000000121,900000054,2,30562,12.00,802.00,911.36,12.00,9624.00,INVOICED
1000000122,900000054,3,86465,3.36,2006.54,2006.54,0.00,6741.97,SHIPPED
1000000123,900000054,4,90323,13.39,7475.62,8495.02,12.00,100098.55,INVOICED
1000000124,900000055,1,16207,13.32,8881.89,8881.89,0.00,118306.77,INVOICED
1000000125,900000055,2,74717,15.51,6465.72,6465.72,0.00,100283.32,SHIPPED
1000000126,900000055,3,35489,4.58,6864.35,6864.35,0.00,31438.72,AWAITING_SHIPPING
1000000127,900000055,4,79059,18.50,7882.21,8043.07,2.00,145820.89,INVOICED
1000000128,900000056,1,82726,11.86,2550.84,2685.09,5.00,30252.96,INVOICED
1000000129,900000056,2,71642,5.44,3143.96,3208.12,2.00,17103.14,AWAITING_SHIPPING
1000000130,900000057,1,27836,9.94,8227.67,9349.62,12.00,81783.04,INVOICED
1000000131,900000058,1,32045,6.86,242.72,242.72,0.00,1665.06,SHIPPED
1000000132,900000058,2,46636,15.45,5293.58,5572.19,5.00,81785.81,AWAITING_SHIPPING
1000000133,900000058,3,21909,16.90,3554.68,3741.77,5.00,60074.09,SHIPPED
1000000134,900000059,1,72951,4.44,5821.28,5821.28,0.00,25846.48,AWAITING_SHIPPING
1000000135,900000060,1,92696,16.07,7463.27,7856.07,5.00,119934.75,INVOICED
1000000136,900000060,2,63754,1.04,4303.93,4303.93,0.00,4476.09,SHIPPED
1000000137,900000061,1,45648,7.46,7677.72,8345.35,8.00,57275.79,INVOICED
1000000138,900000062,1,90022,12.19,2474.82,2812.29,12.00,30168.06,SHIPPED
1000000139,900000063,1,68724,2.56,353.33,360.54,2.00,904.52,INVOICED
1000000140,900000064,1,37195,11.70,7259.72,7259.72,0.00,84938.72,INVOICED
1000000141,900000064,2,46469,12.60,5789.39,6432.65,10.00,72946.31,AWAITING_SHIPPING
1000000142,900000065,1,71817,16.67,7143.01,7518.96,5.00,119073.98,AWAITING_SHIPPING
1000000143,900000066,1,60510,10.83,2887.54,2946.47,2.00,31272.06,INVOICED
1000000144,900000067,1,60763,10.30,3210.97,3567.75,10.00,33072.99,AWAITING_SHIPPING
1000000145,900000067,2,99129,3.79,8513.11,9459.01,10.00,32264.69,SHIPPED
1000000146,900000067,3,80414,12.95,2390.25,2655.83,10.00,30953.74,AWAITING_SHIPPING
1000000147,900000067,4,72492,19.30,1878.77,2042.14,8.00,36260.26,AWAITING_SHIPPING
1000000148,900000068,1,71759,12.34,3393.64,3572.25,5.00,41877.52,SHIPPED
1000000149,900000068,2,46406,15.76,688.01,688.01,0.00,10843.04,INVOICED
1000000150,900000069,1,20531,13.65,8262.27,8262.27,0.00,112779.99,SHIPPED
1000000151,900000070,1,90492,14.93,3757.44,4174.93,10.00,56098.58,INVOICED
1000000152,900000071,1,12273,14.87,5785.09,5785.09,0.00,86024.29,SHIPPED
1000000153,900000072,1,44229,11.48,7976.47,8396.28,5.00,91569.88,AWAITING_SHIPPING
1000000154,900000072,2,44400,17.43,8293.38,8293.38,0.00,144553.61,INVOICED
1000000155,900000073,1,82139,19.07,8614.03,9363.08,8.00,164269.55,SHIPPED
1000000156,900000073,2,98790,7.53,6263.92,6263.92,0.00,47167.32,INVOICED
1000000157,900000073,3,24496,18.42,8742.73,9714.14,10.00,161041.09,INVOICED
1000000158,900000074,1,18227,5.74,3118.96,3390.17,8.00,17902.83,AWAITING_SHIPPING
1000000159,900000074,2,67796,1.74,648.82,682.97,5.00,1128.95,SHIPPED
1000000160,900000074,3,90466,13.76,1088.10,1088.10,0.00,14972.26,SHIPPED
1000000161,900000075,1,20973,15.06,4104.53,4104.53,0.00,61814.22,AWAITING_SHIPPING
1000000162,900000075,2,13994,7.76,6416.56,6416.56,0.00,49792.51,AWAITING_SHIPPING
1000000163,900000076,1,55829,3.45,7101.70,8070.11,12.00,24500.87,INVOICED
1000000164,900000077,1,89559,17.10,8431.68,8875.45,5.00,144181.73,INVOICED
1000000165,900000078,1,90392,10.66,4638.11,5153.46,10.00,49442.25,INVOICED
1000000166,900000078,2,87539,5.52,2139.44,2139.44,0.00,11809.71,AWAITING_SHIPPING
1000000167,900000079,1,70240,14.65,2969.50,2969.50,0.00,43503.18,SHIPPED
1000000168,900000080,1,59807,17.43,6853.93,7615.48,10.00,119464.00,SHIPPED
1000000169,900000081,1,93773,10.77,4111.82,4328.23,5.00,44284.30,SHIPPED
1000000170,900000082,1,21401,7.27,5563.56,6322.23,12.00,40447.08,SHIPPED
1000000171,900000083,1,79387,15.79,4414.72,4414.72,0.00,69708.43,SHIPPED
1000000172,900000084,1,60013,10.96,7464.96,7617.31,2.00,81815.96,SHIPPED
1000000173,900000084,2,93069,1.93,6005.38,6321.45,5.00,11590.38,AWAITING_SHIPPING
1000000174,900000084,3,53731,6.22,7797.84,7956.98,2.00,48502.56,AWAITING_SHIPPING
1000000175,900000084,4,55340,15.21,3428.83,3809.81,10.00,52152.50,AWAITING_SHIPPING
1000000176,900000085,1,60630,10.45,2496.83,3467.82,28.00,26091.87,AWAITING_SHIPPING
1000000177,900000086,1,89169,8.12,739.44,778.36,5.00,6004.25,SHIPPED
1000000178,900000086,2,98206,4.91,1038.42,1093.07,5.00,5098.64,INVOICED
1000000179,900000087,1,55321,17.31,569.07,632.30,10.00,9850.60,AWAITING_SHIPPING
1000000180,900000087,2,53650,12.28,4719.55,4719.55,0.00,57956.07,AWAITING_SHIPPING
1000000181,900000088,1,41167,17.64,3727.45,3803.52,2.00,65752.22,AWAITING_SHIPPING
1000000182,900000089,1,12391,8.80,2336.55,2459.53,5.00,20561.64,SHIPPED
1000000183,900000089,2,74579,5.78,7117.40,8087.95,12.00,41138.57,INVOICED
1000000184,900000090,1,30459,14.31,1714.12,1863.17,8.00,24529.06,SHIPPED
1000000185,900000091,1,21190,10.29,4599.10,4599.10,0.00,47324.74,SHIPPED
1000000186,900000091,2,45665,5.38,3519.52,3519.52,0.00,18935.02,AWAITING_SHIPPING
1000000187,900000092,1,13301,16.29,6987.94,7764.38,10.00,113833.54,SHIPPED
1000000188,900000092,2,44657,19.51,3143.50,3492.78,10.00,61329.69,INVOICED
1000000189,900000093,1,24336,4.44,6344.10,6895.76,8.00,28167.80,AWAITING_SHIPPING
1000000190,900000093,2,69001,16.15,6354.04,6906.57,8.00,102617.75,SHIPPED
1000000191,900000093,3,94943,19.36,6902.78,6902.78,0.00,133637.82,INVOICED
1000000192,900000093,4,80393,2.91,5255.19,5971.81,12.00,15292.60,AWAITING_SHIPPING
1000000193,900000094,1,49295,10.48,462.41,513.79,10.00,4846.06,INVOICED
1000000194,900000095,1,12027,18.32,7981.24,7981.24,0.00,146216.32,INVOICED
1000000195,900000095,2,16957,6.67,3429.30,3429.30,0.00,22873.43,INVOICED
1000000196,900000096,1,40250,3.69,8277.20,8446.12,2.00,30542.87,INVOICED
1000000197,900000096,2,68803,6.66,6856.19,6856.19,0.00,45662.23,SHIPPED
1000000198,900000096,3,43255,17.82,3330.09,3330.09,0.00,59342.20,SHIPPED
1000000199,900000097,1,60486,16.37,7021.06,7631.59,8.00,114934.75,SHIPPED
1000000200,900000097,2,67092,3.19,5056.01,5617.79,10.00,16128.67,INVOICED
1000000201,900000097,3,93233,8.37,2136.20,2321.96,8.00,17879.99,INVOICED
1000000202,900000097,4,33205,2.52,7496.34,7649.33,2.00,18890.78,AWAITING_SHIPPING
1000000203,900000097,5,54601,16.03,6608.21,7509.33,12.00,105929.61,SHIPPED
1000000204,900000098,1,63441,15.09,191.65,212.94,10.00,2892.00,INVOICED
1000000205,900000099,1,67383,17.71,7126.40,8098.18,12.00,126208.54,AWAITING_SHIPPING
1000000206,900000099,2,14257,3.34,5025.24,5583.60,10.00,16784.30,INVOICED
1000000207,900000100,1,12956,15.97,2190.48,2235.18,2.00,34981.97,SHIPPED
1000000208,900000100,2,39696,14.46,335.30,372.55,10.00,4848.44,INVOICED
1000000209,900000100,3,61352,12.63,6446.66,6578.22,2.00,81421.32,INVOICED
1000000210,900000100,4,73228,3.67,3124.65,3124.65,0.00,11467.47,AWAITING_SHIPPING
1000000211,900000101,1,78078,11.96,1235.53,1404.01,12.00,14776.94,AWAITING_SHIPPING
1000000212,900000102,1,79084,1.13,132.88,144.44,8.00,150.15,AWAITING_SHIPPING
1000000213,900000103,1,71140,2.29,8262.71,8697.59,5.00,18921.61,AWAITING_SHIPPING
1000000214,900000104,1,80111,10.65,4885.07,4984.77,2.00,52026.00,SHIPPED
1000000215,900000105,1,26924,3.03,3854.07,4379.63,12.00,11677.83,INVOICED
1000000216,900000106,1,66276,19.33,5844.91,6353.16,8.00,112982.11,AWAITING_SHIPPING
1000000217,900000106,2,71164,12.48,4267.35,4491.95,5.00,53256.53,AWAITING_SHIPPING
1000000218,900000106,3,83569,18.79,3096.77,3096.77,0.00,58188.31,SHIPPED
1000000219,900000106,4,88812,16.71,5869.96,5869.96,0.00,98087.03,SHIPPED
1000000220,900000107,1,47746,8.96,3535.77,3607.93,2.00,31680.50,AWAITING_SHIPPING
1000000221,900000108,1,43898,3.16,4655.14,4655.14,0.00,14710.24,AWAITING_SHIPPING
1000000222,900000109,1,50130,18.45,7832.29,7992.13,2.00,144505.75,SHIPPED
1000000223,900000110,1,83763,5.49,3312.03,3312.03,0.00,18183.04,INVOICED
1000000224,900000111,1,18017,5.72,3577.61,4065.47,12.00,20463.93,INVOICED
1000000225,900000111,2,35749,19.06,7726.45,8133.11,5.00,147266.14,INVOICED
1000000226,900000111,3,98063,13.99,4062.43,4062.43,0.00,56833.40,AWAITING_SHIPPING
1000000227,900000111,4,39154,17.44,7298.11,7932.73,8.00,127279.04,INVOICED
1000000228,900000112,1,94886,12.17,9666.95,9666.95,0.00,117646.78,AWAITING_SHIPPING
1000000229,900000112,2,58793,18.98,3993.38,3993.38,0.00,75794.35,SHIPPED
1000000230,900000112,3,21944,3.50,2402.45,2402.45,0.00,8408.57,INVOICED
1000000231,900000112,4,39257,16.62,6765.97,7354.32,8.00,112450.42,INVOICED
1000000232,900000113,1,77493,19.04,8056.76,8951.95,10.00,153400.71,AWAITING_SHIPPING
1000000233,900000113,2,19756,8.78,245.47,272.75,10.00,2155.23,AWAITING_SHIPPING
1000000234,900000113,3,11213,7.93,8541.00,9490.00,10.00,67730.13,AWAITING_SHIPPING
1000000235,900000114,1,88103,19.37,4401.29,4784.01,8.00,85252.99,SHIPPED
1000000236,900000114,2,80294,12.93,5978.07,6642.30,10.00,77296.45,INVOICED
1000000237,900000115,1,47231,12.47,8765.55,9527.77,8.00,109306.41,SHIPPED
1000000238,900000116,1,21718,13.71,7178.84,7976.49,10.00,98421.90,AWAITING_SHIPPING
1000000239,900000117,1,72497,7.58,3312.05,3379.64,2.00,25105.34,INVOICED
1000000240,900000118,1,14781,7.10,6086.74,6616.02,8.00,43215.85,INVOICED
1000000241,900000118,2,78213,18.45,7431.62,8445.02,12.00,137113.39,AWAITING_SHIPPING
1000000242,900000118,3,46975,3.57,3453.58,3837.31,10.00,12329.28,AWAITING_SHIPPING
1000000243,900000118,4,39281,5.18,6745.38,6745.38,0.00,34941.07,SHIPPED
1000000244,900000118,5,46435,3.99,3078.58,3141.41,2.00,12283.53,INVOICED
1000000245,900000119,1,29041,12.76,6405.55,6962.55,8.00,81734.82,AWAITING_SHIPPING
1000000246,900000119,2,26697,9.59,3006.30,3340.33,10.00,28830.42,AWAITING_SHIPPING
1000000247,900000119,3,71354,3.46,8527.89,8976.73,5.00,29506.50,SHIPPED
1000000248,900000120,1,19240,5.93,5317.80,5597.68,5.00,31534.55,AWAITING_SHIPPING
1000000249,900000121,1,75714,8.77,3894.02,3894.02,0.00,34150.56,AWAITING_SHIPPING
1000000250,900000121,2,51330,16.83,1328.99,1328.99,0.00,22366.90,INVOICED
1000000251,900000121,3,83426,19.17,6797.76,6797.76,0.00,130313.06,SHIPPED
1000000252,900000122,1,12854,8.34,959.97,1090.87,12.00,8006.15,AWAITING_SHIPPING
1000000253,900000123,1,89751,12.66,8534.94,9698.80,12.00,108052.34,AWAITING_SHIPPING
1000000254,900000124,1,41645,5.44,747.14,747.14,0.00,4064.44,SHIPPED
1000000255,900000124,2,53553,14.02,458.44,458.44,0.00,6427.33,INVOICED
1000000256,900000124,3,60921,8.73,953.81,1036.75,8.00,8326.76,AWAITING_SHIPPING
1000000257,900000125,1,19684,16.37,8177.15,8177.15,0.00,133859.95,AWAITING_SHIPPING
1000000258,900000125,2,90751,3.03,6358.04,7064.49,10.00,19264.86,SHIPPED
1000000259,900000125,3,87583,18.52,2616.01,2753.69,5.00,48448.51,SHIPPED
1000000260,900000125,4,54884,6.31,2280.36,2400.38,5.00,14389.07,INVOICED
1000000261,900000126,1,73124,14.32,9713.01,9911.23,2.00,139090.30,AWAITING_SHIPPING
1000000262,900000126,2,94028,9.37,430.44,430.44,0.00,4033.22,INVOICED
1000000263,900000127,1,80910,14.63,2580.32,2580.32,0.00,37750.08,INVOICED
1000000264,900000127,2,89211,8.55,7498.90,7498.90,0.00,64115.60,AWAITING_SHIPPING
1000000265,900000127,3,16279,7.26,6249.27,6249.27,0.00,45369.70,AWAITING_SHIPPING
1000000266,900000128,1,64917,9.86,5686.34,6318.16,10.00,56067.31,INVOICED
1000000267,900000128,2,37960,3.63,9879.48,9879.48,0.00,35862.51,SHIPPED
1000000268,900000129,1,32912,4.41,3498.57,3498.57,0.00,15428.69,AWAITING_SHIPPING
1000000269,900000129,2,34444,17.87,2355.96,2479.96,5.00,42101.01,AWAITING_SHIPPING
1000000270,900000130,1,19749,15.19,3914.22,4349.13,10.00,59457.00,AWAITING_SHIPPING
1000000271,900000130,2,78123,19.45,2057.21,2285.79,10.00,40012.73,INVOICED
1000000272,900000130,3,98449,11.68,4453.85,4841.14,8.00,52020.97,INVOICED
1000000273,900000130,4,16832,13.17,3947.70,3947.70,0.00,51991.21,INVOICED
1000000274,900000130,5,40851,18.52,5813.56,5813.56,0.00,107667.13,SHIPPED
1000000275,900000131,1,15631,14.88,1653.89,1687.64,2.00,24609.88,INVOICED
1000000276,900000132,1,99515,3.65,4716.74,4716.74,0.00,17216.10,SHIPPED
1000000277,900000133,1,66345,5.81,6090.16,6766.84,10.00,35383.83,INVOICED
1000000278,900000134,1,26908,14.11,204.62,227.36,10.00,2887.19,AWAITING_SHIPPING
1000000279,900000135,1,71767,14.48,2060.12,2289.02,10.00,29830.54,INVOICED
1000000280,900000135,2,18424,5.73,8165.70,8595.47,5.00,46789.46,SHIPPED
1000000281,900000136,1,53439,2.88,7072.16,7216.49,2.00,20367.82,AWAITING_SHIPPING
1000000282,900000136,2,75957,14.26,6993.51,6993.51,0.00,99727.45,SHIPPED
1000000283,900000137,1,57021,9.46,5362.09,5362.09,0.00,50725.37,SHIPPED
1000000284,900000138,1,52097,4.44,3061.07,3327.25,8.00,13591.15,SHIPPED
1000000285,900000138,2,87648,12.39,9827.29,9827.29,0.00,121760.12,SHIPPED
1000000286,900000138,3,67953,5.25,6546.31,7115.55,8.00,34368.13,AWAITING_SHIPPING
1000000287,900000139,1,53038,13.14,5815.43,5815.43,0.00,76414.75,INVOICED
1000000288,900000139,2,80910,18.77,8949.77,9132.42,2.00,167987.18,INVOICED
1000000289,900000139,3,95453,7.70,7640.07,8304.42,8.00,58828.54,INVOICED
1000000290,900000140,1,93470,5.74,5722.63,5839.42,2.00,32847.90,INVOICED
1000000291,900000140,2,76503,2.03,7328.26,8142.51,10.00,14876.37,SHIPPED
1000000292,900000140,3,50557,13.77,3365.67,3365.67,0.00,46345.28,INVOICED
1000000293,900000140,4,95479,19.83,5987.69,6804.19,12.00,118735.89,SHIPPED
1000000294,900000141,1,56784,2.42,3952.71,4296.42,8.00,9565.56,INVOICED
1000000295,900000142,1,11870,3.05,5680.81,5680.81,0.00,17326.47,INVOICED
1000000296,900000143,1,37819,16.41,3189.71,3467.08,8.00,52343.14,SHIPPED
1000000297,900000144,1,12276,15.09,2265.80,2517.55,10.00,34190.92,INVOICED
1000000298,900000145,1,72340,17.12,2603.23,2603.23,0.00,44567.30,INVOICED
1000000299,900000146,1,59535,5.39,7373.45,7373.45,0.00,39742.90,INVOICED
1000000300,900000147,1,81762,6.44,4963.75,5640.63,12.00,31966.55,AWAITING_SHIPPING
1000000301,900000147,2,85618,8.60,1592.19,1592.19,0.00,13692.83,SHIPPED
1000000302,900000148,1,71355,5.96,4247.49,4471.04,5.00,25315.04,SHIPPED
1000000303,900000148,2,81533,17.48,9940.67,9940.67,0.00,173762.91,AWAITING_SHIPPING
1000000304,900000149,1,78641,17.53,8397.33,8397.33,0.00,147205.19,INVOICED
1000000305,900000150,1,23470,18.69,1273.15,1273.15,0.00,23795.17,SHIPPED
1000000306,900000151,1,23911,19.51,1006.75,1006.75,0.00,19641.69,AWAITING_SHIPPING
