line_id,header_id,line_number,inventory_item_id,inventory_org_id,ordered_quantity,unit_selling_price,line_amount,discount_percent,request_date,promise_date,flow_status_code
40,22,1,83,4,16,1654.88,22506.37,15,2025-05-06,2025-05-09,AWAITING_SHIPPING
41,22,2,57,3,16,1121.91,15257.98,15,2025-05-06,2025-05-09,AWAITING_SHIPPING
42,23,1,178,1,16,1741.89,26476.73,5,2025-07-16,2025-07-19,AWAITING_SHIPPING
43,23,2,83,4,3,1654.88,4468.18,10,2025-07-16,2025-07-19,AWAITING_SHIPPING
44,23,3,129,5,9,1945.37,13131.25,25,2025-07-16,2025-07-19,AWAITING_SHIPPING
45,24,1,163,2,15,219.44,2962.44,10,2025-06-06,2025-06-09,AWAITING_SHIPPING
46,25,1,157,4,1,1482.16,1482.16,0,2025-07-14,2025-07-17,AWAITING_SHIPPING
47,25,2,97,4,15,1211.45,15445.99,15,2025-07-14,2025-07-17,AWAITING_SHIPPING
48,25,3,49,1,20,1041.68,19791.92,5,2025-07-14,2025-07-17,AWAITING_SHIPPING
49,26,1,106,5,7,685.42,4797.94,0,2025-03-08,2025-03-11,AWAITING_SHIPPING
50,26,2,200,1,16,1001.98,12023.76,25,2025-03-08,2025-03-11,AWAITING_SHIPPING
51,27,1,23,4,9,363.83,2783.3,15,2025-04-14,2025-04-17,AWAITING_SHIPPING
52,27,2,185,2,12,1459.13,13132.17,25,2025-04-14,2025-04-17,AWAITING_SHIPPING
53,27,3,95,2,6,676.94,3046.23,25,2025-04-14,2025-04-17,AWAITING_SHIPPING
54,28,1,110,1,2,1725.12,3277.73,5,2025-03-07,2025-03-10,AWAITING_SHIPPING
55,28,2,56,3,8,615.37,4184.52,15,2025-03-07,2025-03-10,AWAITING_SHIPPING
56,29,1,180,1,2,1784.51,3569.02,0,2025-05-21,2025-05-24,AWAITING_SHIPPING
57,30,1,18,3,9,930.28,8372.52,0,2025-10-21,2025-10-24,AWAITING_SHIPPING
58,30,2,119,5,15,1565.43,17611.09,25,2025-10-21,2025-10-24,AWAITING_SHIPPING
59,31,1,74,2,9,986.05,7543.28,15,2025-10-09,2025-10-12,AWAITING_SHIPPING
60,32,1,75,1,4,1478.66,5914.64,0,2025-02-14,2025-02-17,AWAITING_SHIPPING
61,32,2,165,1,15,400.13,6001.95,0,2025-02-14,2025-02-17,AWAITING_SHIPPING
62,33,1,138,4,17,758.56,12250.74,5,2025-06-15,2025-06-18,AWAITING_SHIPPING
63,33,2,31,2,4,260.82,886.79,15,2025-06-15,2025-06-18,AWAITING_SHIPPING
64,34,1,183,3,8,260.25,1769.7,15,2025-04-14,2025-04-17,AWAITING_SHIPPING
65,34,2,126,4,9,845.81,7612.29,0,2025-04-14,2025-04-17,AWAITING_SHIPPING
66,35,1,177,1,5,1372.55,6176.48,10,2025-09-16,2025-09-19,AWAITING_SHIPPING
67,35,2,33,1,15,207.82,2805.57,10,2025-09-16,2025-09-19,AWAITING_SHIPPING
68,35,3,98,2,10,913.26,6849.45,25,2025-09-16,2025-09-19,AWAITING_SHIPPING
69,36,1,105,4,8,1326.1,9017.48,15,2025-05-19,2025-05-22,AWAITING_SHIPPING
70,36,2,19,4,7,1663.83,11064.47,5,2025-05-19,2025-05-22,AWAITING_SHIPPING
71,37,1,161,1,2,1518.14,2884.47,5,2025-12-10,2025-12-13,AWAITING_SHIPPING
72,37,2,160,3,16,1304.24,19824.45,5,2025-12-10,2025-12-13,AWAITING_SHIPPING
73,38,1,67,1,14,1127.91,13422.13,15,2025-09-05,2025-09-08,AWAITING_SHIPPING
74,38,2,117,2,17,1211.95,17512.68,15,2025-09-05,2025-09-08,AWAITING_SHIPPING
75,38,3,67,1,4,1127.91,4511.64,0,2025-09-05,2025-09-08,AWAITING_SHIPPING
76,39,1,137,2,2,1389.91,2362.85,15,2025-08-12,2025-08-15,AWAITING_SHIPPING
77,39,2,56,3,18,615.37,9415.16,15,2025-08-12,2025-08-15,AWAITING_SHIPPING
78,39,3,104,5,18,210.41,2840.53,25,2025-08-12,2025-08-15,AWAITING_SHIPPING
79,40,1,90,2,1,1110.9,944.27,15,2025-08-10,2025-08-13,AWAITING_SHIPPING
80,40,2,77,1,19,387.2,7356.8,0,2025-08-10,2025-08-13,AWAITING_SHIPPING
81,40,3,185,2,6,1459.13,7879.3,10,2025-08-10,2025-08-13,AWAITING_SHIPPING
82,41,1,112,5,12,1019.69,11012.65,10,2025-12-18,2025-12-21,AWAITING_SHIPPING
83,42,1,112,5,18,1019.69,13765.82,25,2025-09-13,2025-09-16,AWAITING_SHIPPING
84,42,2,23,4,1,363.83,363.83,0,2025-09-13,2025-09-16,AWAITING_SHIPPING
85,43,1,130,3,16,1523.75,23161.0,5,2025-01-15,2025-01-18,AWAITING_SHIPPING
86,43,2,135,5,12,1632.16,14689.44,25,2025-01-15,2025-01-18,AWAITING_SHIPPING
87,44,1,151,5,3,1711.18,4620.19,10,2025-02-12,2025-02-15,AWAITING_SHIPPING
88,44,2,24,4,9,1419.35,9580.61,25,2025-02-12,2025-02-15,AWAITING_SHIPPING
89,45,1,118,2,3,1840.59,4693.5,15,2025-02-08,2025-02-11,AWAITING_SHIPPING
90,45,2,188,1,2,808.68,1213.02,25,2025-02-08,2025-02-11,AWAITING_SHIPPING
91,45,3,41,4,18,1754.2,26839.26,15,2025-02-08,2025-02-11,AWAITING_SHIPPING
92,46,1,18,3,16,930.28,11163.36,25,2025-06-25,2025-06-28,AWAITING_SHIPPING
93,46,2,186,3,14,1778.44,21163.44,15,2025-06-25,2025-06-28,AWAITING_SHIPPING
94,46,3,196,3,15,940.25,13398.56,5,2025-06-25,2025-06-28,AWAITING_SHIPPING
95,47,1,143,3,8,367.66,2941.28,0,2025-03-04,2025-03-07,AWAITING_SHIPPING
96,47,2,179,1,19,1861.29,33596.28,5,2025-03-04,2025-03-07,AWAITING_SHIPPING
97,47,3,30,3,3,1228.43,3316.76,10,2025-03-04,2025-03-07,AWAITING_SHIPPING
98,48,1,82,2,3,1548.48,3484.08,25,2025-09-02,2025-09-05,AWAITING_SHIPPING
99,48,2,23,4,2,363.83,545.75,25,2025-09-02,2025-09-05,AWAITING_SHIPPING
100,49,1,30,3,8,1228.43,7370.58,25,2025-05-17,2025-05-20,AWAITING_SHIPPING
101,49,2,165,1,8,400.13,2400.78,25,2025-05-17,2025-05-20,AWAITING_SHIPPING
102,50,1,39,4,3,402.15,1146.13,5,2025-09-02,2025-09-05,AWAITING_SHIPPING
103,50,2,107,2,7,1338.86,7029.01,25,2025-09-02,2025-09-05,AWAITING_SHIPPING
104,50,3,42,1,18,1506.04,24397.85,10,2025-09-02,2025-09-05,AWAITING_SHIPPING
105,51,1,122,3,4,146.66,439.98,25,2025-05-18,2025-05-21,AWAITING_SHIPPING
106,52,1,62,1,13,953.61,10537.39,15,2025-09-05,2025-09-08,AWAITING_SHIPPING
107,53,1,196,3,6,940.25,5359.43,5,2025-03-17,2025-03-20,AWAITING_SHIPPING
108,53,2,2,2,11,331.83,3467.62,5,2025-03-17,2025-03-20,AWAITING_SHIPPING
109,53,3,66,1,7,1584.1,9979.83,10,2025-03-17,2025-03-20,AWAITING_SHIPPING
110,54,1,181,5,2,1971.79,3549.22,10,2025-06-06,2025-06-09,AWAITING_SHIPPING
111,54,2,165,1,6,400.13,1800.58,25,2025-06-06,2025-06-09,AWAITING_SHIPPING
112,55,1,182,2,15,1765.45,23833.58,10,2025-12-05,2025-12-08,AWAITING_SHIPPING
113,55,2,23,4,2,363.83,618.51,15,2025-12-05,2025-12-08,AWAITING_SHIPPING
114,56,1,70,1,2,397.07,675.02,15,2025-04-24,2025-04-27,AWAITING_SHIPPING
115,56,2,7,4,20,105.77,1586.55,25,2025-04-24,2025-04-27,AWAITING_SHIPPING
116,57,1,97,4,17,1211.45,19564.92,5,2025-01-22,2025-01-25,AWAITING_SHIPPING
117,58,1,166,3,15,1459.3,16417.12,25,2025-08-08,2025-08-11,AWAITING_SHIPPING
118,58,2,94,2,14,1572.91,16515.56,25,2025-08-08,2025-08-11,AWAITING_SHIPPING
119,59,1,37,1,10,1536.82,14599.79,5,2025-11-12,2025-11-15,AWAITING_SHIPPING
120,59,2,32,3,3,1232.71,3143.41,15,2025-11-12,2025-11-15,AWAITING_SHIPPING
121,60,1,121,2,19,85.94,1551.22,5,2025-09-22,2025-09-25,AWAITING_SHIPPING
122,60,2,80,2,11,172.04,1419.33,25,2025-09-22,2025-09-25,AWAITING_SHIPPING
123,60,3,179,1,13,1861.29,20567.25,15,2025-09-22,2025-09-25,AWAITING_SHIPPING
124,61,1,47,5,15,397.32,4469.85,25,2025-03-08,2025-03-11,AWAITING_SHIPPING
125,61,2,147,1,12,447.75,5104.35,5,2025-03-08,2025-03-11,AWAITING_SHIPPING
126,62,1,77,1,2,387.2,696.96,10,2025-06-24,2025-06-27,AWAITING_SHIPPING
127,62,2,1,2,10,1698.82,16988.2,0,2025-06-24,2025-06-27,AWAITING_SHIPPING
128,63,1,141,3,6,79.57,358.06,25,2025-05-17,2025-05-20,AWAITING_SHIPPING
129,63,2,17,5,19,56.41,1018.2,5,2025-05-17,2025-05-20,AWAITING_SHIPPING
130,63,3,58,2,20,633.31,11399.58,10,2025-05-17,2025-05-20,AWAITING_SHIPPING
131,64,1,111,5,11,1428.67,14143.83,10,2025-10-17,2025-10-20,AWAITING_SHIPPING
132,64,2,200,1,19,1001.98,16181.98,15,2025-10-17,2025-10-20,AWAITING_SHIPPING
133,64,3,194,4,14,1919.7,20156.85,25,2025-10-17,2025-10-20,AWAITING_SHIPPING
134,65,1,66,1,17,1584.1,22890.24,15,2025-02-01,2025-02-04,AWAITING_SHIPPING
135,65,2,158,2,17,132.62,1690.9,25,2025-02-01,2025-02-04,AWAITING_SHIPPING
136,65,3,163,2,4,219.44,658.32,25,2025-02-01,2025-02-04,AWAITING_SHIPPING
137,66,1,137,2,4,1389.91,5559.64,0,2025-02-08,2025-02-11,AWAITING_SHIPPING
138,67,1,61,2,12,1338.26,13650.25,15,2025-01-09,2025-01-12,AWAITING_SHIPPING
139,68,1,92,2,17,670.32,11395.44,0,2025-06-18,2025-06-21,AWAITING_SHIPPING
140,68,2,89,5,13,1950.5,22820.85,10,2025-06-18,2025-06-21,AWAITING_SHIPPING
141,68,3,19,4,15,1663.83,18718.09,25,2025-06-18,2025-06-21,AWAITING_SHIPPING
142,69,1,34,2,16,1679.14,20149.68,25,2025-11-04,2025-11-07,AWAITING_SHIPPING
143,69,2,88,4,17,1422.85,24188.45,0,2025-11-04,2025-11-07,AWAITING_SHIPPING
144,69,3,72,1,16,1575.99,23955.05,5,2025-11-04,2025-11-07,AWAITING_SHIPPING
145,70,1,123,5,1,1622.92,1541.77,5,2025-05-25,2025-05-28,AWAITING_SHIPPING
146,70,2,109,4,15,1116.69,12562.76,25,2025-05-25,2025-05-28,AWAITING_SHIPPING
147,71,1,179,1,11,1861.29,17403.06,15,2025-01-04,2025-01-07,AWAITING_SHIPPING
148,71,2,8,3,8,1733.07,10398.42,25,2025-01-04,2025-01-07,AWAITING_SHIPPING
149,71,3,47,5,7,397.32,2503.12,10,2025-01-04,2025-01-07,AWAITING_SHIPPING
150,72,1,36,3,5,1013.93,4309.2,15,2025-04-03,2025-04-06,AWAITING_SHIPPING
151,72,2,35,3,16,1199.1,14389.2,25,2025-04-03,2025-04-06,AWAITING_SHIPPING
152,73,1,91,1,14,109.25,1453.02,5,2025-08-09,2025-08-12,AWAITING_SHIPPING
153,73,2,9,5,8,933.86,5603.16,25,2025-08-09,2025-08-12,AWAITING_SHIPPING
154,74,1,56,3,1,615.37,523.06,15,2025-01-06,2025-01-09,AWAITING_SHIPPING
155,75,1,163,2,6,219.44,987.48,25,2025-01-23,2025-01-26,AWAITING_SHIPPING
156,75,2,120,5,12,1274.61,13765.79,10,2025-01-23,2025-01-26,AWAITING_SHIPPING
157,75,3,141,3,13,79.57,879.25,15,2025-01-23,2025-01-26,AWAITING_SHIPPING
158,76,1,144,1,7,1618.52,8497.23,25,2025-11-19,2025-11-22,AWAITING_SHIPPING
159,76,2,34,2,20,1679.14,30224.52,10,2025-11-19,2025-11-22,AWAITING_SHIPPING
160,76,3,2,2,7,331.83,2206.67,5,2025-11-19,2025-11-22,AWAITING_SHIPPING
161,77,1,51,1,2,622.89,1121.2,10,2025-05-21,2025-05-24,AWAITING_SHIPPING
162,78,1,49,1,4,1041.68,3541.71,15,2025-01-24,2025-01-27,AWAITING_SHIPPING
163,78,2,43,5,11,1879.47,15505.63,25,2025-01-24,2025-01-27,AWAITING_SHIPPING
164,78,3,147,1,5,447.75,2238.75,0,2025-01-24,2025-01-27,AWAITING_SHIPPING
165,79,1,81,1,8,1212.86,9702.88,0,2025-01-08,2025-01-11,AWAITING_SHIPPING
166,79,2,21,2,7,993.49,6606.71,5,2025-01-08,2025-01-11,AWAITING_SHIPPING
167,80,1,152,5,18,626.5,10713.15,5,2025-10-24,2025-10-27,AWAITING_SHIPPING
168,80,2,18,3,8,930.28,7070.13,5,2025-10-24,2025-10-27,AWAITING_SHIPPING
169,81,1,188,1,3,808.68,2304.74,5,2025-08-04,2025-08-07,AWAITING_SHIPPING
170,81,2,162,4,18,1290.92,17427.42,25,2025-08-04,2025-08-07,AWAITING_SHIPPING
171,82,1,62,1,17,953.61,16211.37,0,2025-09-09,2025-09-12,AWAITING_SHIPPING
172,82,2,49,1,5,1041.68,3906.3,25,2025-09-09,2025-09-12,AWAITING_SHIPPING
173,82,3,184,5,16,785.61,10684.3,15,2025-09-09,2025-09-12,AWAITING_SHIPPING
174,83,1,39,4,3,402.15,1146.13,5,2025-08-13,2025-08-16,AWAITING_SHIPPING
175,84,1,194,4,19,1919.7,34650.58,5,2025-12-21,2025-12-24,AWAITING_SHIPPING
176,85,1,171,5,8,1619.3,12306.68,5,2025-02-12,2025-02-15,AWAITING_SHIPPING
177,85,2,95,2,5,676.94,2877.0,15,2025-02-12,2025-02-15,AWAITING_SHIPPING
178,85,3,59,1,12,1749.04,17840.21,15,2025-02-12,2025-02-15,AWAITING_SHIPPING
179,86,1,167,1,1,202.63,182.37,10,2025-03-03,2025-03-06,AWAITING_SHIPPING
180,87,1,105,4,10,1326.1,9945.75,25,2025-06-07,2025-06-10,AWAITING_SHIPPING
181,87,2,54,1,18,1168.34,18927.11,10,2025-06-07,2025-06-10,AWAITING_SHIPPING
182,87,3,167,1,10,202.63,1722.36,15,2025-06-07,2025-06-10,AWAITING_SHIPPING
183,88,1,112,5,13,1019.69,11930.37,10,2025-04-13,2025-04-16,AWAITING_SHIPPING
184,88,2,200,1,19,1001.98,18085.74,5,2025-04-13,2025-04-16,AWAITING_SHIPPING
185,89,1,174,4,19,222.7,3808.17,10,2025-06-09,2025-06-12,AWAITING_SHIPPING
186,89,2,187,1,15,164.87,2225.75,10,2025-06-09,2025-06-12,AWAITING_SHIPPING
187,89,3,107,2,5,1338.86,5690.15,15,2025-06-09,2025-06-12,AWAITING_SHIPPING
188,90,1,20,3,12,1162.85,12558.78,10,2025-09-24,2025-09-27,AWAITING_SHIPPING
189,90,2,125,4,9,1855.69,16701.21,0,2025-09-24,2025-09-27,AWAITING_SHIPPING
190,91,1,47,5,4,397.32,1509.82,5,2025-06-07,2025-06-10,AWAITING_SHIPPING
191,91,2,31,2,14,260.82,3286.33,10,2025-06-07,2025-06-10,AWAITING_SHIPPING
192,91,3,113,3,8,1141.0,7758.8,15,2025-06-07,2025-06-10,AWAITING_SHIPPING
193,92,1,19,4,14,1663.83,17470.22,25,2025-11-14,2025-11-17,AWAITING_SHIPPING
194,92,2,180,1,20,1784.51,33905.69,5,2025-11-14,2025-11-17,AWAITING_SHIPPING
195,92,3,9,5,4,933.86,3175.12,15,2025-11-14,2025-11-17,AWAITING_SHIPPING
196,93,1,131,2,16,988.06,11856.72,25,2025-10-11,2025-10-14,AWAITING_SHIPPING
197,93,2,73,4,2,1731.17,2596.76,25,2025-10-11,2025-10-14,AWAITING_SHIPPING
198,93,3,182,2,5,1765.45,8385.89,5,2025-10-11,2025-10-14,AWAITING_SHIPPING
199,94,1,35,3,18,1199.1,18346.23,15,2025-11-01,2025-11-04,AWAITING_SHIPPING
200,94,2,33,1,6,207.82,1246.92,0,2025-11-01,2025-11-04,AWAITING_SHIPPING
201,94,3,178,1,11,1741.89,18202.75,5,2025-11-01,2025-11-04,AWAITING_SHIPPING
202,95,1,54,1,16,1168.34,17758.77,5,2025-10-09,2025-10-12,AWAITING_SHIPPING
203,95,2,23,4,12,363.83,3274.47,25,2025-10-09,2025-10-12,AWAITING_SHIPPING
204,96,1,101,4,16,1735.83,20829.96,25,2025-06-14,2025-06-17,AWAITING_SHIPPING
205,96,2,140,3,13,178.34,2318.42,0,2025-06-14,2025-06-17,AWAITING_SHIPPING
206,97,1,106,5,1,685.42,514.06,25,2025-03-13,2025-03-16,AWAITING_SHIPPING
207,97,2,188,1,5,808.68,4043.4,0,2025-03-13,2025-03-16,AWAITING_SHIPPING
208,97,3,56,3,5,615.37,2615.32,15,2025-03-13,2025-03-16,AWAITING_SHIPPING
209,98,1,147,1,4,447.75,1611.9,10,2025-10-21,2025-10-24,AWAITING_SHIPPING
210,98,2,150,4,16,285.7,3428.4,25,2025-10-21,2025-10-24,AWAITING_SHIPPING
211,99,1,132,4,12,1237.49,13364.89,10,2025-02-24,2025-02-27,AWAITING_SHIPPING
212,99,2,123,5,13,1622.92,21097.96,0,2025-02-24,2025-02-27,AWAITING_SHIPPING
213,99,3,162,4,20,1290.92,25818.4,0,2025-02-24,2025-02-27,AWAITING_SHIPPING
214,100,1,193,5,15,347.44,5211.6,0,2025-02-18,2025-02-21,AWAITING_SHIPPING
215,100,2,107,2,16,1338.86,21421.76,0,2025-02-18,2025-02-21,AWAITING_SHIPPING
216,100,3,52,2,15,1838.66,26200.9,5,2025-02-18,2025-02-21,AWAITING_SHIPPING
217,101,1,179,1,12,1861.29,21218.71,5,2025-11-18,2025-11-21,AWAITING_SHIPPING
218,102,1,13,5,6,1785.89,10179.57,5,2025-12-09,2025-12-12,AWAITING_SHIPPING
219,102,2,183,3,7,260.25,1366.31,25,2025-12-09,2025-12-12,AWAITING_SHIPPING
220,103,1,84,5,3,1127.31,2874.64,15,2025-04-23,2025-04-26,AWAITING_SHIPPING
221,103,2,199,5,9,571.7,5145.3,0,2025-04-23,2025-04-26,AWAITING_SHIPPING
222,104,1,52,2,6,1838.66,11031.96,0,2025-02-03,2025-02-06,AWAITING_SHIPPING
223,104,2,93,5,8,1449.85,11018.86,5,2025-02-03,2025-02-06,AWAITING_SHIPPING
224,104,3,190,4,1,1428.66,1214.36,15,2025-02-03,2025-02-06,AWAITING_SHIPPING
225,105,1,63,4,20,588.8,10009.6,15,2025-04-11,2025-04-14,AWAITING_SHIPPING
226,105,2,35,3,19,1199.1,20504.61,10,2025-04-11,2025-04-14,AWAITING_SHIPPING
227,105,3,64,3,8,148.35,890.1,25,2025-04-11,2025-04-14,AWAITING_SHIPPING
228,106,1,62,1,13,953.61,11157.24,10,2025-12-19,2025-12-22,AWAITING_SHIPPING
229,106,2,41,4,9,1754.2,13419.63,15,2025-12-19,2025-12-22,AWAITING_SHIPPING
230,107,1,155,5,9,1185.09,10665.81,0,2025-12-10,2025-12-13,AWAITING_SHIPPING
231,108,1,191,1,17,899.44,14525.96,5,2025-09-07,2025-09-10,AWAITING_SHIPPING
232,108,2,132,4,11,1237.49,13612.39,0,2025-09-07,2025-09-10,AWAITING_SHIPPING
233,109,1,23,4,9,363.83,3110.75,5,2025-11-24,2025-11-27,AWAITING_SHIPPING
234,109,2,76,3,18,1930.78,31278.64,10,2025-11-24,2025-11-27,AWAITING_SHIPPING
235,110,1,165,1,7,400.13,2660.86,5,2025-08-22,2025-08-25,AWAITING_SHIPPING
236,110,2,10,4,8,522.98,3556.26,15,2025-08-22,2025-08-25,AWAITING_SHIPPING
237,110,3,154,3,6,1096.05,6576.3,0,2025-08-22,2025-08-25,AWAITING_SHIPPING
238,111,1,106,5,8,685.42,5209.19,5,2025-10-11,2025-10-14,AWAITING_SHIPPING
239,112,1,6,1,16,167.13,2406.67,10,2025-09-11,2025-09-14,AWAITING_SHIPPING
240,112,2,59,1,14,1749.04,20813.58,15,2025-09-11,2025-09-14,AWAITING_SHIPPING
241,113,1,73,4,10,1731.17,15580.53,10,2025-11-15,2025-11-18,AWAITING_SHIPPING
242,114,1,183,3,6,260.25,1327.27,15,2025-10-08,2025-10-11,AWAITING_SHIPPING
243,115,1,27,5,1,360.72,342.68,5,2025-06-21,2025-06-24,AWAITING_SHIPPING
244,115,2,67,1,11,1127.91,9305.26,25,2025-06-21,2025-06-24,AWAITING_SHIPPING
245,116,1,95,2,5,676.94,3384.7,0,2025-09-25,2025-09-28,AWAITING_SHIPPING
246,117,1,93,5,12,1449.85,16528.29,5,2025-05-10,2025-05-13,AWAITING_SHIPPING
247,117,2,110,1,4,1725.12,6210.43,10,2025-05-10,2025-05-13,AWAITING_SHIPPING
248,117,3,106,5,5,685.42,2913.03,15,2025-05-10,2025-05-13,AWAITING_SHIPPING
249,118,1,175,3,3,199.42,598.26,0,2025-04-14,2025-04-17,AWAITING_SHIPPING
250,118,2,152,5,14,626.5,6578.25,25,2025-04-14,2025-04-17,AWAITING_SHIPPING
251,118,3,132,4,17,1237.49,18933.6,10,2025-04-14,2025-04-17,AWAITING_SHIPPING
252,119,1,45,4,20,584.58,10522.44,10,2025-02-20,2025-02-23,AWAITING_SHIPPING
253,119,2,33,1,8,207.82,1246.92,25,2025-02-20,2025-02-23,AWAITING_SHIPPING
254,120,1,177,1,15,1372.55,15441.19,25,2025-08-16,2025-08-19,AWAITING_SHIPPING
255,120,2,145,1,2,859.59,1289.38,25,2025-08-16,2025-08-19,AWAITING_SHIPPING
256,120,3,28,1,14,284.49,3584.57,10,2025-08-16,2025-08-19,AWAITING_SHIPPING
257,121,1,44,1,19,91.69,1655.0,5,2025-12-09,2025-12-12,AWAITING_SHIPPING
258,121,2,139,4,16,1688.82,22967.95,15,2025-12-09,2025-12-12,AWAITING_SHIPPING
259,121,3,11,3,15,1170.5,16679.62,5,2025-12-09,2025-12-12,AWAITING_SHIPPING
260,122,1,75,1,1,1478.66,1256.86,15,2025-04-22,2025-04-25,AWAITING_SHIPPING
261,123,1,5,3,11,1781.57,19597.27,0,2025-06-02,2025-06-05,AWAITING_SHIPPING
262,123,2,78,2,18,1512.35,23138.95,15,2025-06-02,2025-06-05,AWAITING_SHIPPING
263,124,1,84,5,15,1127.31,16909.65,0,2025-12-04,2025-12-07,AWAITING_SHIPPING
264,124,2,192,1,3,284.89,641.0,25,2025-12-04,2025-12-07,AWAITING_SHIPPING
265,125,1,116,1,10,665.44,6321.68,5,2025-12-17,2025-12-20,AWAITING_SHIPPING
266,126,1,18,3,13,930.28,12093.64,0,2025-09-02,2025-09-05,AWAITING_SHIPPING
267,126,2,32,3,7,1232.71,6471.73,25,2025-09-02,2025-09-05,AWAITING_SHIPPING
268,127,1,180,1,9,1784.51,15257.56,5,2025-11-16,2025-11-19,AWAITING_SHIPPING
269,128,1,15,4,1,594.76,594.76,0,2025-11-11,2025-11-14,AWAITING_SHIPPING
270,129,1,70,1,20,397.07,7544.33,5,2025-08-06,2025-08-09,AWAITING_SHIPPING
271,129,2,98,2,7,913.26,6392.82,0,2025-08-06,2025-08-09,AWAITING_SHIPPING
272,129,3,101,4,20,1735.83,32980.77,5,2025-08-06,2025-08-09,AWAITING_SHIPPING
273,130,1,90,2,15,1110.9,14997.15,10,2025-09-14,2025-09-17,AWAITING_SHIPPING
274,131,1,38,5,20,1335.46,24038.28,10,2025-11-19,2025-11-22,AWAITING_SHIPPING
