inventory_item_id,organization_id,item_number,item_description,item_type,uom_code,list_price,active_flag
107,2,ITEM00107,商品00107,SERVICE,EA,1338.86,Y
108,1,ITEM00108,商品00108,RM,EA,460.52,Y
109,4,ITEM00109,商品00109,SERVICE,EA,1116.69,Y
110,1,ITEM00110,商品00110,FG,EA,1725.12,Y
111,5,ITEM00111,商品00111,FG,EA,1428.67,Y
112,5,ITEM00112,商品00112,SERVICE,EA,1019.69,Y
113,3,ITEM00113,商品00113,SERVICE,EA,1141.0,Y
114,2,ITEM00114,商品00114,FG,EA,1528.79,Y
115,1,ITEM00115,商品00115,RM,EA,136.77,Y
116,1,ITEM00116,商品00116,FG,EA,665.44,Y
117,2,ITEM00117,商品00117,RM,EA,1211.95,Y
118,2,ITEM00118,商品00118,RM,EA,1840.59,Y
119,5,ITEM00119,商品00119,RM,EA,1565.43,Y
120,5,ITEM00120,商品00120,SERVICE,EA,1274.61,Y
121,2,ITEM00121,商品00121,FG,EA,85.94,Y
122,3,ITEM00122,商品00122,SERVICE,EA,146.66,Y
123,5,ITEM00123,商品00123,SERVICE,EA,1622.92,Y
124,2,ITEM00124,商品00124,FG,EA,495.43,Y
125,4,ITEM00125,商品00125,FG,EA,1855.69,Y
126,4,ITEM00126,商品00126,RM,EA,845.81,Y
127,2,ITEM00127,商品00127,RM,EA,562.38,Y
128,1,ITEM00128,商品00128,FG,EA,882.91,Y
129,5,ITEM00129,商品00129,SERVICE,EA,1945.37,Y
130,3,ITEM00130,商品00130,RM,EA,1523.75,Y
131,2,ITEM00131,商品00131,RM,EA,988.06,Y
132,4,ITEM00132,商品00132,SERVICE,EA,1237.49,Y
133,5,ITEM00133,商品00133,RM,EA,1026.92,Y
134,4,ITEM00134,商品00134,FG,EA,202.1,Y
135,5,ITEM00135,商品00135,SERVICE,EA,1632.16,Y
136,2,ITEM00136,商品00136,SERVICE,EA,303.59,Y
137,2,ITEM00137,商品00137,FG,EA,1389.91,Y
138,4,ITEM00138,商品00138,FG,EA,758.56,Y
139,4,ITEM00139,商品00139,SERVICE,EA,1688.82,Y
140,3,ITEM00140,商品00140,FG,EA,178.34,Y
141,3,ITEM00141,商品00141,RM,EA,79.57,Y
142,1,ITEM00142,商品00142,SERVICE,EA,1434.27,Y
143,3,ITEM00143,商品00143,SERVICE,EA,367.66,Y
144,1,ITEM00144,商品00144,RM,EA,1618.52,Y
145,1,ITEM00145,商品00145,FG,EA,859.59,Y
146,5,ITEM00146,商品00146,SERVICE,EA,582.67,Y
147,1,ITEM00147,商品00147,RM,EA,447.75,Y
148,5,ITEM00148,商品00148,FG,EA,1502.97,Y
149,2,ITEM00149,商品00149,RM,EA,994.19,Y
150,4,ITEM00150,商品00150,SERVICE,EA,285.7,Y
151,5,ITEM00151,商品00151,FG,EA,1711.18,Y
152,5,ITEM00152,商品00152,RM,EA,626.5,Y
153,2,ITEM00153,商品00153,SERVICE,EA,1474.53,Y
154,3,ITEM00154,商品00154,RM,EA,1096.05,Y
155,5,ITEM00155,商品00155,FG,EA,1185.09,Y
156,4,ITEM00156,商品00156,SERVICE,EA,856.57,Y
157,4,ITEM00157,商品00157,RM,EA,1482.16,Y
158,2,ITEM00158,商品00158,FG,EA,132.62,Y
159,5,ITEM00159,商品00159,FG,EA,1158.6,Y
160,3,ITEM00160,商品00160,FG,EA,1304.24,Y
161,1,ITEM00161,商品00161,SERVICE,EA,1518.14,Y
162,4,ITEM00162,商品00162,FG,EA,1290.92,Y
163,2,ITEM00163,商品00163,FG,EA,219.44,Y
164,5,ITEM00164,商品00164,RM,EA,1886.24,Y
165,1,ITEM00165,商品00165,RM,EA,400.13,Y
166,3,ITEM00166,商品00166,FG,EA,1459.3,Y
167,1,ITEM00167,商品00167,FG,EA,202.63,Y
168,2,ITEM00168,商品00168,RM,EA,1478.17,Y
169,2,ITEM00169,商品00169,FG,EA,1094.95,Y
170,4,ITEM00170,商品00170,RM,EA,1481.82,Y
171,5,ITEM00171,商品00171,RM,EA,1619.3,Y
172,1,ITEM00172,商品00172,RM,EA,1903.71,Y
173,5,ITEM00173,商品00173,SERVICE,EA,1064.76,Y
174,4,ITEM00174,商品00174,RM,EA,222.7,Y
175,3,ITEM00175,商品00175,SERVICE,EA,199.42,Y
176,5,ITEM00176,商品00176,SERVICE,EA,140.95,Y
177,1,ITEM00177,商品00177,SERVICE,EA,1372.55,Y
178,1,ITEM00178,商品00178,SERVICE,EA,1741.89,Y
179,1,ITEM00179,商品00179,SERVICE,EA,1861.29,Y
180,1,ITEM00180,商品00180,FG,EA,1784.51,Y
181,5,ITEM00181,商品00181,SERVICE,EA,1971.79,Y
182,2,ITEM00182,商品00182,RM,EA,1765.45,Y
183,3,ITEM00183,商品00183,RM,EA,260.25,Y
184,5,ITEM00184,商品00184,FG,EA,785.61,Y
185,2,ITEM00185,商品00185,SERVICE,EA,1459.13,Y
186,3,ITEM00186,商品00186,SERVICE,EA,1778.44,Y
187,1,ITEM00187,商品00187,RM,EA,164.87,Y
188,1,ITEM00188,商品00188,RM,EA,808.68,Y
189,2,ITEM00189,商品00189,RM,EA,895.66,Y
190,4,ITEM00190,商品00190,RM,EA,1428.66,Y
191,1,ITEM00191,商品00191,RM,EA,899.44,Y
192,1,ITEM00192,商品00192,FG,EA,284.89,Y
193,5,ITEM00193,商品00193,FG,EA,347.44,Y
194,4,ITEM00194,商品00194,RM,EA,1919.7,Y
195,5,ITEM00195,商品00195,SERVICE,EA,1628.52,Y
196,3,ITEM00196,商品00196,RM,EA,940.25,Y
197,5,ITEM00197,商品00197,SERVICE,EA,120.58,Y
198,1,ITEM00198,商品00198,FG,EA,214.85,Y
199,5,ITEM00199,商品00199,RM,EA,571.7,Y
200,1,ITEM00200,商品00200,RM,EA,1001.98,Y
